Aisles,Product,amountBought
"mint gum","Spearmint Sugar-Free Gum",12699
"mint gum","Wrigley's Orbit Wintermint Sugar Free Gum- 3 PK",10478
"mint gum","Peppermint Sugar Free Gum",7621
"mint gum",Wint-O-Green,6433
"mint gum","Natural Mint Gum",6292
"mint gum","Sugarfree Gum Sweet Mint",4917
"mint gum","Wintergreen Mints",4146
"mint gum","Bubblegum Flavor Natural Chewing Gum",3800
"mint gum","White Sugar Free Peppermint Gum",3783
"mint gum","Refresh-Mint Chewing Gum",3745
"mint gum","Winterfrost Sugar-Free Gum",3480
"mint gum","Original Flavor Sugar Free Gum 3 Pk",3474
"mint gum","Peppermint Gum",3223
"mint gum","5 Peppermint Cobalt Cooling Sugar-Free Gum",2859
"mint gum","Sugar Free Gum with Xylitol Spearmint",2743
"mint gum","Tropical Twist Sugar Free Gum",2721
"mint gum","Wintermint Sugar Free Gum",2720
"mint gum","6.25 Oz LifeSavers Wintogreen Peg",2398
"mint gum","Peppermint Sugar-Free Gum",2382
"mint gum","Pieces Peppermint - 16 CT",2380
"mint gum","Ice Peppermint Gum",2320
"mint gum","Gum Ginger",2163
"mint gum","Peppermint 16 Pieces Sugar Free Gum",2110
"mint gum",Peppermints,2102
"mint gum","Extra Sugar-Free Peppermint Gum",2100
"mint gum",Freshmints,2052
"mint gum","Doublemint Gum",2025
"mint gum","Wintermint Gum",1975
"mint gum","Bubblemint Sugarfree Gum",1809
"mint gum","Spearmint Sugar Free Gum",1805
"mint gum","Rain Tingling Spearmint Sugar-Free Gum",1734
"mint gum","with Xylitol Original Flavor 18 Sticks Sugar Free Gum",1708
"mint gum","Wild Watermelon Chewing Gum",1667
"mint gum","6.25 Oz LifeSavers Peppomint Peg",1644
"mint gum",Spearmint,1580
"mint gum","Extra Spearmint Sugar-Free Gum",1555
"mint gum","Polar Ice Sugar Free Gum",1545
"mint gum","Sugar Free Bubble Gum Value Pack",1543
"mint gum","Spearmint Gum",1531
"mint gum","Spearmint Natural Chewing Gum",1435
"mint gum","Chewing Gum, Tangerine",1341
"mint gum","Fruit Sensations Sweet Watermelon Sugar-Free Gum",1331
"mint gum","Sugar Free Spearmint Gum Value Pack",1322
"mint gum","Ice Sugar Free Peppermint Gum",1290
"mint gum","Orbit Spearmint",1281
"mint gum","Spearmint Sugar-Fee Gum",1146
"mint gum","Fennel Licorice Gum",1055
"mint gum","5 Cobalt Cooling Peppermint Sugar Free Gum",1033
"mint gum","Mints Pep O Mint",983
"mint gum","Polar Ice Sugar-Fee Gum",965
"mint gum","Cinnamon Sugar Free Gum with Xylitol",955
"mint gum","Layer Sugar Free Gum - Wild Strawberry and Tangy Citrus",902
"mint gum","Orange Mints",886
"mint gum","Classic Bubble Sugar-Free Gum",875
"mint gum","Orbit Cinnamint Sugarfree Gum",855
"mint gum","Sugar Free Gum Winter Frost",834
"mint gum","Lifesavors Mints Wint O Green",797
"mint gum","with Xylitol Cinnamon 18 Sticks Sugar Free Gum",737
"mint gum","White Bubblemint Sugar-Free Gum",713
"mint gum","Fire Sugar Free Spicy Cinnamon Gum",690
"mint gum","Natural Sugar Free Spearmint Mints",687
"mint gum","Triple Berry Chewing Gum",674
"mint gum","Sugarfree Bubblemint Gum",672
"mint gum","Chewy Mint",646
"mint gum","Extra Long Lasting Polar Ice Flavor Sugarfree Gum",645
"mint gum","Gum, Sugarfree, Bubblemint",638
"mint gum","Pure Fresh Freshmint Sugar-Free Gum",631
"mint gum","Slim Pack Doublemint Gum",596
"mint gum","Cinnamon Mint Tin",572
"mint gum","Ice Cubes Bubble Breeze Sugar-Free Gum",563
"mint gum","Pure Fresh Spearmint Sugar-Free Gum",560
"mint gum","with Xylitol Watermelon Twist 18 Sticks Sugar Free Gum",557
"mint gum","Sugar-Free Spearmint Gum",554
"mint gum","Strawberry Remix Sugar-Free Gum",536
"mint gum","Ice Cube Sugar Free Arctic grape Gum",534
"mint gum","Peppermint Mint Roll",522
"mint gum","Ice Cubes Spearmint Sugar Free Gum",521
"mint gum","with Xylitol Unwrapped Spearmint 50 Sticks Sugar Free Gum",510
"mint gum","Gum Drops",507
"mint gum","Cool Lemon Sugar-Free Ice Cube Gum",504
"mint gum","Gum, Sugarfree, Winterfrost",502
"mint gum","Mints Wint O Green Sugar Free",494
"mint gum","Chewy Mints",493
"mint gum","Chewy Fruit Mint",477
"mint gum","Cool Mint Tin",464
"mint gum","Sweet Mint Gum",460
"mint gum","Wrigley's Orbit Cinnamint Sugarfree Gum - 14 CT",450
"mint gum","Curiously Strong Mints Peppermint",449
"mint gum","Sugar Free Sweet Mint Gum",444
"mint gum","Wrigley's Juicy Fruit Gum",434
"mint gum","Sugar Free Mints",427
"mint gum","Wintermint Sugar-Free Gum",424
"mint gum","Organic Cinnamon Mints",423
"mint gum","with Xylitol Island Berry Lime 18 Sticks Sugar Free Gum",409
"mint gum","Organic Wintermint Mints",405
"mint gum","Organic Peppermint Mints",403
"mint gum","Rain Sugar Free Gum",387
"mint gum","Sugar-Free Wintergreen Chewing Gum",374
"mint gum","Long Lasting Peppermint Flavor Sugar Free Gum",367
"mint gum","Cobalt Sugar Free Gum",349
"mint gum","Gum, Sugarfree, Spearmint",344
"mint gum","Ginger Mints",343
"mint gum","Polar Ice Sugar-Free Gum",322
"mint gum","Eclipse Sugar Free Gum Peppermint - 18 CT",319
"mint gum","Berry Mint Gems",311
"mint gum","Ice Breakers Ice Cubes Wintergreen Sugar-Free Gum",310
"mint gum","Passionberry Twist",306
"mint gum","Arctic Wintergreen Mints",302
"mint gum","Smalls Peppermint Sugar-Free Mints",297
"mint gum","Spearmint Sugarfree Gum 3 Pk",294
"mint gum","Starlight Mints",294
"mint gum","Minty Sweet Twist With Xylitol Sugarfree Gum",287
"mint gum","Mints, Sugar Free, Pep O Mint",282
