Aisles,Product,amountBought
missing,"Organic Riced Cauliflower",80115
missing,"Organic Celery Bunch",19461
missing,"Organic Mango Yogurt",16241
missing,"Peanut Butter Ice Cream Cup",15368
missing,"Organic Whole Milk Washington Black Cherry Yogurt",14910
missing,"Uncured Beef Hot Dog",13164
missing,"Natural Lemon Flavored Sparkling Water",11683
missing,"Cookie Dough Ice Cream Chocolate Chip",11115
missing,"Organic Nondairy Strawberry Cashew Yogurt",9016
missing,"Soy & Dairy Free Plain Unsweetened Almond Milk Yogurt",8800
missing,"Strained Non-Fat Strawberry Icelandic Style Skyr Yogurt",8743
missing,"Organic Ground Chicken",8492
missing,"Organic Chocolate Chip Cookie Dough",8366
missing,"Organic Uncured Beef Hot Dog",8344
missing,"Organic Cashew Nondairy Vanilla Yogurt",7764
missing,"Cayenne Cleanse Kombucha",7619
missing,"Organic Plain Unsweetened Nondairy Cashew Yogurt",7059
missing,"Organic Cashew Nondairy Blueberry Yogurt",6900
missing,"Fresh Organic Carrots",6659
missing,"Protein Bar Maple Sea Salt",6490
missing,"Lemon Bag",6281
missing,"White Apple Cauliflower & Leek Organic Baby Food",6096
missing,"S'mores Ice Cream",6042
missing,"Cilantro Bunch",5860
missing,"Eat Your Colors Purples Puree Baby Food",5641
missing,"Icelandic Style Cream-Skyr 4% Milkfat Strained Whole-Milk Yogurt Mango",5457
missing,"Organic Crookneck Squash",5434
missing,"Oatneal Cookie Ice Cream",5112
missing,"Eat Your Colors Reds Puree Baby Food",5040
missing,"Organic Nondairy Lemon Cashew Yogurt",4844
missing,"Whole Milk Yogurt Organic Indonesian Vanilla Bean",4808
missing,"Mexican Chocolate Yogurt",4642
missing,"Stage 2 Eat Your Colors Organic, Green: Pea, Kiwi, Pear & Avocado Baby Food",4614
missing,"Protein Bar Mint Chocolate",4581
missing,"Sea-Salt Grain-Free Tortilla Chips",4522
missing,"Organic Asian Chopped Salad Kit",4115
missing,"Organic Poblano Pepper",3812
missing,"Maple Almond Bar",3783
missing,"Organic Vanilla Sugar Cookies",3591
missing,"Sumo Mandarin",3560
missing,"Plain Organic Grassmilk Yogurt Cup",3486
missing,"Lime Grain-Free Tortilla Chips",3452
missing,"Purple Sweet Potato (Yam)",3413
missing,"Red Beet Bunch",3407
missing,"Dairy Free French Vanilla Creamer Almond Milk",3397
missing,"Organic Pink Lady (Cripps) Apple",3371
missing,"Peanut Butter & Coconut Bar",3226
missing,Satsuma,3204
missing,"Natural Uncured Beef Hot Dog",3164
missing,"100% Grass-Fed No-Grain Strawberry Yogurt",3126
missing,"Organic Vanilla Grassmilk Yogurt",3033
