Aisles,Product,amountBought
"more household","Snack Bags",24408
"more household","Tulips 10 Stem",13004
"more household","Coppertop AA Batteries",9076
"more household","Dozen Roses",7437
"more household","Packaging Tape High Performance",3963
"more household","Coppertop AA Alkaline Batteries",3728
"more household","Fire Log",3418
"more household","Classic Lighters",3225
"more household","CopperTop AAA Alkaline",2721
"more household","Greenlight Strike On Box Matches",2455
"more household","The Original Charcoal Briquets",2080
"more household","Lint Roller - 56 Sheets",2011
"more household","Flex Wand Lighter",1722
"more household","Utility Lighter",1710
"more household","AAA Max Alkaline Batteries",1571
"more household","AA Alkaline Max Batteries",1530
"more household","Alkaline C Batteries",1516
"more household","AA Alkaline Batteries",1491
"more household","Squared 9 oz Plastic Cups",1484
"more household","Magic Tape Clear",1389
"more household","CopperTop 9V Batteries",1378
"more household","Mesquite Charcoal",1236
"more household","Soft White 60 Watts Halogen Bulb",1226
"more household","Aim'nFlameII Multi-Purpose Lighter",1069
"more household","Alkaline 9V Batteries",1026
"more household","Rainbow Mix Decorating Decors",1008
"more household","Ant Baits",959
"more household","Coppertop AAA Alkaline Batteries",943
"more household","Soft White 50/100/150 Watts 3 Way Light Bulb",902
"more household","Ant & Roach Killer Fragrance Free Insecticide",896
"more household","Small Round Container + Lid",874
"more household","Coffee Filters Basket Style 8 to 12 Cup",835
"more household","Match Light Instant Charcoal Briquets",822
"more household","AAA Alkaline Batteries",817
"more household","Bath Tissue 4 Pk",812
"more household","Super Glue Gel Control",797
"more household","No Run Washable School Glue",789
"more household","Ant & Cockroach Killer Outdoor Fresh Scent",771
"more household","Matches, Strike On Box, Large Kitchen",746
"more household","Light Bulb, Soft White, 150W",737
"more household","Charcoal Briquets,  Instant",722
"more household",Flowers,719
"more household","C Batteries",716
"more household","Bath & Shower Gloves",715
"more household","Double Control Ant Bait",671
"more household","Quantum Duracell Quantum AA Alkaline Batteries 12 count Primary Major Cells",632
"more household","2 In 1 Super Foam & Scrub Sponges",595
"more household","Long Reach Matches",585
"more household","Energy-Efficient Soft White 72 Watt General Purpose Halogen Bulbs",579
"more household",Magazine,548
"more household","Soft White 30/70/100 Watts 3 Way Light Bulbs",523
"more household","Lemon Scent Ant & Roach Killer Insecticide",513
"more household","Odorless Charcoal Lighter Fluid",511
"more household","Multi-Purpose Glue",510
"more household","Wind Resistant Lighter",496
"more household","Coppertop D Alkaline Batteries 2 count Primary Major Cells",496
"more household","Multi Colored Note Pads",494
"more household","Cristal Black Ball Pens Medium",493
"more household","Odor Fresh Scent Flying Insect Killer",486
"more household","Durables Cotton Butcher's Twine",442
"more household","Glue, All Purpose, Precision Tip",426
"more household","Charcoal Lighter Fluid",413
"more household","General Purpose Light Bulbs, Soft White, 25W",404
"more household",Firewood,387
"more household","Cristal Blue Ball Medium Pens",384
"more household","Matte Finish Magic Tape 1/2"" wide",375
"more household","Quantum Duracell Quantum AA Alkaline Batteries 6 count Primary Major Cells",364
"more household","Earplugs, Soft Foam",341
"more household","Charcoal Briquets",332
"more household","Ant and Roach Killer Lavender Scent",331
"more household","Home Pest Control",323
"more household","Book Matches",319
"more household","Strike Anywhere Penny Size Matches",317
"more household","Heavy Duty 8.5 Inch Paper Plates",312
"more household","Heavy Duty Scrubber Sponge",303
"more household","Charcoal Briquettes Mesquite",298
"more household","Indoor Floodlight, Soft White, 65W Light Bulb",297
