Aisles,Product,amountBought
"nuts seeds dried fruit","Organic Thompson Seedless Raisins",145836
"nuts seeds dried fruit","Organic Whole Cashews",126448
"nuts seeds dried fruit","Whole Almonds",123539
"nuts seeds dried fruit","Chopped Walnuts",109458
"nuts seeds dried fruit","Walnut Halves & Pieces",109076
"nuts seeds dried fruit","Organic Medjool Dates",101695
"nuts seeds dried fruit","Roasted & Salted Almonds",86562
"nuts seeds dried fruit",Raisins,83732
"nuts seeds dried fruit","Dried Sweetened Cranberries",70099
"nuts seeds dried fruit","Roasted Salted Cashews",69912
"nuts seeds dried fruit","Pitted Dates",52875
"nuts seeds dried fruit","Chopped Pecans",50548
"nuts seeds dried fruit","Pitted Prunes",43014
"nuts seeds dried fruit","Toasted Coconut Chips Original Recipe",37839
"nuts seeds dried fruit","Roasted Salted Peanuts",37273
"nuts seeds dried fruit","Organic Freeze Dried Strawberries",33168
"nuts seeds dried fruit","Extra Fancy Unsalted Mixed Nuts",32910
"nuts seeds dried fruit","Organic Sweetened Cranberries",31188
"nuts seeds dried fruit","Marcona Almonds",30416
"nuts seeds dried fruit","Whole Chia Seeds",29109
"nuts seeds dried fruit","Organic  Dried & Unsulfured Orchard Select Apricots",27856
"nuts seeds dried fruit","Organic Cinnamon Apple Chips",27543
"nuts seeds dried fruit","Dried Mangoes",24776
"nuts seeds dried fruit","Hemp Hearts Raw Shelled Hemp Seeds",24306
"nuts seeds dried fruit","Organic Thompson Raisins",22578
"nuts seeds dried fruit","Roasted Salted Almonds",22509
"nuts seeds dried fruit","Organic Mango Slices",22239
"nuts seeds dried fruit","Dry Roasted Lightly Salted Peanuts",22046
"nuts seeds dried fruit","Organic Pitted Prunes",21444
"nuts seeds dried fruit","Whole Natural Value Pack Almonds",21192
"nuts seeds dried fruit","Snack Size Vanilla Yogurt Raisins",20505
"nuts seeds dried fruit","Natural California Raisins",19710
"nuts seeds dried fruit","Dried Mangos",19638
"nuts seeds dried fruit","Roasted & Salted Shelled Pistachios",19068
"nuts seeds dried fruit","Natural California Raisins Mini Snack Boxes",18799
"nuts seeds dried fruit","Dark Chocolate With Sea Salt & Almonds",18296
"nuts seeds dried fruit","Organic Vitality Snack Chia Squeeze Blackberry Bliss",17897
"nuts seeds dried fruit","Organic Pine Nuts",17490
"nuts seeds dried fruit","Shelled Pistachios",17302
"nuts seeds dried fruit","Organic Turkish Figs",16390
"nuts seeds dried fruit","Dry Roasted Peanuts",16195
"nuts seeds dried fruit","Original Craisins",16052
"nuts seeds dried fruit","Dried Cranberries",15008
"nuts seeds dried fruit","Organic Chewy Chocolate Banana Bites",14929
"nuts seeds dried fruit","Mixed Nuts",14781
"nuts seeds dried fruit","Raw Almonds",14780
"nuts seeds dried fruit","Goji Berries, Sun-Dried",12933
"nuts seeds dried fruit","Raw Chocolate Cacao Nibs",12871
"nuts seeds dried fruit","Pine Nuts",12572
"nuts seeds dried fruit","Dry Roasted Almonds",12407
"nuts seeds dried fruit","Roasted & Salted Pistachios",12292
"nuts seeds dried fruit","Sea Salt Macadamias",12224
"nuts seeds dried fruit","Slivered Almonds",11524
"nuts seeds dried fruit","Lightly Salted Almonds",11462
"nuts seeds dried fruit","Smokehouse Almonds",11264
"nuts seeds dried fruit","Hemp Seeds",11011
"nuts seeds dried fruit","Organic Apricots",10974
"nuts seeds dried fruit","Golden Raisins",10957
"nuts seeds dried fruit","Shelled Walnuts",10745
"nuts seeds dried fruit","Pecan Halves",10492
"nuts seeds dried fruit","Whole Natural Almonds",10460
"nuts seeds dried fruit","Wasabi & Soy Sauce Almonds",10400
"nuts seeds dried fruit","Organic Raw Almonds",10385
"nuts seeds dried fruit","Freeze Dried Mango Slices",10333
"nuts seeds dried fruit","Shelled & Dry Roasted Organic Pistachios",10307
"nuts seeds dried fruit","Natural Almonds 100 Calorie Packs",10083
"nuts seeds dried fruit",Cranberries,9931
"nuts seeds dried fruit","Organic Banana Bites",9909
"nuts seeds dried fruit","Mediterranean Apricots",9851
"nuts seeds dried fruit","Organic Coconut Date Rolls",9736
"nuts seeds dried fruit","Organic Freeze Dried Bananas and Strawberries",9012
"nuts seeds dried fruit","Organic Raw Cashews",8915
"nuts seeds dried fruit","Green Magic Chia Squeeze",8815
"nuts seeds dried fruit",Pistachios,8750
"nuts seeds dried fruit","Original Dried Cranberries",8517
"nuts seeds dried fruit","Deluxe Mixed Nuts",8458
"nuts seeds dried fruit","Dry Roasted Pumpkin Seeds",8399
"nuts seeds dried fruit","Crispy Fruit, Apple",8155
"nuts seeds dried fruit","Go Mango! Organic Dried Mango Slices",8077
"nuts seeds dried fruit","Vanilla Yogurt Raisins Halloween Mini-Snacks",8002
"nuts seeds dried fruit","Toasted Caramel Coconut Chips",7825
"nuts seeds dried fruit","Deluxe Whole Cashews",7817
"nuts seeds dried fruit","Sprouted Pumpkin Seeds with Celtic Sea Salt",7814
"nuts seeds dried fruit","Organic Calimyrna Figs",7690
"nuts seeds dried fruit","Mixed Nuts Lightly Salted",7602
"nuts seeds dried fruit","Cocktail Peanuts",7523
"nuts seeds dried fruit","Organic Black Chia Seed",7307
"nuts seeds dried fruit","Raisins Red Seedless Organic Jumbo Size",7207
"nuts seeds dried fruit","Organic Raisins",7185
"nuts seeds dried fruit","Raspberries, Organic, Freeze-Dried",6948
"nuts seeds dried fruit","Dry Roasted Lightly Salted Edamame",6730
"nuts seeds dried fruit","Chia Seed, Organic, Ground",6689
"nuts seeds dried fruit","Freeze Dried Blueberries",6619
"nuts seeds dried fruit","Honey Roasted Peanuts",6383
"nuts seeds dried fruit","Reduced Sugar Craisins",6302
"nuts seeds dried fruit","Dry Roasted 100 Calorie Packs Almonds",6282
"nuts seeds dried fruit","Organic Apple",6237
"nuts seeds dried fruit","Organic Tree Ripened Plums",6042
"nuts seeds dried fruit","Organic Pumpkin Seeds",6035
"nuts seeds dried fruit","Organic Flame Raisins",5955
"nuts seeds dried fruit","Dried Cherries",5854
"nuts seeds dried fruit","Smokehouse Almonds Value Pack",5840
"nuts seeds dried fruit","Craisins Dried Cranberries",5836
"nuts seeds dried fruit","Organic Pecans",5793
"nuts seeds dried fruit","Organic Freeze Dried Bananas",5699
"nuts seeds dried fruit","Dry Roasted Unsalted Peanuts",5679
"nuts seeds dried fruit","Heart Healthy Mix",5656
"nuts seeds dried fruit","Lightly Salted Toasted Coconut Chips",5640
"nuts seeds dried fruit",Prunes,5630
"nuts seeds dried fruit","Salt & Pepper Pistachios",5470
"nuts seeds dried fruit","Organic Vitality Snack Chia Squeeze Strawberry Banana",5458
"nuts seeds dried fruit","Dried Strawberries",5444
"nuts seeds dried fruit","Whole Chia Seed",5358
"nuts seeds dried fruit","Cashews Halves & Pieces",5326
"nuts seeds dried fruit","David Seeds Sunflower Seeds",5167
"nuts seeds dried fruit","Mulberry Berries",5125
"nuts seeds dried fruit","Organic Dried Cranberries",5010
"nuts seeds dried fruit","Organic Salted Pistachio",4967
"nuts seeds dried fruit","Sesame Sticks",4932
"nuts seeds dried fruit","Pumpkin Seeds",4827
"nuts seeds dried fruit","Sprouted Sunflower Seeds",4822
"nuts seeds dried fruit","Organic Frozen Blueberries",4762
"nuts seeds dried fruit","Lightly Salted Cashews Halves & Pieces",4739
"nuts seeds dried fruit","Organic Chia Seeds",4675
"nuts seeds dried fruit","Brazil Nuts",4657
