Aisles,Product,amountBought
"oils vinegars","Extra Virgin Olive Oil",472887
"oils vinegars","Italian Extra Virgin Olive Oil",122609
"oils vinegars","Organic Extra Virgin Olive Oil",95171
"oils vinegars","Organic Distilled White Vinegar",89483
"oils vinegars","Unrefined Virgin Coconut Oil",89322
"oils vinegars","Canola Oil",89099
"oils vinegars","Apple Cider Vinegar",89052
"oils vinegars","Organic Raw Unfiltered Apple Cider Vinegar",81588
"oils vinegars","Organic Balsamic Vinegar of Modena",52725
"oils vinegars","Balsamic Vinegar of Modena",46779
"oils vinegars","Organic Canola Oil",45239
"oils vinegars","Toasted Sesame Seed Oil",40657
"oils vinegars","Distilled White Vinegar",37626
"oils vinegars","Organic Refined Coconut Oil",36154
"oils vinegars","Grapeseed Oil",31610
"oils vinegars","Organic Red Wine Vineger",28875
"oils vinegars","Original Cooking Spray",27980
"oils vinegars","Organic Coconut Oil",25831
"oils vinegars","Olive Oil Cooking Spray",23588
"oils vinegars","Expeller Pressed Coconut Oil Spray",20668
"oils vinegars","Organic Extra Virgin Oil Olive",20344
"oils vinegars","Pure Vegetable Oil",18602
"oils vinegars","Unfiltered Extra Virgin Olive Oil",18558
"oils vinegars","Aged Red Wine Vinegar",17277
"oils vinegars","Rich Taste Extra Virgin Olive Oil",16496
"oils vinegars","Organic Oil Canola",15487
"oils vinegars","Extra Virgin Olive Oil Rich Taste",14619
"oils vinegars","High Heat Canola Spray Oil",14570
"oils vinegars","Organic Unrefined Coconut Oil",14547
"oils vinegars","Aged White Wine Vinegar",14100
"oils vinegars","Fresh Pressed Virgin Coconut Oil",12860
"oils vinegars","Organic White Wine Vinegar",12859
"oils vinegars","Gourmet Delicate Avocado Oil",12646
"oils vinegars","Organic Extra Virgin Coconut Oil",12568
"oils vinegars","Pure Canola Oil",12563
"oils vinegars","Organic Olive Oil  Spray",12478
"oils vinegars","Organic Unrefined-Unfiltered Extra Virgin Olive Oil",11250
"oils vinegars","Balsamic Vinegar",10754
"oils vinegars","Champagne Vinegar",10589
"oils vinegars","100% Pure Avocado Oil",10513
"oils vinegars","Vegetable Oil",10023
"oils vinegars","Greek Extra Virgin Olive Oil",9677
"oils vinegars","Aged Balsamic Vinegar",8668
"oils vinegars","Avocado Oil, Refined",8643
"oils vinegars","Organic Whole Kernel Unrefined Coconut Oil",8575
"oils vinegars","Organic Refined Sunflower Oil",8284
"oils vinegars","Sherry Reserve Vinegar",8261
"oils vinegars","Avocado Oil",8239
"oils vinegars","Vegetable Oil, Pure & 100% Natural",8144
"oils vinegars","White Cooking Wine",7236
"oils vinegars","Roasted Peanut Oil",7215
"oils vinegars","Refined Canola Oil",7027
"oils vinegars","Extra Virgin Imported Robust Olive Oil",6673
"oils vinegars","Coconut Butter",6665
"oils vinegars","Organic Balsamic Vinegar",6590
"oils vinegars","Butter Cooking Spray",6556
"oils vinegars","White Wine Vinegar",6527
"oils vinegars","Organic Olive Oil Cooking Spray",6453
"oils vinegars","100% Pure Canola Oil",6244
"oils vinegars","Extra Light Tasting Olive Oil",6196
"oils vinegars","White Distilled Vinegar",6165
"oils vinegars","All Natural White Vinegar",6141
"oils vinegars","Extra Light Olive Oil",6002
"oils vinegars","Pure Olive Oil",5791
