Aisles,Product,amountBought
"oral hygiene","Fluoride-Free Antiplaque & Whitening Peppermint Toothpaste",34516
"oral hygiene","Natural Anticavity Silly Strawberry Fluoride Toothpaste for Children",28447
"oral hygiene",Peppermint,19482
"oral hygiene","Simply White Natural Clean Mint Fluoride Toothpaste",17510
"oral hygiene","Whitening Plus Scope Crest Complete Whitening + Scope Multi-Benefit Minty Fresh Striped Toothpaste 6.2oz Dentifrice",14023
"oral hygiene","Colagate Total Whitening Toothpaste",11834
"oral hygiene","Cool MintÂ® Antiseptic Adult Mouthwash",11330
"oral hygiene","Wicked Fresh! Mouthwash - Cool Mountain Mint",10780
"oral hygiene","Children's Silly Strawberry Fluoride Free Toothpaste",9181
"oral hygiene","Tea Tree Oil Dental Floss",8150
"oral hygiene","Extra Whitening Toothpaste",7975
"oral hygiene","Whole Care Wintermint  Fluoride Toothpaste",7366
"oral hygiene","Sugarfree Peppermint Chewing Gum",7347
"oral hygiene","3D White Radiant Mint Flavor Whitening Toothpaste",7245
"oral hygiene","FreshBurst Antiseptic Mouthwash",7192
"oral hygiene","Cavity Protection Regular Toothpaste Gel 6.4 Oz Dentifrice",6293
"oral hygiene","Soft Toothbrush",6060
"oral hygiene","Cool Mint Antiseptic Mouthwash",6037
"oral hygiene","Children's Outrageous Orange Mango Natural Fluoride Toothpaste",5760
"oral hygiene","Sugarfree Spearmint Chewing Gum",5585
"oral hygiene","Toothpaste, All-One, Peppermint",5406
"oral hygiene","All Natural Sea Fresh Antiplaque & Strengthening Toothpaste Deep Sea Spearmint",5266
"oral hygiene","Pronamel Gentle Whitening Toothpaste",5237
"oral hygiene","Sweet Mint Fluoride Toothpaste Gel",5033
"oral hygiene","CoolmintÂ® Antiseptic Mouthwash",4940
"oral hygiene","Fluoride-Free Antiplaque & Whitening Spearmint Toothpaste",4886
"oral hygiene","3D White Mint Toothpaste",4844
"oral hygiene","Wicked Fresh! Spearmint Ice Toothpaste",4667
"oral hygiene","Recycled Adult Ultra Soft Toothbrush",4557
"oral hygiene","Whole Care Spearmint Toothpaste",4345
"oral hygiene","Tartar Protection Whitening Toothpaste Cool Mint Paste",4289
"oral hygiene","2 in 1 Whitening Toothpaste",4248
"oral hygiene","Optic White Sparkling Mint Toothpaste",4171
"oral hygiene","Anticavity Fluoride and Antigingivitis Fresh + Whitening Gel Toothpaste",4144
"oral hygiene","Sugarfree Cinnamon Chewing Gum",3981
"oral hygiene","Medium Toothbrush",3901
"oral hygiene","Fresh Mint Toothpaste",3865
"oral hygiene","Cavity Protection Regular Fluoride Toothpaste",3857
"oral hygiene","Advance White Fluoride Anticavity Tartar Control Extreme Whitening Fresh Mint Flavor Toothpaste",3720
"oral hygiene","Wicked Fresh! Cool Peppermint Toothpaste",3580
"oral hygiene","Kids' Cavity Protection Bubble Mint Toothpaste",3406
"oral hygiene","Max Fresh Cool Mint Toothpaste",3299
"oral hygiene","Kids Cavity Protection Sparkle Fun Flavor Toothpaste",3285
"oral hygiene","Naturally Clean Soft  Toothbrush",3265
"oral hygiene","Wicked Cool Toothpaste",3223
"oral hygiene","Naturally Clean Medium Toothbrush",3212
"oral hygiene","Mild Fruit Toddler Training Toothpaste",3211
"oral hygiene","Flat Floss, Antiplaque, Naturally Waxed, Spearmint",3133
"oral hygiene","Extreme Clean Whitening Action Flouride Toothpaste - Mint Blast",3096
"oral hygiene","Fresh Mint Total Care Anticavity Mouthwash",3061
"oral hygiene","Pronamel Fresh Wave Fresh Breath Toothpaste",2900
"oral hygiene","Scope Complete Whitening Minty Fresh Liquid Gel Toothpaste",2849
"oral hygiene","Powersmile Peppermint Toothpaste",2783
"oral hygiene","Strawberry Toothpaste",2771
"oral hygiene","Natural Toothpaste Creme de Peppermint",2750
"oral hygiene","Mint Waxed Floss",2743
"oral hygiene","Mint Glide Floss Picks",2686
"oral hygiene","Total Clean Mint Toothpaste",2576
"oral hygiene","Total Whitening Gel Toothpaste",2550
"oral hygiene","Whitening Plus Scope Crest Complete Whitening + Scope Multi-Benefit Minty Fresh Striped Toothpaste 12.4oz Twin Pack  Dentifrice",2523
"oral hygiene","Cardamom SmartFloss",2441
"oral hygiene","Indicator Contour Clean Soft Toothbrush",2434
"oral hygiene","Organique Neem & Pomegranate Toothpaste",2326
"oral hygiene","Extra Clean Medium Toothbrush",2300
"oral hygiene","Fluoride Rinse - Mint",2273
"oral hygiene","Kids 2in1 Watermelon Toothpaste & Mouthwash",2208
"oral hygiene","Glide Mint Floss 2 Pack",2154
"oral hygiene","Advantage Oral-B Complete Deep Clean Soft Bristles Toothbrush",2070
"oral hygiene","Kids Anticavity Fluoride Rinse Bubble Gum Blow Out",2056
"oral hygiene","Oral B Glide Cool Mint Deep Clean Floss",2036
"oral hygiene","Total Whitening Toothpaste",2014
"oral hygiene","3D White Glamorous White Multi-Care Whitening Fresh Mint Flavor Mouthwash",2002
"oral hygiene","360 Optic White Toothbrush, Soft",1984
"oral hygiene","Organic Brushing Rinse Peppermint",1967
"oral hygiene","Natural Fluoride-Free Toothpaste Fresh Mint",1819
"oral hygiene","Pro-Health Multi-Protection Alcohol Free Mouthwash",1812
"oral hygiene","Sugar Free Cinnamon Chewing Gum",1802
"oral hygiene","ULTRACLEANâ„¢ Cool Mint ULTRACLEANâ„¢",1798
"oral hygiene","Pronamel Daily Protection - Mint Essence",1775
"oral hygiene","Toothbrushes, Soft, Full Head, Value Pack",1755
"oral hygiene","Pro Health Fresh Clean Mint Whitening Gel Fluoride Toothpaste",1735
"oral hygiene","Children's Tooth Gel",1720
"oral hygiene","Plus Soft Toothbrush",1707
"oral hygiene","Tea Tree Oil Dental Tape",1632
"oral hygiene","Anti-Cavity & Strengthening Deep Sea Spearmint Gel Toothpaste",1615
