Aisles,Product,amountBought
"other creams cheeses","Whipped Cream Cheese",299070
"other creams cheeses","Organic Sour Cream",268829
"other creams cheeses","Sour Cream",212982
"other creams cheeses","Cream Cheese Spread",126451
"other creams cheeses","Whole Milk Ricotta Cheese",106733
"other creams cheeses","Original Whipped Cream Cheese",104517
"other creams cheeses","Organic Cream Cheese Bar",104080
"other creams cheeses","Pure & Natural Sour Cream",102985
"other creams cheeses","Organic Small Curd Cottage Cheese",95671
"other creams cheeses","Organic Cottage Cheese",70263
"other creams cheeses","Lowfat Small Curd Cottage Cheese",67440
"other creams cheeses","Cream Cheese",65121
"other creams cheeses","Philadelphia Original Cream Cheese",64559
"other creams cheeses","Light Sour Cream",55957
"other creams cheeses","Philadelphia Cream Cheese Spread",50165
"other creams cheeses","Part Skim Ricotta Cheese",40376
"other creams cheeses","Pure & Natural Light Sour Cream",40185
"other creams cheeses","Creme Fraiche",40177
"other creams cheeses","Philadelphia Cream Cheese",38132
"other creams cheeses","Lowfat 2% Milkfat Cottage Cheese",37911
"other creams cheeses","Cream Cheese Cream Cheese Spread",34783
"other creams cheeses","Organic 4% Milk Fat Whole Milk Cottage Cheese",34124
"other creams cheeses","Dairy-Free Chive Cream Cheese",33383
"other creams cheeses","Original Cream Cheese",32560
"other creams cheeses","Organic Low Fat Cottage Cheese",30855
"other creams cheeses","Hampshire 100% Natural Sour Cream",30070
"other creams cheeses","Natural Sour Cream",29466
"other creams cheeses","Plain Better Than Cream Cheese",22500
"other creams cheeses","Milk Free Better Than Sour Cream",21161
"other creams cheeses","Low Fat Cottage Cheese",20175
"other creams cheeses","Organic Cottage Cheese Classic",19423
"other creams cheeses","Original Sour Cream",19240
"other creams cheeses","Reduced-fat Soft Cream Cheese",18849
"other creams cheeses","Organic Cultured Cream Cheese Spread",18671
"other creams cheeses","Whipped Cream Cheese Spread",18463
"other creams cheeses","Organic Cultured Sour Cream",18404
"other creams cheeses","Lactose Free Cream Cheese",17814
"other creams cheeses","Organic Cultured Low Fat 1% Cottage Cheese",17049
"other creams cheeses","Organic Reduced Fat 2% Cottage Cheese",16777
"other creams cheeses","Lactose Free Sour Cream",14293
"other creams cheeses","Part Skim Ricotta",13878
"other creams cheeses","4% Milkfat Small Curd Cottage Cheese",13700
"other creams cheeses","1/3 Less Fat Cream Cheese",12665
"other creams cheeses","2% Low Fat Cottage Cheese",12329
"other creams cheeses","Dairy Free Plain Cream Cheese Style Spread",11691
"other creams cheeses","Small Curd Lowfat 2% Milkfat Cottage Cheese",11522
"other creams cheeses","Small Curd Low Fat Cottage Cheese",11073
"other creams cheeses","Organic Strawberry Chia Lowfat 2% Cottage Cheese",9191
"other creams cheeses","Fresh Whole Milk Ricotta",8895
"other creams cheeses","Lowfat Cottage Cheese 2%",8687
"other creams cheeses","The Natural Whipped Topping",8381
"other creams cheeses","Lowfat Cottage Cheese",7927
"other creams cheeses","Spicy Jalapeno Cream Cheese Spread",7702
"other creams cheeses","Chive & Onion Cream Cheese Spread",7473
"other creams cheeses","All Natural Sour Cream",7344
"other creams cheeses","Organic Cottage Cheese Blueberry Acai Chia",7175
"other creams cheeses","Dairy Alternative Vegan Sour Cream",6655
"other creams cheeses","Garden Vegetable Cream Cheese Spread",6433
"other creams cheeses","4% Milkfat Small Curd Grade A Pasteurized Cottage Cheese",6286
"other creams cheeses","Plain Cream Cheese",6115
"other creams cheeses","Cream Cheese Bar",6040
"other creams cheeses","Reduced Fat Sour Cream",5906
"other creams cheeses","Organic Lowfat Sour Cream",5799
"other creams cheeses","Small Curd Cottage Cheese",5561
"other creams cheeses","Fat Free Cream Cheese",5486
"other creams cheeses","Philadelphia Whipped Cream Cheese Spread with Chives",5389
"other creams cheeses","Pineapple Cottage Doubles",5303
"other creams cheeses","4% Milkfat Large Curd Cottage Cheese",5104
"other creams cheeses","On the Go Low Fat Cottage Cheese",4798
"other creams cheeses","Smoked Salmon Cream Cheese Spread",4763
"other creams cheeses","4% Milkfat Cottage Cheese Small Curd 22 OZ",4756
"other creams cheeses","Lowfat & Strawberry Topping Cottage Cheese",4561
"other creams cheeses","Fat Free Cottage Cheese",4474
"other creams cheeses","Philadelphia Honey Nut Cream Cheese",4473
"other creams cheeses","Cottage Cheese 4% Milkfat Minimum",4454
"other creams cheeses","Philadelphia Reduced Fat Cream Cheese Spread",4437
"other creams cheeses","Fresh Spreadable Cream Cheese",4294
"other creams cheeses","Dairy Free Cream Cheese Style Spread Chive & Onion",4264
"other creams cheeses","Soft French-Style Nut Cheese",4114
"other creams cheeses",Marscapone,4011
"other creams cheeses","Grade A Pasturized Lowfat Cottage Cheese",4007
"other creams cheeses","Hampshire 100% Natural Grade A Pasteurized Sour Cream",4002
"other creams cheeses","Ricotta Whole Milk Cheese",3872
"other creams cheeses","Skinny Natural Whipped Topping",3656
"other creams cheeses","Regular Cream Cheese Spread",3554
"other creams cheeses","Light Cream Cheese",3380
"other creams cheeses","Soft Cream Cheese",3323
"other creams cheeses","Cottage Doubles Peach, 2% Milkfat Lowfat Cottage Cheese & Peach Topping",3283
"other creams cheeses","2% Low-fat Cottage Cheese",3277
"other creams cheeses","1% Milkfat Lowfat Cottage Cheese",3004
