Aisles,Product,amountBought
"packaged cheese","Organic Whole String Cheese",498609
"packaged cheese","Grated Parmesan",447579
"packaged cheese","Shredded Parmesan",351375
"packaged cheese","Feta Cheese Crumbles",333542
"packaged cheese","Organic Sticks Low Moisture Part Skim Mozzarella String Cheese",290506
"packaged cheese","Sharp Cheddar Cheese",283142
"packaged cheese","Shredded Mild Cheddar Cheese",263515
"packaged cheese","Shredded Mozzarella",228195
"packaged cheese","Organic Shredded Mozzarella",192692
"packaged cheese","Organic Mexican Blend Finely Shredded Cheese",182341
"packaged cheese","Organic American Cheese Singles",159337
"packaged cheese","Mini Original Babybel Cheese",149859
"packaged cheese","Goat Cheese Crumbles",134149
"packaged cheese","Colby Cheese Sticks",112666
"packaged cheese","Original Semisoft Cheese",109962
"packaged cheese","Mild Cheddar Cheese Sticks",104476
"packaged cheese","Medium Cheddar Cheese Block",101913
"packaged cheese","Emmentaler Swiss Slices",88279
"packaged cheese",Provolone,87416
"packaged cheese","Grated Parmesan Cheese",81909
"packaged cheese","Organic Shredded Mild Cheddar",81359
"packaged cheese","Garlic & Fine Herbs Gournay Cheese",79631
"packaged cheese","Organic Muenster Cheese Slices",75956
"packaged cheese","Organic Stringles Mozzarella String Cheese",74629
"packaged cheese","Shredded Sharp Cheddar Cheese",72597
"packaged cheese","Natural Sharp Cheddar Sliced Cheese",69384
"packaged cheese","Blue Cheese Crumbles",65459
"packaged cheese","Monterey Jack Cheese",60639
"packaged cheese","Mozzarella String Cheese",60344
"packaged cheese","100% Grated Parmesan Cheese",58220
"packaged cheese","Mini Babybel Light Semisoft Edam Cheeses",58155
"packaged cheese","Goat Cheese Log",57913
"packaged cheese","Special Reserve Extra Sharp Cheddar Cheese",56286
"packaged cheese","Light Semisoft Cheese",55766
"packaged cheese","Mozzarella Cheese",55408
"packaged cheese","Mexican Finely Shredded Cheese",54947
"packaged cheese","Organic Fancy Shredded Mozzarella Cheese",51226
"packaged cheese","Dairy Free Mozarella Style Shreds",48001
"packaged cheese","Organic String Cheese",44606
"packaged cheese","Sharp Cheddar Thick Slices Cheese",44003
"packaged cheese","Mild Cheddar Cheese",43916
"packaged cheese","Colby Jack Cheese",43489
"packaged cheese","Thick Medium Cheddar Slices",42121
"packaged cheese","Parmesan Shredded Cheese",42119
"packaged cheese","Singles American Cheese Slices",41392
"packaged cheese","Dairy-Free Cheddar Style Shreds",41313
"packaged cheese","Light Mozzarella String Cheese",40023
"packaged cheese","Shredded Parmesan Cheese",39860
"packaged cheese","Extra Sharp White Cheddar",39725
"packaged cheese","Shredded Mozzarella Cheese",39339
"packaged cheese","Provolone Slices",39278
"packaged cheese","Organic Raw Sharp Cheddar Cheese",38443
"packaged cheese","Mexican Style Taco Shredded Cheese",37431
"packaged cheese","Shredded Low-Moisture Part-Skim Mozzarella Cheese",36920
"packaged cheese","Medium Cheddar Cheese",36682
"packaged cheese","Snacks String Cheese Natural Mozzarella Cheese",36092
"packaged cheese","American Cheese Slices 12 Count",35438
"packaged cheese","Vegan Chao Creamy Original Cheese Slices",33469
"packaged cheese","Mexican Style Four Cheese Shredded Cheese",33398
"packaged cheese","Slices Cheddar Cheese",32647
"packaged cheese","Organi Cheddar Cheese Mild sliced",31713
"packaged cheese","Organic Finely Shredded Cheddar Cheese",31055
"packaged cheese","Fresh Mozzarella Cheese",29634
"packaged cheese","Triple Creme Goat Brie",29502
"packaged cheese","Creamy Swiss Original Wedges Cheese",29369
"packaged cheese","American Cheese Slices",28957
"packaged cheese","Natural Medium Cheddar Cheese",28565
"packaged cheese","Shredded 3 Cheese Blend",28422
"packaged cheese","Mild Sliced Cheddar Cheese",28073
"packaged cheese","Fresh Ciliegine Mozzarella Cheese",27807
"packaged cheese","Baby Swiss Slices Cheese",27296
"packaged cheese","Natural Shredded Mexican Style Four Cheese",25381
"packaged cheese","Ultra Thin Slices Sharp Cheddar Cheese",24904
"packaged cheese","Parmesan Cheese",24552
"packaged cheese","Vegan Cheddar Style Cheese Slices",23359
"packaged cheese","4 Cheese Mexican Fine Cut Shredded Cheese",23321
"packaged cheese","Mini Babybel Mozzarella Cheese",23270
"packaged cheese","Natural Muenster Cheese",23138
"packaged cheese","Natural Deli Style Sliced Swiss Cheese",22841
"packaged cheese","Feta Cheese",22315
"packaged cheese","Organic Fat Free Cottage Cheese",22211
"packaged cheese","Seriously Sharp Cheddar Cheese",21761
"packaged cheese","Organic Sliced Provalone Cheese",20853
"packaged cheese","Traditional Crumbled Feta Cheese",20036
"packaged cheese","Organic Shredded Parmesan",19493
"packaged cheese","Raw Mild Cheddar Cheese",19453
"packaged cheese","Unprocessed American Singles Colby-Style Cheese",19355
"packaged cheese","Natural Emmentaler Swiss Cheese",19211
"packaged cheese","Ultra Thin Sliced Provolone Cheese",19064
"packaged cheese","Natural Finely Shredded Triple Cheddar Cheese",18650
"packaged cheese","Ultra Thin Slices Swiss Cheese",18602
"packaged cheese","Extra Sharp Aged Cheddar Cheese slices",18148
"packaged cheese","Shredded Mexican Blend Cheese",18114
"packaged cheese","Low Moisture Part Skim Mozzarella String Cheese",18106
"packaged cheese","Feta Crumbled Traditional Cheese",17729
"packaged cheese","Freshly Shredded Parmesan Cheese",17386
"packaged cheese","Extra Sharp Cheddar Cheese",17330
"packaged cheese","String Cheese",16970
"packaged cheese","Cheese Finely Shredded Mexican Four Cheese Blend",16867
"packaged cheese",Burrata,16472
"packaged cheese","Medium Cheddar Natural Cheese",16278
