Aisles,Product,amountBought
"packaged poultry","Grilled Chicken Breast Strips",64336
"packaged poultry","Boneless Skinless Chicken Breast Fillets",57785
"packaged poultry","Lean Ground Turky",40223
"packaged poultry","Fresh Whole Chicken",34150
"packaged poultry","Ground Turkey",30093
"packaged poultry","Extralean Ground Turkey Breast",28756
"packaged poultry","Fresh Ground Turkey",26217
"packaged poultry","Chicken Tenders",25624
"packaged poultry","Turkey Store Lean Ground Turkey",24442
"packaged poultry","Chicken Thighs",24287
"packaged poultry","Chicken Breast Cutlets",23322
"packaged poultry","Extra Lean Ground Turkey Breast",13875
"packaged poultry","Organic Ground Chicken Breast",13443
"packaged poultry","Organic Turkey Burgers",11877
"packaged poultry","Organic Chicken Drumsticks",11418
"packaged poultry","Turkey Burger Patties",11310
"packaged poultry","Organic Boneless Skinless Chicken Thighs",8526
"packaged poultry","Italian Ground Turkey, Lean",7776
"packaged poultry","93% Lean Ground Turkey",7198
"packaged poultry","Chicken Wings",7061
"packaged poultry","Fresh Lean Ground Turkey",6394
"packaged poultry","Ground Chicken",6337
"packaged poultry","Oven Roasted Chicken Breast",5865
"packaged poultry","Whole Young Chicken",5795
"packaged poultry","Hot Italian, Lean Turkey Sausage",5553
"packaged poultry","Fresh Chicken Thighs",5319
"packaged poultry","Fresh Chicken Drumsticks",4873
"packaged poultry","Taco Seasoned Ground Turkey",4741
"packaged poultry","Fresh 99% Lean Ground Turkey",4513
"packaged poultry","Original Chicken Breast Nuggets",4454
"packaged poultry","Chicken Wings Family Pack",4192
"packaged poultry","All Natural Ground Chicken",3879
"packaged poultry","Boneless & Skinless Chicken Breast",3384
"packaged poultry","Fresh Boneless Skinless Chicken Breasts",3283
"packaged poultry","Dinosaur Shapes Chicken Breast Nuggets",3279
"packaged poultry","Organic Drumsticks",2850
"packaged poultry","Organic Chicken Nuggets",2822
"packaged poultry","Organic Boneless Skinless Chicken Breasts",2785
"packaged poultry","Boneless & Skinless Chicken Breasts",2649
"packaged poultry","85% Lean, 15% Fat Ground Turkey (013021)",2383
"packaged poultry","All Natural Boneless & Skinless Chicken Breasts Family Pack",2293
"packaged poultry","Fit N Easy Ground Chicken Breast",2292
"packaged poultry","Grilled And Ready Oven Roasted Diced Chicken Breast",2185
"packaged poultry","All Natural Chicken Tenderloins",2114
"packaged poultry","Smoked Uncured Kielbasa",2061
"packaged poultry","Seasoned & Cooked Pulled White Meat Chicken with Jack Daniel's Barbeque Sauce",1991
"packaged poultry","Everyday Fresh 85% Lean Ground Turkey",1774
"packaged poultry","Kiev Breaded Stuffed Chicken Breasts",1724
"packaged poultry","Lean, Seasoned Turkey Burger",1723
"packaged poultry","Organic Chicken Fingers",1677
"packaged poultry","Oven Ready Boneless with Gravy Packet Turkey Breast",1438
"packaged poultry","Chicken Sriracha Bar",1417
"packaged poultry","Organic Breaded Chicken Breast Nuggets",1380
"packaged poultry","Chicken Party Wings",1336
"packaged poultry","Grilled Italian Style Carved Chicken Breast",1329
"packaged poultry","Boneless Breast Meat Turkey Breast Roast",1309
"packaged poultry","Fresh Ground Chicken Breast",1223
"packaged poultry","85% Lean Ground Turkey",926
"packaged poultry","Smoked Turkey Drumsticks",860
"packaged poultry","Cordon Bleu Stuffed Chicken Breasts",819
"packaged poultry","Italian Style Boneless Skinless Chicken Breasts",798
"packaged poultry","Southwestern Style Carved Chicken Breast",797
"packaged poultry","Lemon Pepper Chicken Breast",788
"packaged poultry","Smoked Turkey Drums",775
"packaged poultry","Chicken Dumplings",709
"packaged poultry","Air Chilled Boneless Chicken Breast",701
"packaged poultry","Simply Smart Olive Oil & Rosemary Chicken Strips",656
"packaged poultry","Honey 1/2 Ham Boneless",620
"packaged poultry","Turkey Tenderloins",619
"packaged poultry","Cornish Game Hen",584
"packaged poultry","Baked Chicken Meatballs",417
"packaged poultry","All Natural Chicken Livers",403
"packaged poultry","Boneless & Skinless Chicken Thighs",361
"packaged poultry","Organic Boneless & Skinless Chicken Thighs",349
"packaged poultry","Habanero & Green Chile Chicken Meatballls",347
"packaged poultry","Organic Chicken",344
"packaged poultry","Chicken Kiev",318
"packaged poultry","Sweet & Sour Chicken Meatballs",301
"packaged poultry","Chicken Drummettes",298
"packaged poultry","Rotisserie Chicken Breast",269
"packaged poultry","Wicked Thai-Style Chicken with Rice & Vegetables Soup",235
"packaged poultry","Breaded Chicken Breast Cutlets",220
"packaged poultry","Simply Smart Lemon & Herb Chicken Strips",195
"packaged poultry","Rock Cornish Without Giblets Game Hen",164
"packaged poultry","Low Sodium Turkey",146
"packaged poultry","Italian Style Breaded Chicken Breast Cutlets",146
"packaged poultry","Extra Lean Turkey Breast Cutlet",135
"packaged poultry","Organic Chicken Tenders",120
"packaged poultry","Whole Cut Up Chicken",85
"packaged poultry","Chicken Strips",85
"packaged poultry","Whole Turkey",83
"packaged poultry","Premium Twin Pack Rock Cornish Game Hen",79
"packaged poultry","Fresh Hen Turkey",62
"packaged poultry","Split Chicken Breasts",59
"packaged poultry","Lightly Breaded Breast Tenders",57
"packaged poultry","Duck Leg Confit",52
"packaged poultry","Turkey Breast Tenderloins",45
"packaged poultry","Turkey Chops",26
