Aisles,Product,amountBought
"packaged produce",Raspberries,379467
"packaged produce","Hass Avocados",276359
"packaged produce",Clementines,132001
"packaged produce","Green Seedless Grapes",84216
"packaged produce","Seedless Cucumbers",64732
"packaged produce","Cauliflower Florets",62714
"packaged produce","Rainbow Bell Peppers",56180
"packaged produce","Packaged Grape Tomatoes",55654
"packaged produce","Baby Cucumbers",52009
"packaged produce","Gourmet Tomato Medley",45612
"packaged produce","Sweet Kale Salad Mix",42999
"packaged produce","Mini Seedless Watermelon Pack",34424
"packaged produce","Broccoli Florettes",31637
"packaged produce","Fully Husked & Trimmed Super Sweet Corn",18874
"packaged produce","Key Limes",18530
"packaged produce","Leaf Spinach",17357
"packaged produce","Butter Lettuce",16355
"packaged produce","California Heirloom Monviso Peeled Garlic",14602
"packaged produce","Bag of Jumbo Yellow Onions",14325
"packaged produce","Pineapple Spears",12299
"packaged produce","Red Bell Peppers",11453
"packaged produce","Organic Blueberries Clamshell",10677
"packaged produce","Vegetable Tray With Low Fat Dressing",9479
"packaged produce","Fresh Cut Butternut Squash",6456
"packaged produce","Deep Green Blends Kale",5086
"packaged produce","Baby Eggplant",4335
"packaged produce","Baby Mixed Squash",3521
"packaged produce","Organic Limes",2442
"packaged produce","Sleeve of Tuscan Melons",2306
"packaged produce","Organic Avocados 5 Count",1959
"packaged produce","Bing Dark Red Sweet Cherries",315
"packaged produce","English Cucumbers",89
