Aisles,Product,amountBought
"packaged seafood","Smoked Salmon",36581
"packaged seafood","Wild Sockeye Salmon",24945
"packaged seafood","Traditional Scottish Style Smoked Salmon",21162
"packaged seafood","Wild Alaskan Sockeye Smoked Salmon",14190
"packaged seafood","Smoked Atlantic Nova Salmon",12949
"packaged seafood","New York Style Nova Lox",12065
"packaged seafood","Atlantic Salmon Fillets",11304
"packaged seafood","Wild Smoked Sockeye Salmon",6081
"packaged seafood","Smoked Scottish Salmon",5159
"packaged seafood","Blue Tilapia Fillets",5056
"packaged seafood","Naturally Smoked Trout Fillet",4369
"packaged seafood","Sliced Smoked Atlantic Nova Salmon",3536
"packaged seafood","Nova Smoked Atlantic Salmon",3502
"packaged seafood","Smoked Mild Alaskan Sockeye Salmon",2361
"packaged seafood","Nova Style Atlantic Smoked Salmon",2360
"packaged seafood","Flake Style Imitation Crab",2203
"packaged seafood","Imitation Crab Flakes",2156
"packaged seafood","Smoked Wild Sockeye Salmon",2075
"packaged seafood","Smoked Wild Alaskan Coho Salmon",2026
"packaged seafood","Imitation Crab Sticks",1703
"packaged seafood","Spruce Point Smoked Salmon",1498
"packaged seafood","Peppered Smoked Wild Mackerel",1445
"packaged seafood","Wild Caught Sockeye Salmon Fillets",1373
"packaged seafood","Tuna Steaks",1185
"packaged seafood","Wild Sea Sardines In Olive Oil",1059
"packaged seafood","Wild Mackerel Fillet",1010
"packaged seafood","Classic Smoked Salmon",989
"packaged seafood","Herring In Wine Sauce",967
"packaged seafood","Crab Delights Imitation Flake Style Crab Meat",941
"packaged seafood","Imitation Crab, Leg Style",918
"packaged seafood","Herring in Dill Marinade",816
"packaged seafood","Smoked Nova Salmon",806
"packaged seafood","Alaskan Sockeye Smoked Salmon",749
"packaged seafood","Raw Shrimp 41-50",637
"packaged seafood","Wild Caught Raw Shrimp",559
"packaged seafood","Scandinavian Style Gravlax",511
"packaged seafood","Salmon Pinwheels",501
"packaged seafood","Alderwood Smoked Cracked Pepper Salmon",496
"packaged seafood","Echo Falls Lemon Pepper Wild Alaska Sockeye Smoked Salmon",487
"packaged seafood","Herring in Cream Sauce",438
"packaged seafood","Claw Crab Meat",407
"packaged seafood","Traditional Rope Hung Smoked Scottish Salmon",363
"packaged seafood","Cod Fillets",359
"packaged seafood","Crab Classic Chunk",314
"packaged seafood","Lemon Pepper & Garlic Smoked Fillet Trout",300
"packaged seafood","Wild Alaskan Salmon Sockeye Salmon Gravlox",285
"packaged seafood","Premium Herring Fillet Wine Sauce",257
"packaged seafood","European Style Smoked Salmon",245
"packaged seafood","Wild Caught Sea Scallops",244
"packaged seafood","Wild Smoked Salmon Classic",219
"packaged seafood","Ahi Tuna",216
"packaged seafood","Traditional Flavor Smoked Salmon",200
"packaged seafood","Imitation Crab Legs",196
"packaged seafood","Smoked Wild Keta Peppered Salmon",193
"packaged seafood","Whiting Fillets",150
"packaged seafood","Alaskan Cod Fillet",144
"packaged seafood",Mussels,111
"packaged seafood","Imitation Crabmeat",108
"packaged seafood","Naturally Smoked Atlantic Salmon",98
"packaged seafood","Premium Herring Fillet Sour Cream",96
"packaged seafood","Salted Cod Fillets",96
"packaged seafood","Acme Smoked Nova Salmon Brooklyn Classic",88
"packaged seafood","Sockeye Salmon",82
"packaged seafood","Crab Cakes Handmade",81
"packaged seafood","Premium Wild-Caught Pink Salmon Lemon Pepper",77
"packaged seafood","Fresh Farmed Tilapia Fillet",75
"packaged seafood","Whole Cleaned Calamari",72
"packaged seafood","Smoke Roasted Wild Sockeye Asian Sesame Salmon",70
"packaged seafood","Premium Jumbo Lump Crab Meat",70
"packaged seafood","Salmon Caviar",63
"packaged seafood","Catfish Fillets",61
"packaged seafood","Cajun Flavor Smoked Smoked Salmon Alder Wood Smoked",57
"packaged seafood",Swordfish,55
"packaged seafood","Flounder Fillets",52
"packaged seafood","Laird's Special Reserve Smoked Salmon",50
"packaged seafood","Smoke Roasted Wild Sockeye Salmon Apple Brown Sugar",31
"packaged seafood","Crab-Flavored Seafood",29
"packaged seafood","Pastrami Smoked Salmon",27
"packaged seafood","Jalape̱o Seasoned Tuna",18
