Aisles,Product,amountBought
"packaged vegetables fruits","Organic Baby Spinach",1870623
"packaged vegetables fruits","Organic Raspberries",1031044
"packaged vegetables fruits","Organic Blueberries",862073
"packaged vegetables fruits","Organic Grape Tomatoes",834206
"packaged vegetables fruits","Seedless Red Grapes",712691
"packaged vegetables fruits","Organic Baby Carrots",699817
"packaged vegetables fruits","Organic Baby Arugula",643474
"packaged vegetables fruits","Organic Peeled Whole Baby Carrots",533268
"packaged vegetables fruits","Clementines, Bag",364995
"packaged vegetables fruits","Organic Spring Mix",234186
"packaged vegetables fruits","Red Raspberries",227385
"packaged vegetables fruits","Organic Romaine",222814
"packaged vegetables fruits","Romaine Hearts",214275
"packaged vegetables fruits","Organic Green Seedless Grapes",205868
"packaged vegetables fruits","Baby Spinach",200328
"packaged vegetables fruits","Organic Baby Rainbow Carrots",195559
"packaged vegetables fruits","Organic Shredded Carrots",194935
"packaged vegetables fruits","Watermelon Chunks",192789
"packaged vegetables fruits","Organic Spring Mix Salad",187500
"packaged vegetables fruits","Organic Rainbow Carrots",150159
"packaged vegetables fruits",Spinach,146405
"packaged vegetables fruits","XL Emerald White Seedless Grapes",139797
"packaged vegetables fruits","Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",135276
"packaged vegetables fruits","Organic Baby Spinach Salad",134467
"packaged vegetables fruits","Super Greens Salad",127914
"packaged vegetables fruits","Organic Romaine Hearts",126739
"packaged vegetables fruits","I Heart Baby Kale",112558
"packaged vegetables fruits","Organic Baby Kale Mix",102703
"packaged vegetables fruits","Bunny-Luv Fresh Organic Carrots",98120
"packaged vegetables fruits","Organic Romaine Leaf",97971
"packaged vegetables fruits","Baby Arugula",96685
"packaged vegetables fruits","Organic Italian Salad",89879
"packaged vegetables fruits","Organic Sliced White Mushrooms",79057
"packaged vegetables fruits","Sliced White Mushrooms",75141
"packaged vegetables fruits",Supergreens!,73761
"packaged vegetables fruits","Organic Sliced Crimini Mushrooms",73343
"packaged vegetables fruits","Organic Baby Bella Mushrooms",72157
"packaged vegetables fruits","Mini Cucumbers",70681
"packaged vegetables fruits","White Sliced Mushrooms",63936
"packaged vegetables fruits","Celery Sticks",63691
"packaged vegetables fruits","Organic Kale Greens",60666
"packaged vegetables fruits","Organic Peeled & Cooked Beets",59435
"packaged vegetables fruits","Whole White Mushrooms",59193
"packaged vegetables fruits","Mache Rosettes French Salad Mix",58074
"packaged vegetables fruits","Stringless Sugar Snap Peas",57392
"packaged vegetables fruits","Peeled Garlic",56368
"packaged vegetables fruits","Broccoli Florets",55944
"packaged vegetables fruits","Organic Cherries",54192
"packaged vegetables fruits","Organic Russet Potato Bag",49991
"packaged vegetables fruits","Sliced Baby Bella Mushrooms",49300
"packaged vegetables fruits","Baby Spinach Salad",46575
"packaged vegetables fruits","Bolthouse Baby Carrots",43761
"packaged vegetables fruits","Organic Biologique Limes",42943
"packaged vegetables fruits","Large Pineapple Chunks",41764
"packaged vegetables fruits","Cut & Peeled Baby Carrots",40514
"packaged vegetables fruits","Bag of Organic Fuji Apples",39693
"packaged vegetables fruits","Green Leaf Shreds",39516
"packaged vegetables fruits","Organic Hummus",39036
"packaged vegetables fruits","Organic Baby Spring Mix",38964
"packaged vegetables fruits","Organic Mung-Bean Sprouts",38895
"packaged vegetables fruits","Carrot and Celery Sticks",38757
"packaged vegetables fruits","Organic Baby Romaine Lettuce",38396
"packaged vegetables fruits","Honeydew Chunks",36050
"packaged vegetables fruits","Baby Cut Carrots",35446
"packaged vegetables fruits","Baby Spring Mix",35291
"packaged vegetables fruits","Organic Fresh Carrot Chips",34493
"packaged vegetables fruits","Shredded Carrots",33486
"packaged vegetables fruits","Organic Brussel Sprouts",32932
"packaged vegetables fruits","Leafy Green Romaine Lettuce",32057
"packaged vegetables fruits","Organic Green Butter Lettuce",32007
"packaged vegetables fruits","Hearts Of Romaine",31166
"packaged vegetables fruits","3 lb Clementines",30704
"packaged vegetables fruits","Spring Mix",30377
"packaged vegetables fruits","Chopped Onions",30283
"packaged vegetables fruits","Organic Whole Peeled Baby Carrots",30045
"packaged vegetables fruits","Organic Sweet Mini Peppers",29697
"packaged vegetables fruits","Pomegranate Arils",28958
"packaged vegetables fruits","50/50 Spring Mix & Baby Spinach",28827
"packaged vegetables fruits","Organic Peeled Garlic",28178
"packaged vegetables fruits","Baby Carrots",27215
"packaged vegetables fruits","French Green Beans",27087
"packaged vegetables fruits","Organics Spinach",26788
"packaged vegetables fruits","Fresh Spinach",26602
"packaged vegetables fruits","Organic Broccoli Slaw",26580
"packaged vegetables fruits","Asian Chopped Salad with Dressing",26536
"packaged vegetables fruits","Wild Arugula",25960
"packaged vegetables fruits","Microwave in Bag Green Beans",25785
"packaged vegetables fruits","Pomegranate Seeds",25226
"packaged vegetables fruits","Wild Wonders Gourmet Medley Tomatoes",23888
"packaged vegetables fruits","50/50 Mix Spring Mix and Baby Spinach Salad Blend",23842
"packaged vegetables fruits","Organic Baby Romaine",23309
