Aisles,Product,amountBought
"paper goods","100% Recycled Paper Towels",256660
"paper goods","Sustainably Soft Bath Tissue",161987
"paper goods","100% Recycled Bathroom Tissue",61679
"paper goods","Ultra Soft Facial Tissues",51092
"paper goods","Select-A-Size White Paper Towels",50199
"paper goods","100% Recycled Bath Tissue Rolls",45645
"paper goods","White Giant Paper Towel Rolls",39343
"paper goods","Sensitive Toilet Paper",34421
"paper goods","Paper Towels Choose-A-Sheet, Mega Rolls, One-Ply",31748
"paper goods","Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",31195
"paper goods","2-Ply Right Size 100% Recycled Paper Towels",31070
"paper goods","Plastic Wrap",30576
"paper goods","2-Ply 100% Recycled Bathroom Tissue",29946
"paper goods","100% Recycled White Paper Towels",28954
"paper goods","100% Recycled 2 Ply Jumbo Paper Towel Roll",28550
"paper goods","Bathroom Tissue Softness & Strength, Double Rolls",26736
"paper goods","Clean Care Mega Rolls Toilet Paper",25468
"paper goods","Everyday 2 Ply Premium Napkins",25342
"paper goods","Ultra Strong Toilet Paper Double Rolls Bathroom Tissue",23596
"paper goods","Paper Towels",22271
"paper goods","Unscented 1000 Sheets Per Roll Bathroom Tissue",22270
"paper goods","Plus Lotion Facial Tissues",21943
"paper goods","Choose-A-Sheet Regular Roll Paper Towels",21652
"paper goods","CleanCare 1-Ply Double Rolls Toilet Paper",19662
"paper goods","One Ply Choose A Size Big Roll Paper Towel Rolls",19450
"paper goods","1 Ply Paper Towels",19432
"paper goods","Bathroom Tissue, 1â€‘Ply, 1000 Sheet Rolls",18163
"paper goods","Select-A-Size White Giant Roll Paper Towels",16710
"paper goods","100% Recycled Facial Tissue",16078
"paper goods","White Facial Tissues",15735
"paper goods","Ultra Plush 3 ply Toilet Paper 12 Double Rolls",15580
"paper goods","White Quilted Napkins",14729
"paper goods","Ultra Soft & StrongÂ® Toilet Paper Double Rolls",14440
"paper goods","White Paper Towels",14093
"paper goods","2-Ply Everyday Napkins",13685
"paper goods","Ultra Soft Bathroom Tissue Double Rolls",13598
"paper goods","Bathroom Tissue Double Rolls",13177
"paper goods","Trusted Care 2-Ply Tissues",12874
"paper goods","Double Rolls Bath Tissue",12797
"paper goods","Cool Touch Coconut Oil & Aloe Facial Tissues",12759
"paper goods","100% Recycled 2 Ply Paper Towels",12595
"paper goods","Lotion With Aloe & E Upright Facial Tissue",12279
"paper goods","2-Ply 100% Recycled White Facial Tissues",11245
"paper goods","Ultra Soft Facial 3-Ply White Facial Tissues",11182
"paper goods","Unscented Bathroom Tissue",11050
"paper goods","Fresh Care Flushable Cleansing Cloths Refills",9844
"paper goods","Paper Towel",9830
"paper goods","Anti Viral Upright Facial Tissue",9726
"paper goods","Everyday 2-Ply White Facial Tissues",9578
"paper goods","Impressions Napkins",9396
"paper goods","Bathroom Tissue, Unscented, Double Rolls, 3-Ply",9239
"paper goods","Ultra Soft Bathroom Tissue, Double Rolls",9020
"paper goods","Ultra Soft Toilet Paper",8963
"paper goods","Ultra Soft Mega Rolls  Bathroom Tissue",8466
"paper goods","Choose-A-Size White Paper Towels 8 Giant Rolls",7958
"paper goods","Extra Soft Double Roll Bathroom Tissue",7944
"paper goods","Freshmates Double Pack Adult Flushable Wipes",7824
"paper goods","Everyday  Facial Tissues",7516
"paper goods","Hand Towels",7363
"paper goods","Ultra Comfort Care Clean Ripple Bath Tissue",7254
"paper goods","Giant Roll Paper Towels",7190
"paper goods","Ultra Strong Mega Bathroom Tissue Rolls",7037
"paper goods","White Big Roll",6953
"paper goods","Ultra Strong Unscented 2-Ply Bathroom Tissue",6951
"paper goods","Unbleached Recycled Paper Towel Rolls",6853
"paper goods","Select-A-Size Paper Towels, White",6824
"paper goods","Clean Care Big Roll Toilet Paper",6569
"paper goods","Select-a-Size Rolls Paper Towels Tissue",6545
"paper goods","White Paper Towels, Regular Roll",6457
"paper goods","Cottonelle Fresh Care Flushable Cleansing Cloths",6347
"paper goods","Thirsty Ultra Big Roll towel White Vsa",6284
"paper goods","Paper Towels Pick-A-Size",6237
"paper goods","Ultra Strong Bathroom Tissue",6035
"paper goods","Vantage Choose-A-Size Regular Roll Towels",5844
"paper goods","FreshCare Flushable Cleansing Cloths Refill",5253
"paper goods","Bathroom Tissue",5231
"paper goods","Bath Tissue",5166
"paper goods","White Multifold Towels",5002
"paper goods","White Select-A-Size Paper Towels",4986
"paper goods","Facial Tissue Family Size",4919
"paper goods","Mighty Absorbent Paper Towels",4647
"paper goods","Toilet Paper Double Rolls - 24 CT",4644
"paper goods","Freshmates Charmin Freshmatesâ„¢",4606
"paper goods","Facial Tissues Boxes",4514
"paper goods","Vantage Choose-A-Sheet Paper Towels",4425
"paper goods","Clean Care 1-Ply Double Rolls Toilet Paper",4412
"paper goods","3 Ply White Tissues Go Packs",4405
"paper goods","Ultra Strong Charmin Ultra Strong Toilet Paper",4363
"paper goods","Premium Size Your Own White Paper Towels - 3 CT",4320
"paper goods","Fresh Care* Flushable Cleansing Cloths Refill",4151
"paper goods","Everyday Facial Tissue",4132
"paper goods","Paper Napkins",4093
"paper goods","XL Pick-A-Size Paper Towel Rolls",4074
"paper goods","Premium White Unscented Bathroom Tissue - 12 CT",4000
"paper goods","Expressions Facial Tissue",3985
"paper goods","Clean Care Toilet Paper, Double Rolls, 1 Ply",3973
"paper goods",Napkins,3831
"paper goods","Ultra Comfort Care Mega Roll Toilet Paper",3828
"paper goods","Unscented 2-Ply Double Roll Bathroom Tissue",3797
"paper goods","Facial Tissues",3748
"paper goods","White Regular Paper Towel Rolls",3736
"paper goods","Ultra Strong",3537
"paper goods","Ultra Soft Bath Tissue",3509
"paper goods","Choose-A-Sheet White Paper Towels",3454
"paper goods","Big Roll White Paper Towels",3406
"paper goods","Finding Dory Select-A-Size Paper Towel",3387
"paper goods","White Regular Rolls, 2-Ply Paper Towels",3362
"paper goods","Facial Tissue Cube",3271
"paper goods","Tissue with Lotion Aloe & E",3271
"paper goods","1000 Sheets Unscented Bathroom Tissue",3249
"paper goods","Unscented One-Ply Bathroom Tissues",3118
"paper goods","Bathroom Tissue, Unscented, Regular Rolls, 2-Ply",3056
"paper goods","Ultra Soft & Strong Double Roll Toilet Paper",3017
"paper goods","2-Ply White Tissues",3007
"paper goods","Viva Big Roll White Paper Towels",2998
"paper goods","Paper Towels with Thirst Pockets",2975
"paper goods","Paper Towels White w/ Thirst Pockets",2916
"paper goods","Everyday Facial Tissues",2902
"paper goods","Extra Soft Bathroom Tissue",2814
"paper goods","Recycled Facial Tissues 2 Ply",2693
"paper goods","Plus Lotion 2 Ply Tissues",2664
"paper goods","Spirited Prints Paper Towels with Thirst Pockets - 8 CT",2661
"paper goods","100% Recycled 1-Ply Bathroom Tissue",2632
"paper goods","100% Recycled 1 Ply White Napkins",2622
"paper goods","Ultra PlushÂ® 3 Ply Double Toilet Paper Rolls",2515
"paper goods","Ultra Comfort Care Double Roll Toilet Paper",2514
"paper goods","White Unscented Facial Tissue",2440
"paper goods","Brightly Lint-Free Paper Towel",2426
"paper goods","Bathroom Tissue Rolls",2416
"paper goods","Ultra Strong Bath Tissue",2402
"paper goods","Ultra Comfort Care Toilet Paper",2329
"paper goods","Basic Puffs Basic Facial Tissues; 3 Family Boxes; 180 Tissues per Box  Personal Tissue",2320
