Aisles,Product,amountBought
"pasta sauce","Marinara Sauce",200225
"pasta sauce","Organic Tomato Basil Pasta Sauce",184054
"pasta sauce","Basil Pesto",167283
"pasta sauce","Tomato Paste",119629
"pasta sauce","Marinara Pasta Sauce",116562
"pasta sauce","All Natural Marinara Sauce",85964
"pasta sauce","Organic Marinara Pasta Sauce",73836
"pasta sauce","Four Cheese Pasta Sauce",63967
"pasta sauce","Organic Tomato Basil Sauce",56808
"pasta sauce","Pizza Sauce",52576
"pasta sauce","Traditional Favorites Tomato & Basil Pasta Sauce",50709
"pasta sauce","Organic Italian Herb Pasta Sauce",42292
"pasta sauce","Homemade Hot Arrabbiata Fra Diavolo Sauce",41068
"pasta sauce","Tomato Basil Marinara Sauce",37570
"pasta sauce","Roasted Garlic Pasta Sauce",28731
"pasta sauce","Traditional Italian Sauce",27943
"pasta sauce","Organic Red Heirloom Pasta Sauce",26395
"pasta sauce","Tomato and Basil Bombolina Pasta Sauce",22198
"pasta sauce","Traditional Basil Pesto Sauce",22196
"pasta sauce","Tomato Basil Cooking Sauce",21511
"pasta sauce","Tomato Basil Sauce",21279
"pasta sauce","Homemade Vodka Sauce",20414
"pasta sauce","Alfredo Pasta Sauce",20344
"pasta sauce","Vodka Pasta Sauce",17668
"pasta sauce","Made with Extra Virgin Olive Oil Pesto sauce with Basil",15961
"pasta sauce","Pesto Alla Genovese Basil",15579
"pasta sauce","Sockarooni Spaghetti Sauce",14929
"pasta sauce","Traditional Favorites Four Cheese Pasta Sauce",14160
"pasta sauce","Signature Recipes Creamy Alfredo Pasta Sauce",13827
"pasta sauce","La Vodka Cooking Sauce",13638
"pasta sauce","Homemade Pizza Sauce",13513
"pasta sauce","Garlic Marinara Cooking Sauce",12136
"pasta sauce","Tomato Basil Pasta Sauce",11974
"pasta sauce","Tomato And Basil Pasta Sauce",11908
"pasta sauce","Roasted Garlic & Sweet Basil Sauce",11906
"pasta sauce","Classico Traditional Pizza Sauce",11312
"pasta sauce","Organico Bello Tomato Basil Pasta Sauce",11140
"pasta sauce","Traditional Pasta Sauce",10782
"pasta sauce","Signature Recipes Vodka Sauce Pasta Sauce",10109
"pasta sauce","Roasted Garlic",9926
"pasta sauce","Tomato Basil Garlic Italian Sauce",9691
"pasta sauce","Alfredo Sauce",9447
"pasta sauce","Rao's Homemade Roasted Garlic Sauce",9196
"pasta sauce","Fresh Mushroom  Pasta Sauce",7884
"pasta sauce","Old World Style Organic Traditional Pasta Sauce",7810
"pasta sauce","Pesto Pasta Sauce",7688
"pasta sauce","Fresh Tomato & Basil Sauce",7526
"pasta sauce","Garlic Marinara Pasta Sauce",7482
"pasta sauce","Organic Ville Organic Pasta Sauce Marinara",7330
