Aisles,Product,amountBought
"plates bowls cups flatware","9 Inch Plates",29422
"plates bowls cups flatware","Plastic Spoons",17415
"plates bowls cups flatware","Plastic Cup Squared Base - 30 CT",15122
"plates bowls cups flatware","Compostable Forks",14105
"plates bowls cups flatware","Flexible Straws",14060
"plates bowls cups flatware","Ultra Built Strong Paper Bowls",13208
"plates bowls cups flatware","Grab 'N GoÂ® Cups & Lids 12 Ounce",12108
"plates bowls cups flatware","Everyday Paper Plates",11382
"plates bowls cups flatware","8.5"" Microwavable Cut Resistant Plates",11078
"plates bowls cups flatware",Bowls,9472
"plates bowls cups flatware",Straws,9315
"plates bowls cups flatware","8 1/2 Inch Plates - 95 CT",8757
"plates bowls cups flatware","Assorted Compostable Flatware",7612
"plates bowls cups flatware","Everyday Plates 8.5 in",7426
"plates bowls cups flatware","Perfectouch Grab N Go Cups With Lids",7293
"plates bowls cups flatware","Plates, Ultra, 10-1/16 Inch",6949
"plates bowls cups flatware","All Occasion Classic White Paper Plates",6818
"plates bowls cups flatware","Red Plastic Cups",6518
"plates bowls cups flatware","Dinner Plates",6443
"plates bowls cups flatware","Round Toothpicks",5398
"plates bowls cups flatware","Cut Crystal Plastic Cups",5231
"plates bowls cups flatware","Mega Pack Everyday Plates",4810
"plates bowls cups flatware","Dinner Classic White 10.375"" Dinner Plate",4411
"plates bowls cups flatware","6 Inch Dessert Plates",3682
"plates bowls cups flatware","Heavy Duty Paper Plates",3646
"plates bowls cups flatware","Plates 10 1/16 inch 26 Ct",3616
"plates bowls cups flatware","Squared Cups",3488
"plates bowls cups flatware","First Quality Bamboo Round Tooth Picks",3384
"plates bowls cups flatware","Bath Cups - 200 CT",3247
"plates bowls cups flatware","Ultra Built Strong Plates - 22 CT",2954
"plates bowls cups flatware","Classic White Lunch Plate",2878
"plates bowls cups flatware","Heavy Duty Plastic Spoons",2814
"plates bowls cups flatware","Party Cutlery Full Size Forks",2728
"plates bowls cups flatware","Paper Plates",2590
"plates bowls cups flatware","Plastic Knives",2461
"plates bowls cups flatware","L'elegance Toothpicks",2437
"plates bowls cups flatware","Microwave Safe Paper Cups",2338
"plates bowls cups flatware","Foam Plates",2330
"plates bowls cups flatware","Cutlery Apple Green - 8 PK",2326
"plates bowls cups flatware","Everyday Bowls",2317
"plates bowls cups flatware","Compostable 12 oz Insulated Hot Cups & Lids",2116
"plates bowls cups flatware","10 oz Paper Bowls",2114
"plates bowls cups flatware","Everyday Soak Proof Foam Plates",1953
"plates bowls cups flatware","Plastic Cups, Clear, 9 oz",1865
"plates bowls cups flatware","Classic While Dinner Plates",1823
"plates bowls cups flatware","Everyday Bowls Soak Proof Foam Bowls",1791
"plates bowls cups flatware","Ultra Plates",1789
"plates bowls cups flatware","9"" Paper Plate",1775
"plates bowls cups flatware","9"" Paper Plates",1744
"plates bowls cups flatware","Party Tumblers",1667
"plates bowls cups flatware","Large 10.5"" Plates",1653
"plates bowls cups flatware","Everyday Mega Pack Paper Plates",1604
"plates bowls cups flatware","Clear Cups",1575
"plates bowls cups flatware","Dailyware Spoons",1550
"plates bowls cups flatware","Heavy Duty Compostable Bowls 16 oz",1536
"plates bowls cups flatware","Plates, Paper, Heavy Duty, 6-7/8 In",1520
"plates bowls cups flatware","Foam Bowls",1488
"plates bowls cups flatware","Flat Toothpicks",1480
"plates bowls cups flatware","PerfecTouch Grab'N Go 16 oz Cups & Lids",1457
"plates bowls cups flatware","Easy Grip 18 oz Red Plastic Cups",1377
"plates bowls cups flatware","Elegant Fluted 7.5"" Party Plastic Plates",1372
"plates bowls cups flatware","5 oz All Purpose Cups",1366
"plates bowls cups flatware","Cut Crystal Clear Plastic Cups",1281
"plates bowls cups flatware","Neon Flex Plastic Party Straws",1264
"plates bowls cups flatware","Style Pritns 18 oz. Plastic Cups",1244
"plates bowls cups flatware","Dinnerware Spoons",1199
"plates bowls cups flatware","Plates, 10-1/16 Inch",1180
"plates bowls cups flatware","Everyday Coated Paper Plates",1170
"plates bowls cups flatware","16 oz Cold Cups",1168
"plates bowls cups flatware","Party Spoons Full Size Flatware Durable Dishwasher Safe Plastic",1112
"plates bowls cups flatware","Square Dessert Plates",1110
"plates bowls cups flatware","Party Cutlery Full Size Assorted",1107
"plates bowls cups flatware","Designer Paper Cold Cups",1101
"plates bowls cups flatware","Everyday Assorted Heavy Duty Flatware Dishwasher Safe Plastic Forks, Knives, Spoons",1082
"plates bowls cups flatware","Heavy Duty White Spoons",1068
"plates bowls cups flatware","Heavy Duty Decorated Paper Plate",1066
"plates bowls cups flatware","Ultra 8 1/2 in Plates - 32 CT",1053
"plates bowls cups flatware","Party Drinking Flex Straws",1032
"plates bowls cups flatware","9oz Paper Cold Cups",990
"plates bowls cups flatware","Toothpicks Square Round Tip",972
"plates bowls cups flatware","Everyday Heavy Duty Spoons Dishwasher Safe Plastic",966
"plates bowls cups flatware","Dailyware Forks",873
"plates bowls cups flatware","Clear Plastic Party Cups",843
"plates bowls cups flatware","16 oz Cups & Lids",836
"plates bowls cups flatware","Cutlery, Plastic, Heavyweight, White Assorted",767
"plates bowls cups flatware","Renewable BPA-Free Compostable Assorted Cutlery",766
"plates bowls cups flatware","Dinnerware Forks",761
"plates bowls cups flatware","Compostable Plates",745
"plates bowls cups flatware","Everyday Napkins",726
"plates bowls cups flatware","Everyday Assorted Heavy Duty Flatware",656
"plates bowls cups flatware","Everyday Soak Proof  Foam Plates",656
"plates bowls cups flatware","Classic White Square Dinner Plates",639
"plates bowls cups flatware","Daily Multi-Purpose Mini Cups with Lids",633
"plates bowls cups flatware","Party Plastic Cups",617
"plates bowls cups flatware","Plates Small 7in Apple Green - 10 PK",612
"plates bowls cups flatware","12 Ounce Plastic Bowls",588
"plates bowls cups flatware","Cut Crystal 10"" Plastic Plates",568
"plates bowls cups flatware","Cut Crystal 7 inch Plastic Plates",555
"plates bowls cups flatware","Coated Paper Plates",550
"plates bowls cups flatware","Plastic Cups",539
"plates bowls cups flatware","3 Oz Bath Cups - 100 CT",518
"plates bowls cups flatware","Party Cups Plastic 18 oz",512
"plates bowls cups flatware","Perfect Touch Grab'n Go Cups",509
"plates bowls cups flatware","Plastic 18 Oz. Party Cups",506
"plates bowls cups flatware","1 Ply Napkins",506
"plates bowls cups flatware","Midnight Blue Cutlery",490
"plates bowls cups flatware","Party 18 fl. oz. Plastic Cups",476
"plates bowls cups flatware","Designer Paper Plates 8.75 In",465
"plates bowls cups flatware","Impressions Disposable Bowls - 18 CT",464
"plates bowls cups flatware","Cutlery, Plastic, Heavyweight, Clear Assorted",459
"plates bowls cups flatware","Ultra Strong Coated Paper Plates",445
"plates bowls cups flatware","Mint Tea Tree Flavored Toothpicks",432
