Aisles,Product,amountBought
"popcorn jerky","Baked Aged White Cheddar Rice and Corn Puffs",139722
"popcorn jerky","100 Calorie  Per Bag Popcorn",115425
"popcorn jerky","Boomchickapop Sea Salt Popcorn",92541
"popcorn jerky","Original Popcorn",76080
"popcorn jerky","White Cheddar Popcorn",70259
"popcorn jerky","Organic White Cheddar Popcorn",68548
"popcorn jerky","Corn Puffs with Aged White Cheddar (Lunch Packs)",37368
"popcorn jerky","Original Beef Jerky",32020
"popcorn jerky","Smartfood White Cheddar Cheese Popcorn",30334
"popcorn jerky","Lightly Sweet Popcorn",28502
"popcorn jerky","Boomchickapop Sweet & Salty Kettle Corn",28360
"popcorn jerky","Organic Popcorn",26813
"popcorn jerky",Popcorn,25623
"popcorn jerky","Sweet & Salty Kettlecorn",19947
"popcorn jerky","Rice and Corn Puffs, Baked, Veggie",18683
"popcorn jerky","Peppered Turkey Jerky",18394
"popcorn jerky","Organic Himalayan Pink Popcorn",17965
"popcorn jerky","Real Cheddar Baked Cheese Puffs",17887
"popcorn jerky","Aged White Cheddar Popcorn",17288
"popcorn jerky","Aged White Cheddar Puffs Cheese Snacks",17164
"popcorn jerky","Vegan Aged White Cheddar  Popcorn",16782
"popcorn jerky","Uncured Cracked Pepper Beef",15512
"popcorn jerky","Sea Salt & Pepper Popcorn",14231
"popcorn jerky","Original Turkey Jerky",12717
"popcorn jerky","Uncured Bacon + Cranberry Bison Bar",12482
"popcorn jerky","Teriyaki Beef Jerky",11897
"popcorn jerky","Chipotle Beef & Pork Realstick",11467
"popcorn jerky","Butter Microwave Popcorn",11382
"popcorn jerky","Chicago Mix Popcorn",10587
"popcorn jerky","White Cheddar Cheese Popcorn",10415
"popcorn jerky","Popcorn Party Size! White Cheddar Cheese",9979
"popcorn jerky","Skinny Pack White Cheddar Popcorn",9962
"popcorn jerky","Movie Theater Butter Microwave Popcorn",9624
"popcorn jerky","Gourmet Popping Corn Original",9286
"popcorn jerky","White Cheddar Jalapeno Gourmet Popcorn",7659
"popcorn jerky","Original Movie Theater Popcorn",7382
"popcorn jerky","Movie Theater Butter Pop Corn",7274
"popcorn jerky","Teriyaki Turkey Jerky",6795
"popcorn jerky","Butter Flavor Movie Theater Microwave Popcorn",6590
"popcorn jerky","Steak Strips",6375
"popcorn jerky","Sea Salt Popcorn",6292
"popcorn jerky","Popcorn Vegan Buttery Flavor",6237
"popcorn jerky","Homestyle Popcorn",6205
"popcorn jerky","Peppered Beef Jerky",6133
"popcorn jerky","Light Butter Microwave Popcorn",5955
"popcorn jerky","Microwave Extra Butter Popcorn",5691
"popcorn jerky","Beef Jerky Garlic Chili Pepper",5635
"popcorn jerky","Organic Himalayan Sweetness Popcorn",5490
"popcorn jerky","Pop Up Bowl Movie Theater Butter Popcorn",5450
"popcorn jerky","Sweet Chipotle Beef Jerky",5176
"popcorn jerky","Coconut Oil Popcorn",5131
"popcorn jerky","Rosemary Truffle Gourmet Popcorn",4869
"popcorn jerky","Chili Lime Beef Jerky Pack",4706
"popcorn jerky","Microwave Butter Popcorn",4678
"popcorn jerky","Beef Jerky Original",4478
