Aisles,Product,amountBought
"poultry counter","Ground Turkey Breast",247124
"poultry counter","Boneless Skinless Chicken Breast",188389
"poultry counter","Air Chilled Organic Boneless Skinless Chicken Breasts",146680
"poultry counter","Organic Boneless Skinless Chicken Breast",86323
"poultry counter","Boneless Skinless Chicken Thighs",86125
"poultry counter","Boneless And Skinless Chicken Breast",52651
"poultry counter","Organic Air Chilled Whole Chicken",50059
"poultry counter","Organic Ground Turkey",31057
"poultry counter","Sweet Italian Chicken Sausage",30596
"poultry counter","Ground Chicken Breast",27484
"poultry counter","Boneless Chicken Breast",23200
"poultry counter","Chicken Breast Tenders",18632
"poultry counter","Chicken Drumsticks",17761
"poultry counter","Whole Chicken",12072
"poultry counter","Fresh Chicken Breast",11338
"poultry counter","Rotisserie Chicken",8097
"poultry counter","All Natural Chicken Drumsticks",7853
"poultry counter","Natural Chicken Breast Cutlets",6653
"poultry counter","Buffalo Chicken Wings",6629
"poultry counter","Organic Whole Fryer Chicken",5339
"poultry counter","Natural Boneless Skinless Chicken Thighs",5109
"poultry counter","Kosher Chicken Thighs",4646
"poultry counter","Air Chilled Chicken Drumsticks",4277
"poultry counter","Chicken Thigh",3716
"poultry counter","Air Chilled Chicken Thighs",3695
"poultry counter","Fresh Ground Turkey Breast",3614
"poultry counter","Split Chicken Breast",2605
"poultry counter","Chicken Breast Tenderloins",2466
"poultry counter","Turkey Burger",2400
"poultry counter","Boneless Skinless Thighs",2316
"poultry counter","Organic Chicken Wings",2119
"poultry counter","Boneless Skinless Chicken Breasts with Rib Meat",2055
"poultry counter","Natural Chicken Drumsticks",1922
"poultry counter","Chicken Breast",1807
"poultry counter","Skinless Boneless Chicken Thighs",1668
"poultry counter","Breast Tenders",1489
"poultry counter","Organic Chicken Breast",1389
"poultry counter","Young Chicken",1271
"poultry counter","Whole Chicken Fryer",1251
"poultry counter","Chicken Leg Quarters",1084
"poultry counter","Bone In Chicken Breast",813
"poultry counter","Boneless Duck Breast",804
"poultry counter","Chicken Kabob",792
"poultry counter","All Natural Fresh Chicken Thighs",784
"poultry counter","Thin Sliced Chicken Breast",614
"poultry counter","Bone In Chicken Thighs",562
"poultry counter","Fresh Ground Turkey, 85% Lean/15% Fat",510
"poultry counter","Buffalo Style Chicken Breast",464
"poultry counter","Chopped Chicken Liver",440
"poultry counter","Beef Soup Bones",438
"poultry counter","Ground Turkey Patties",424
"poultry counter","Chicken Breast Kabob",406
"poultry counter","Tenderloin Jennie O Turkey",399
"poultry counter","Smoked Turkey Wings",385
"poultry counter","Buffalo Chicken Breast",364
"poultry counter","Split Chicken Breast With Ribs",360
"poultry counter","All Natural Fresh Chicken Wings",295
"poultry counter","Fresh Chicken Wings",290
"poultry counter","Chicken Drumsticks Family Pack",284
"poultry counter","Maple Glazed Honey Coat Cured Turkey Breast",280
"poultry counter","Smoked Turkey Necks",247
"poultry counter","Turkey Thighs",242
"poultry counter","Bone In Turkey Breast",196
"poultry counter","Turkey Wings",195
"poultry counter","Chicken Patty",176
"poultry counter","Uncured Boneless Ham",161
"poultry counter","Chicken Kabobs",154
"poultry counter","Frozen Whole Turkey",128
"poultry counter","Turkey Necks",127
"poultry counter","Rendered Duck Fat",107
"poultry counter","Chicken Livers",105
"poultry counter","Young Turkey",100
"poultry counter","Fresh Turkey Breast",99
"poultry counter","Dry Italian Salame",98
"poultry counter","Buffalo Wing Style With Bleu Cheese Bratwurst",67
"poultry counter","Chicken Wingettes & Drummettes Family Pack",67
"poultry counter","Sriracha Chicken Breast",46
"poultry counter","Gourmet Italian Style Chicken Meatballs",43
"poultry counter","Turkey Breast Cutlet",43
"poultry counter","Smoked Turkey Tails",35
"poultry counter","Smoked Turkey Drumstick",15
"poultry counter","Fresh Turkey Wings",11
