Aisles,Product,amountBought
"prepared meals","Original Rotisserie Chicken",55297
"prepared meals","Grilled Chicken Breast",45660
"prepared meals","Avocado Roll",44774
"prepared meals","Sesame Seaweed Salad",30403
"prepared meals","Quattro Formaggi Four Cheeses Pizza",23317
"prepared meals","Taboule Salad",22307
"prepared meals","Quiche Lorraine",19085
"prepared meals","Italian Sausage Pizza",18923
"prepared meals","Mashed Potatoes",17441
"prepared meals",Dolmas,16273
"prepared meals","Spicy Salmon Avocado Roll",15102
"prepared meals","Roasted Brussels Sprouts",13401
"prepared meals","Lunchables Turkey & American Cheese Cracker Stackers",13319
"prepared meals","Two Organic Cornmeal Pizza Crusts",13220
"prepared meals","Vegetable Dumpling",13203
"prepared meals","Turkey Meatballs",13141
"prepared meals","Lunchables Turkey & Cheddar with Crackers",13093
"prepared meals","Garden Vegetable Salad Roll",12542
"prepared meals","Basil, Asiago & Pine Nut Pesto Ravioli",11676
"prepared meals","Roasted Green Chile & Jack Cheese Tamales",11663
"prepared meals","Muenster Cheese",11554
"prepared meals","California Roll Sushi",11300
"prepared meals","Chicken Quesadilla",10859
"prepared meals","Tomato Goat Cheese & Herbs Pizza",10532
"prepared meals","Tofu Spring Roll",10256
"prepared meals","Homestyle Mashed Potatoes",9577
"prepared meals","Turkey Pastrami",8852
"prepared meals","Lunchables Pepperoni Pizza",8175
"prepared meals","Smoked Ham",8018
"prepared meals","Spicy Shrimp Avocado Roll",7998
"prepared meals","Organic Wraps Wheat",7288
"prepared meals","Shrimp Spring Roll",6695
"prepared meals","Grape Sunflower Butter Sunwiches",6344
"prepared meals","Roasted Pumpkin White Cheddar Tamales",6332
"prepared meals","Butternut Squash Tamales With Cheese",6297
"prepared meals","Vegetarian Roll",6197
"prepared meals","Extra Cheesy Pizza Lunchables",5679
"prepared meals","Bolani Pumpkin Filled Flatbread",5174
"prepared meals","Breakfast Burrito With Potatoes Jack & Cheddar Cheese & Meatless Chorizo",5049
"prepared meals","Salmon Roll",5009
"prepared meals","Lorraine Quiche",4827
"prepared meals","Black Bean Tamales",4739
"prepared meals","Garlic Mashed Potatoes",4532
"prepared meals","Lunchables Pizza with Pepperoni",4436
"prepared meals","Deviled Egg Tray",4397
"prepared meals","Lunchable Nachos",4178
"prepared meals","Butternut Squash Tamales with Roasted Green Chiles",4087
"prepared meals","Lemon Herb Chicken Breast",4016
"prepared meals","Lunchables Cracker Stackers Ham & American Cheese",3975
"prepared meals","Organic Bunny Butter Parmesan Pasta",3894
"prepared meals","Grilled Vegetables",3815
"prepared meals","Sashimi Combo",3736
"prepared meals","Chicken Potstickers",3581
"prepared meals","Lentil Filled Bolani 2 Pack",3554
"prepared meals","Ham & Cheddar Lunchable",3487
"prepared meals","Spinach Feta Cheese Pie",3450
"prepared meals","Chicken Corn Dog",3330
"prepared meals","Garlic Bread With Mozzarella",3186
"prepared meals","Enchilada Wrap",3090
"prepared meals","Mushroom Spinach & Salsa Tamales With 2 Cheeses",3038
"prepared meals","Teriyaki Stir Fry Kit",2819
"prepared meals","Broccoli Cheddar Quiche",2803
"prepared meals","Turkey & Cheddar Cracker Stackers",2803
"prepared meals","Elbow Macaroni & Cheese Side Dished",2753
"prepared meals","Organic Mac And Trees Fun Shape Macaroni & Cheese",2686
"prepared meals","Chicken Curry",2663
"prepared meals","Lunchables Turkey & American Cheese with Crackers",2611
"prepared meals","Honey Maple Ham",2469
"prepared meals","Potato Wedges",2450
"prepared meals","Grilled Salmon",2421
"prepared meals","Lunchables Lunch Combinations Pepperoni & Mozzarella",2288
"prepared meals","Lunchables Nachos with Cheese Dip and Salsa",2248
"prepared meals","Ham & American Funpack Lunchable",2210
"prepared meals","Fried Chicken",2204
"prepared meals","Lunchables Uploaded 6-inch Turkey & Cheddar Sub Sandwich",2144
"prepared meals","Turkey Meatloaf",2091
"prepared meals","Spaghetti & Meatballs",2062
"prepared meals","Ham & Swiss with Crackers",2047
"prepared meals","Chicken Caesar Wrap",2034
"prepared meals","Smoked Mozzarella Cheese",2029
"prepared meals","Chicken With Rice Soup",1983
"prepared meals","Garbanzo Bean Curry Pie",1980
"prepared meals","Moroccan Lentil Pie",1948
"prepared meals","Organic Roast Turkey Gravy",1853
"prepared meals","Whipped Sweet Potatoes",1845
"prepared meals","Tortellini 3 Cheese Pasta",1818
"prepared meals","Breaded Chicken Dunks Lunchables",1786
"prepared meals","Twice Baked Potatoes",1781
"prepared meals","Carnitas Fried Pork",1757
"prepared meals","Beef Empanada",1739
"prepared meals","Uncured Pepperoni Pizza",1712
"prepared meals","Chicken Burrito Bowl",1599
"prepared meals","8"" Pepperoni Pizza",1569
"prepared meals","Turkey Breast Oven Roasted",1567
"prepared meals","Shredded Chicken",1563
"prepared meals","Meat Lasagna",1556
"prepared meals","Lunchables Uploaded Deep Dish Pizza with Pepperoni",1479
"prepared meals","Decker Bundle",1455
"prepared meals","Beef Empanadas",1442
"prepared meals","Veggie Burgers",1439
"prepared meals","Warrior Meal High Protein Raw Almond Raisin",1430
"prepared meals","Saag Paneer",1417
"prepared meals","Mini Quiche Florentine",1403
"prepared meals","Almond & Raisin Hearty Oatmeal to Go",1399
"prepared meals","Genoa Salame, Provolone Cheese & Breadsticks",1390
"prepared meals","Shiitake Mushroom Rice Scooter",1388
"prepared meals","Bundle of Powerfood",1340
"prepared meals","Fried Chicken Wings",1297
"prepared meals","Falafel Hummus Wrap",1295
"prepared meals","Pork Potstickers",1274
"prepared meals","Organic Baby Red Potatoes",1272
"prepared meals","Chanterelle Mushroom And Ricotta Cappellacci",1269
"prepared meals","All Natural Thai Dumplings",1178
"prepared meals","Vegan Shanghai Dumplings",1151
"prepared meals","Spinach Artichoke Noodles",1150
"prepared meals","Crunchy Shrimp Tempura Roll",1129
"prepared meals","Avocado, Jack and Tomato Sandwich",1125
"prepared meals","Falafel Balls",1071
"prepared meals","Classic Rotisserie Chicken",1065
"prepared meals","Loaded Mashed Potatoes",1047
"prepared meals","Sweet Corn Tamales",1024
"prepared meals","Confetti Bean Pasta",949
"prepared meals","Light Bologna & American Cracker Stackers Lunchhable",932
"prepared meals","Tofu Black Bean Veggie Pie",921
"prepared meals","Seasoned Squid Salad",897
"prepared meals","Noodles, Sesame, Vegan, Tray",895
"prepared meals","White Corn and Zucchini Tamales With Cheese",884
"prepared meals","Sweet Onion And Red Pepper Chard Ravioli In Red Pepper Sauce",871
"prepared meals","Whole Wheat Pizza Dough",836
"prepared meals","8 Piece Fried Chicken",830
"prepared meals","Sunbutter & Crackers",822
"prepared meals","Chile Con Queso",821
"prepared meals","6 Piece with 10 fl oz Spring Water Uploaded Chicken Dunks",819
"prepared meals","Paneer Tikka Masala",781
"prepared meals","Vegan Mac N Cheese",779
"prepared meals","Hummus Cucumber and Tomato Sandwich",771
"prepared meals","Chili Rice Scooter",756
"prepared meals","Lunchables Chicken Dunks",740
"prepared meals","Thai Chicken Wrap",738
"prepared meals","Tamale Bean Cheese",734
"prepared meals","Greek Wrap",730
"prepared meals","Mild Chili Made with Grass Fed Beef",730
"prepared meals","Pork Tamales",713
"prepared meals","Lunchables Uploaded 6-Inch Turkey & Ham Sub Sandwich",710
"prepared meals","Roasted Brussel Sprouts",702
"prepared meals","Chipotle Pepper Hummus Wrap",677
"prepared meals","Calzone Spinach Feta & Tomato",673
"prepared meals","Beef Lasagna Family Size",671
"prepared meals","Bean and Cheese Gorditas",659
"prepared meals","Shrimp Ceviche",646
"prepared meals","Coconut Red Lentil Rice Scooter",644
"prepared meals","Chicken Burrito",634
"prepared meals","Classic Mashed Potatoes",633
"prepared meals","Okra Masala",630
"prepared meals","Cold Shredded Chicken",625
"prepared meals","Lunch Bundle Superfood Trail Mix - Corn & Flax Chips - Chickpeas & Almonds - Dark Chocolate Raisins - Veggie Crisps",621
"prepared meals","Aloo Gobi Chana Masala & Biryani Bento",615
"prepared meals","Spicy Peanut Noodles",614
"prepared meals","Cracker Crunchers Cooked Ham",611
"prepared meals","Saag Paneer & Biryani Bento",605
"prepared meals","Pepperoni And Cheese Snack Tray",582
"prepared meals","Black Winter Truffle Butter",574
"prepared meals","Ready Snax Fruit, Cheese & Flatbread Snack Pack",570
"prepared meals","Ham American Sub",565
"prepared meals","Seasoned Shredded Beef",548
"prepared meals","Seaweed Salad",545
"prepared meals","Arroz Rice with Vegetables",541
"prepared meals","Hummus Wrap",539
"prepared meals","Lunchables Turkey & Cheddar Sub Sandwich With Smoothie Lunch Combinations",533
"prepared meals","Salame Toscano",518
"prepared meals","Masala Veggies Paneer",501
"prepared meals","Lunchables Turkey & Low Fat Cheddar Cheese Meal Combinations",500
"prepared meals","Chicken Kabobbles",490
"prepared meals","Buffalo Chicken Mac & Cheese",482
"prepared meals","Rev #1 Pepperoni Pizza Snack Wrap",476
"prepared meals","Macro Bowl",471
"prepared meals","Made with Organic Pasta & Cheddar Cheese Number Shapes Macaroni & Cheese Dinner",462
"prepared meals","Chicken Quesadillas",459
"prepared meals","LunchMakers Turkey Cracker Crunchers with Nestle Butterfinger Bar",459
"prepared meals","La Cubana Meal",438
"prepared meals",On-The-Go,432
"prepared meals","White Corn & Zucchini Tamales",431
"prepared meals","Organic Mashed Potatoes",414
"prepared meals","Grape Leaf Hummus Wrap",409
"prepared meals","Roasted Sushi Nori Extra Fancy",395
"prepared meals","Traditional Gnocchi",387
"prepared meals","Buckwheat Soba",386
"prepared meals","Sweet Corn Roasted Chile Tamale",385
"prepared meals","Cranberry Relish",385
"prepared meals","Wrap Delight",385
"prepared meals","Spicy Veggie Wraps",385
"prepared meals","Hormel Simple Ideas Loaded Mashed Potatoes",378
