Aisles,Product,amountBought
"prepared soups salads","Tuna Salad",47326
"prepared soups salads","Classic Chicken Salad",41602
"prepared soups salads","Chicken Noodle Soup",37084
"prepared soups salads","Cut Hearts Of Palm",35520
"prepared soups salads","Chicken Tortilla Soup",21081
"prepared soups salads","Tuscan Kale & Quinoa Salad",19414
"prepared soups salads","Santa Fe Fiesta Salad",18621
"prepared soups salads","Egg Salad",16501
"prepared soups salads","Chicken Salad",15266
"prepared soups salads",Edamame,14902
"prepared soups salads","Organic Tomato Bisque",13292
"prepared soups salads","BBQ Chopped Salad",11749
"prepared soups salads","Fresh Fruit Salad",10390
"prepared soups salads","Organic Minestrone Soup",10033
"prepared soups salads","Asian Noodle Salad",9801
"prepared soups salads","Turkey Chili",9563
"prepared soups salads","Blackened Chicken Salad",9227
"prepared soups salads","Tomato Basil Soup",9185
"prepared soups salads","Black Bean Salad",9097
"prepared soups salads","Caesar Salad",9046
"prepared soups salads","Chickpea Salad",8618
"prepared soups salads","Greek Salad",8480
"prepared soups salads","Picnic Potato Salad",8198
"prepared soups salads","Tarragon Chicken Salad",8026
"prepared soups salads","Chicken Curry Salad",8002
"prepared soups salads","Roasted Tomato Basil Soup",7442
"prepared soups salads","Cobb Salad With Chicken & Bacon",6387
"prepared soups salads","Mini Falafel With Tahini Sauce",6300
"prepared soups salads","Macaroni Salad",6259
"prepared soups salads","Original Potato Salad",6223
"prepared soups salads","Mushroom Barley Soup",6085
"prepared soups salads","Ready Pac Salad Santa Fe Caesar Bowls",5994
"prepared soups salads","Quinoa, Kale & Red Lentil Soup",5991
"prepared soups salads","Organic Southwest Salad",5968
"prepared soups salads","Miso Soup",5718
"prepared soups salads","Lentil Salad",5021
"prepared soups salads","Chicken Caesar Salad",4871
"prepared soups salads","Greek Orzo Salad",4847
"prepared soups salads","Minestrone Soup",4759
"prepared soups salads","Red Lentil Dahl Soup",4555
"prepared soups salads","Classic Potato Salad",4549
"prepared soups salads","Garden Minestrone Soup",4517
"prepared soups salads","Chunky Chicken Noodle Soup",4288
"prepared soups salads","Chef Salad",4264
"prepared soups salads","Cobb Salad",4111
"prepared soups salads","Deviled Egg Potato Salad",4073
"prepared soups salads","Spinach Dijon Salad",3445
"prepared soups salads","Broccoli Cheddar Soup",3431
"prepared soups salads","Chicken Ceasar Wrap",3233
"prepared soups salads","Split Pea Soup",2976
"prepared soups salads","Organic Black Bean Soup",2894
"prepared soups salads","Garden Vegetable Soup",2869
"prepared soups salads","Smoked Whitefish Salad",2756
"prepared soups salads","Carrot Ginger Soup",2735
"prepared soups salads","Moms Macaroni Salad",2705
"prepared soups salads","Lobster Bisque",2570
"prepared soups salads","Mustard Potato Salad",2436
"prepared soups salads","Soup Chicken Tortilla",2300
"prepared soups salads","New England Clam Chowder",2145
"prepared soups salads","San Francisco Potato Salad",2096
"prepared soups salads","Mediterranean Orzo Salad",2060
"prepared soups salads","Baked Potato Soup",1998
"prepared soups salads","Curry Cauliflower Soup",1937
"prepared soups salads","Low-Fat Chicken Tortilla Soup",1881
"prepared soups salads","Broccoli with Almond Soup",1816
"prepared soups salads","Tabouli Salad",1641
"prepared soups salads","American Classics Macaroni Salad",1510
"prepared soups salads","Carrot Pistachio & Tarragon Soup",1490
"prepared soups salads","Quinoa Salad",1467
"prepared soups salads","Red Potato Salad",1398
"prepared soups salads","Rotisserie Chicken Salad",1270
"prepared soups salads","Deli Fresh Coleslaw",1131
"prepared soups salads","Caprese Salad",1093
"prepared soups salads","Pesto Pasta Salad",1078
"prepared soups salads","Butternut Squash Soup",1035
"prepared soups salads","Zucchini Soup",1015
"prepared soups salads","Butternut Squash Bisque",866
"prepared soups salads","Butternut Squash Cumin Soup",836
"prepared soups salads","Spicy Homestyle Guacamole",816
"prepared soups salads","Albacore Tuna Salad",788
"prepared soups salads","Mediterranean Lentil Salad",761
"prepared soups salads","Vegan Pesto Pasta",748
"prepared soups salads","Potato Salad",731
"prepared soups salads","Old Fashioned Potato Salad",728
"prepared soups salads","Tomato Basil Bisque",687
"prepared soups salads","Autumn Squash Soup",639
"prepared soups salads","Organic Cranberry Winter Salad",632
"prepared soups salads","Italian Pasta Salad",627
"prepared soups salads","Pimento Cheese Spread",607
"prepared soups salads","Sunflower Crisp Chopped Salad",570
"prepared soups salads","Organic Classic Gazpacho Chilled Vegetable Soup",550
"prepared soups salads","Red Skin Potato Salad",550
"prepared soups salads","Detox Salad",517
"prepared soups salads","Chop Chipotle Chedder Kit",509
"prepared soups salads","Chopped Bbq Seasoned Ranch Chicken Salad Bowl",479
"prepared soups salads","Pasta Salad",475
"prepared soups salads","Chinese Chicken Salad",457
"prepared soups salads","Classic Macaroni Salad",450
"prepared soups salads","Curried Tofu",445
"prepared soups salads","Three Bean Salad",438
"prepared soups salads","Organic Spinach Pow Salad",429
"prepared soups salads","Southwest Couscous Salad",413
