Aisles,Product,amountBought
"preserved dips spreads","Mild Salsa",158700
"preserved dips spreads","Organic Medium Salsa",144847
"preserved dips spreads","Cucumber & Garlic  Tzatziki",74080
"preserved dips spreads","Roasted Tomato Salsa",45467
"preserved dips spreads","Medium Salsa",42369
"preserved dips spreads","Mild Chunky Salsa",39985
"preserved dips spreads","Chunky Medium Salsa",36003
"preserved dips spreads","Tomatillo Salsa",31793
"preserved dips spreads","Salsa Con Queso Medium",31032
"preserved dips spreads","Organic Hot Salsa",30371
"preserved dips spreads","Jalapeno Cilantro Salsa",25273
"preserved dips spreads","Peach Mango Salsa",23883
"preserved dips spreads","Cherry Preserves",16752
"preserved dips spreads","French Onion Dip Mix",15595
"preserved dips spreads","Restaurant Style Medium Salsa",14378
"preserved dips spreads","Hot Salsa",13890
"preserved dips spreads","All Natural Original Guacamole Mix",13383
"preserved dips spreads","Casera Medium Salsa",12700
"preserved dips spreads","SALSA        FRNTR CHPTL SALSA",11798
"preserved dips spreads","All Natural Medium Fire-Roasted Tomato & Jalapeno Salsa",11335
"preserved dips spreads","Ranch Dip Mix",10519
"preserved dips spreads","Organic Mild Salsa",10419
"preserved dips spreads","All Natural Red Tomato Mild Salsa Mexican with Green Chile & Cilantro",10296
"preserved dips spreads","Chunky Salsa Medium",10073
"preserved dips spreads","All-Natural Chunky Salsa Medium",9581
"preserved dips spreads","Medium Salsa Con Queso",9089
"preserved dips spreads","Original Medium Picante Sauce",8991
"preserved dips spreads","Salsa Verde",8973
"preserved dips spreads","Jack's Special Salsa Medium Hot",8708
"preserved dips spreads","Organic Jellied Cranberry Sauce",7295
"preserved dips spreads","Salsa Con Queso Medium Dip",6213
"preserved dips spreads","Hot Roasted Habanero Salsa",6139
"preserved dips spreads","Salsa, Medium",5995
"preserved dips spreads","Roasted Tomato Salsa Serrano-Tomatillo",5924
"preserved dips spreads","Bandito Mild Salsa",5757
"preserved dips spreads","Raw Hummus",4894
"preserved dips spreads","Habanero Roasted Tomato Salsa",4887
"preserved dips spreads","Double Roasted Tomato Medium Salsa",4372
"preserved dips spreads","Vegan Raw Garlic Fluffy Spread",4064
"preserved dips spreads","Smooth Ranch Dip",4036
"preserved dips spreads","Medium Thick'n Chunky Verde Salsa",4032
"preserved dips spreads","Salsa Con Queso With Smoked Jalapeno Medium",4019
"preserved dips spreads","Original Flavor Bean Dip",3813
"preserved dips spreads","Organic Garlic Cilantro Salsa",3389
"preserved dips spreads","Organic Kalamata Olive Spread",3147
"preserved dips spreads","Chunky Mild Salsa",3129
"preserved dips spreads","Medium Mango Peach Salsa",3103
"preserved dips spreads","Medium Black Bean & Corn Salsa",3090
"preserved dips spreads","Chunky Hot Salsa",3019
"preserved dips spreads","Mango Key Lime Medium Salsa",2904
"preserved dips spreads","Fire Roasted Salsa",2845
"preserved dips spreads","Creamy Spinach Dip",2845
"preserved dips spreads","Salsa Casera Mild",2834
"preserved dips spreads","The Original Hot Picante Sauce",2710
"preserved dips spreads","Medium Texas Salsa",2560
"preserved dips spreads","Jalapeno Jack Queso with Salsa Verde",2557
"preserved dips spreads","Medium Suprema Salsa",2533
"preserved dips spreads","Medium Corn Black Bean & Red Pepper Salsa",2522
"preserved dips spreads","Jalapeno Cheddar Flavored Cheese Dip",2518
"preserved dips spreads","Smooth & Cheesy Dip",2511
"preserved dips spreads","Queso Blanco Medium Dip",2490
"preserved dips spreads","Mission Chunky Salsa Med 16 Oz",2485
"preserved dips spreads","Medium Guajillo Roasted Garlic & Tomatillo Salsa",2393
"preserved dips spreads","Hommus Sundried Tomato & Basil",2291
"preserved dips spreads","Salsa Black Bean & Corn",2074
"preserved dips spreads","Santa Barbara Mild Salsa",2066
"preserved dips spreads","Medium Picante Salsa",2047
"preserved dips spreads","Easy Cheese Cheddar Cheese",2043
"preserved dips spreads","Medium Chunky Salsa",2011
"preserved dips spreads","Tzatziki Sauce",1982
"preserved dips spreads","Roasted Garlic And Artichoke Hummus",1964
"preserved dips spreads","Green Onion Dip Mix",1943
"preserved dips spreads","Salsa, Chipotle, Medium",1885
"preserved dips spreads","Black Bean Salsa",1854
"preserved dips spreads","The Original Mild Picante Sauce",1840
"preserved dips spreads","Farmer's Garden Medium Salsa",1818
"preserved dips spreads","All Profits To Charity Pineapple Salsa",1801
"preserved dips spreads","Thyme Hummos",1704
"preserved dips spreads","Organic Roasted Lemon Thyme Hummus",1670
"preserved dips spreads","Mild Tomatillo Salsa",1616
"preserved dips spreads",Fabanaise,1610
"preserved dips spreads","Habanero Salsa Hot",1553
"preserved dips spreads","Goat Butter",1537
"preserved dips spreads","Fresh Chipotle Salsa",1459
"preserved dips spreads","Guacamole Dip Mix",1459
"preserved dips spreads","Trading Company All Natural Black Bean Spicy Dip",1426
"preserved dips spreads","Thick'n Chunky Mild Salsa",1417
"preserved dips spreads","Cheez Whiz Original Cheese Dip",1387
"preserved dips spreads","Organic Red Pepper Hummus",1381
"preserved dips spreads","Cantina Roasted Garlic Salsa Dip",1380
"preserved dips spreads","Mild Green Chile Queso",1344
"preserved dips spreads","Salsa Casera",1284
"preserved dips spreads","Munchable Falafel With Lemon Hummus",1275
"preserved dips spreads","Medium Tex Mex Salsa",1254
"preserved dips spreads","Mild Cheddar Flavored Cheese Dip",1238
"preserved dips spreads","Baba Ghanoush",1196
"preserved dips spreads","Old Fashioned Caramel Dip",1184
"preserved dips spreads","Thick & Chunky Mild Salsa",1144
"preserved dips spreads","Mild Peach Salsa",1121
"preserved dips spreads","Peach Mango Medium Hot Salsa",1108
"preserved dips spreads","Rustic Tomato Salsa",1069
"preserved dips spreads","Hot Raw Hummus",1065
"preserved dips spreads","Mild Thick & Chunky Salsa",1016
"preserved dips spreads","Urban Cowgirl Mild Mango Peach Salsa",1013
"preserved dips spreads","Medium Thick & Chunky Salsa",997
"preserved dips spreads","Chunky Salsa Mild",992
"preserved dips spreads","Salsa Roja",962
"preserved dips spreads","Organic Creamy Dill Dip Mix",956
"preserved dips spreads","Veggie Harvest Farmhouse Ranch Veggie & Whole Grain Snacks",954
"preserved dips spreads","Spinach Dip Mix",952
"preserved dips spreads","Japaleno Green Salsa Hot",951
"preserved dips spreads","Spikes Medium Chunky Salsa",944
"preserved dips spreads","Sour Cherry Spread",934
"preserved dips spreads","Pico De Gallo Mild Salsa",930
"preserved dips spreads","Medium Roasted Flavor Asada Verde Salsa",900
"preserved dips spreads","Traditional Olive Tapenade",876
"preserved dips spreads","Homestyle Salsa Medium",858
