Aisles,Product,amountBought
"protein meal replacements","Vanilla Whey Protein Powder",21245
"protein meal replacements","Viva Vanilla Flavor Protein Smoothie Powder Drink Mix",10998
"protein meal replacements","Vanilla Almond Builder's Protein Bar",10837
"protein meal replacements","Vegan Smooth Chocolate Nutritional Shake",10095
"protein meal replacements","Natural Chocolate Flavor Whey Protein Powder",8612
"protein meal replacements","Vegan Nutritional Shake Sweet Vanilla Bean",8066
"protein meal replacements","Organic Sweet Vanilla Bean Nutrition Complete Protein Shake",7137
"protein meal replacements","Organic Fuel High Protein Chocolate Shake",6923
"protein meal replacements","All-In-One French Vanilla Nutritional Shake Sachet",5729
"protein meal replacements","Protein Smoothie Choc-a-lot Flavor",5607
"protein meal replacements","Organic Balance Vanilla Bean Milk Protein Shake",5391
"protein meal replacements","Chocolate Protein Nutritional Shake",5339
"protein meal replacements","One Plant-Based Chocolate Flavor Nutritional Shake Drink Mix",5056
"protein meal replacements","Chocolate Peanut Butter Builder's Bar",5048
"protein meal replacements","Gluten Free Apple Uncured Bacon Beef Bar",5045
"protein meal replacements","Organic Fuel High Protein Vanilla Milk Shake",4954
"protein meal replacements","Fuel High Chocolate Protein Shake",4275
"protein meal replacements","One French Vanilla Nutritional Shake Drink Mix",4083
"protein meal replacements","Milk Chocolate Nutrition Shake",3889
"protein meal replacements","Vanilla Al'mondo Protein Shake",3239
"protein meal replacements","Original Vanilla Nutrition Shake",3032
"protein meal replacements","CalNaturale Svelte Organic Protein Shake French Vanilla",2844
"protein meal replacements","Rockin Refuel Chocolate Protein Milk Beverage",2770
"protein meal replacements","Maca Powder, Raw",2522
"protein meal replacements","Seitan, Traditional, Strips",2466
"protein meal replacements","Organic Fuel, High Protein Milk Shake, Vanilla",2455
"protein meal replacements","Ensure Plus Milk Chocolate Nutrition Shake",2396
"protein meal replacements","All-In-One Nutritional Shake, Chocolate",2391
"protein meal replacements","Organic Vanilla RAW Protein",2383
"protein meal replacements","Balance Dark Chocolate Milk Protein Shake",2354
"protein meal replacements","Sport Protein Chocolate Packet",2225
"protein meal replacements","Sport Plant-Based Vanilla Flavor Performance Protein Drink Mix",2198
"protein meal replacements","Chocolate Protein Nutrition Shake",2187
"protein meal replacements","Milk Chocolate Delight Shake",2165
"protein meal replacements","Protein & Greens Vanilla Flavor Drink Mix",2135
"protein meal replacements","Chocolate Peanut Butter Advantage Meal Bar",2089
"protein meal replacements","Organic Vanilla Raw Fit Protein for Weight Loss",2041
"protein meal replacements","Special K Protein Milk Chocolate Protein Shakes",2011
"protein meal replacements","One Chocolate Cherry Almond Meal Bar",1919
"protein meal replacements","Vanilla Shake Packet",1918
"protein meal replacements","Dark Chocolate Royale Shakes",1912
"protein meal replacements","Organic Bourbon Vanilla Whey Protein",1861
"protein meal replacements","All In One Coconut Almond Packet",1855
"protein meal replacements","Vanilla Creme Nutritional Shake",1847
"protein meal replacements","Plant-Based Vanilla Chai Flavor Nutritional Shake Drink Mix",1845
"protein meal replacements","Organic Hemp Pro Fiber Plant Based Protein Supplement",1840
"protein meal replacements","Bar Chocolate Peanut Butter Gluten Free",1808
"protein meal replacements","All In One Mocha Nutritional Shake Packet",1753
"protein meal replacements","Spicy Yuba Noodles",1753
"protein meal replacements","Chocolate Cacao Raw Fit Protein Powder",1708
"protein meal replacements","Organic Vanilla Flavor Plant Protein Smooth",1694
"protein meal replacements","Vanilla Creme Protein Nutrition Shake",1685
"protein meal replacements","PlusÂ® Vanilla Nutrition Shake",1556
"protein meal replacements","French Vanilla Whey Based Protein Powder",1484
"protein meal replacements","Organic Dark Chocolate Whey Protein",1433
"protein meal replacements","Raw Protein Packet Vanilla",1405
"protein meal replacements","Organic Nutritional Shake Strawberries & Cream",1405
"protein meal replacements","Fudge Graham Nutrition",1403
"protein meal replacements","Chia Pod Coconut",1380
"protein meal replacements","Organic Cashew & Cacao Meal Bar With Whey",1364
