Aisles,Product,amountBought
refrigerated,"100% Raw Coconut Water",243150
refrigerated,"Original Orange Juice",186524
refrigerated,Lemonade,152841
refrigerated,"Organic Raw Kombucha Gingerade",146838
refrigerated,"Original No Pulp 100% Florida Orange Juice",145653
refrigerated,"Trilogy Kombucha Drink",115850
refrigerated,"Orange Juice",115675
refrigerated,"Synergy Organic Kombucha Gingerberry",68903
refrigerated,"Pulp Free Orange Juice",64737
refrigerated,"No Pulp Calcium & Vitamin D Pure Orange Juice",63303
refrigerated,"Apple Juice",62288
refrigerated,"Juice Beverage, Cold Pressed, Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon",58060
refrigerated,"Organic & Raw Strawberry Serenity Kombucha",56270
refrigerated,"Florida Orange Juice With Calcium & Vitamin D",54206
refrigerated,"Organic Raw Multigreen Kobmbucha",49646
refrigerated,"Enlightened Organic Raw Kombucha",49431
refrigerated,"Synergy Organic & Raw Cosmic Cranberry",46373
refrigerated,"Raspberry Lemonade",45122
refrigerated,"All Natural Virgin Lemonade",42875
refrigerated,"Freshly Squeezed Orange Juice",42674
refrigerated,"Naked Green Machine Boosted Juice Smoothie",40613
refrigerated,"Organic Fresh Squeezed Orange Juice",40244
refrigerated,"Grapefruit Juice",39428
refrigerated,"Kombucha, Organic Raw, Citrus",37840
refrigerated,"Orange Juice 100% Juice",37064
refrigerated,"Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage",35337
refrigerated,"Cold-pressed, Deliciously Hydrating Watermelon Water",29134
refrigerated,"Essential Greens With Lime  Vegetable and Fruit Juice Blend",27511
refrigerated,"Lemon Ginger Sparkling Probiotic Drink",27288
refrigerated,"Guava Goddess Organic Kambucha",26873
refrigerated,"Calcium Pulp Free Orange Juice",26116
refrigerated,"California Orange Juice",25182
refrigerated,"100% Mighty Mango Juice Smoothie",25081
refrigerated,"Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D, 50% Less Sugar & Calories",25044
refrigerated,"Lemon Cayenne Agave Cold Pressed Juice Beverage",24989
refrigerated,"Green Machine Juice Smoothie",24766
refrigerated,"Organic Lemon Cayenne Sparkling Probiotic Drink",24504
refrigerated,"Passionberry Bliss Kombucha Drink",23757
refrigerated,"Original No Pulp Pure 100% Florida Orange Juice",23546
refrigerated,"Organic Orange Juice With Calcium & Vitamin D",23280
refrigerated,"Oragnic Ginger Lemon Kombucha",22695
refrigerated,"Ruby Red Grapefruit",22435
refrigerated,"Wonderful 100% Pomegranate Juice",21061
refrigerated,"Mango Tango Fruit Smoothie Blend",20564
refrigerated,"Orange Strawberry Banana Juice",20259
refrigerated,"Mighty Mango Juice Smoothie",20202
refrigerated,"Pineapple Apple Mint Organic Cold Pressed Juicd",19950
refrigerated,Limeade,19735
refrigerated,"Cold-Pressed Organic Orange",19420
refrigerated,"Sweet Greens and Lemon Vegetable and Fruit Juice Blend",19179
