Aisles,Product,amountBought
"seafood counter","Tilapia Filet",133674
"seafood counter","Coho Salmon",30128
"seafood counter","Wild Caught Frozen Sockeye Salmon Fillet",26655
"seafood counter","Jumbo Lump Crab Cake",12694
"seafood counter","Fresh Tilapia Fillet",12025
"seafood counter","Pacific Cod Fillet",11192
"seafood counter","Atlantic Salmon Fillet",6180
"seafood counter","Littleneck Clams",3844
"seafood counter","Fresh Atlantic Salmon Fillet",3492
"seafood counter","Fresh Tilapia Fillets",3234
"seafood counter","Rainbow Trout Fillet",3149
"seafood counter","Lobster Tails",2966
"seafood counter","Tilapia Fillet",2553
"seafood counter","Tuna Fillets Ventresca In Olive Oil",2362
"seafood counter","Whole American Red Snapper",2262
"seafood counter","Watermelon Luau Bowl",1440
"seafood counter",Talapia,941
"seafood counter","Smoked Mussels",928
"seafood counter",Shrimp,624
"seafood counter","Smoked Lox Style Wild Sockeye Salmon",506
"seafood counter","Lobster Tail",481
"seafood counter","Atlantic Salmon",462
"seafood counter","Scotch Reserve Scottish Smoked Salmon",460
"seafood counter","Coconut Shrimp",425
"seafood counter",Tilapia,424
"seafood counter","Bacon Wrapped Scallops",400
"seafood counter","Bay Scallops",390
"seafood counter","Yellowfin Tuna Steak",388
"seafood counter","Cod Fillet",379
"seafood counter","Fresh Salmon Fillet",324
"seafood counter","Teriyaki Salmon Burger",288
"seafood counter","Cooked Jumbo Shrimp",265
"seafood counter","Mahi Mahi Fillet",208
"seafood counter","Mahi Mahi",197
"seafood counter","Gluten Free  Herb Crusted Fish Fillet",184
"seafood counter","Fresh Catfish Fillet",169
"seafood counter","Seafood Mix",167
"seafood counter","Cold Water Lobster Tail",157
"seafood counter","Pasteurized Crab Meat",150
"seafood counter","Olsen Pickled Herring",148
"seafood counter","Wild Alaskan Cod Fillet",148
"seafood counter","Crab Meat Backfin Lump",132
"seafood counter","Coho Salmon Fillet",129
"seafood counter","Catfish Fillet",120
"seafood counter","Almond Crusted Flounder",115
"seafood counter","Snow Crab Clusters",107
"seafood counter","Sockeye Salmon Fillet",82
"seafood counter","Peeled & De-veined Key West Pink Shrimp",79
"seafood counter","Fresh Catfish Nuggets",61
"seafood counter","Crispy Alaskan Cod Fillets",58
"seafood counter","Catfish Nuggets",39
"seafood counter","Raw White Shrimp",25
"seafood counter","Cooked Mussel Meats",7
"seafood counter","King Crab Legs",3
