Aisles,Product,amountBought
"shave needs","Soleil Twilight Triple Blade Disposable Razor for Women",3802
"shave needs","SkinTherapy Moisturizing Shave Gel",3688
"shave needs","Shaving Cream, Soothing Aloe",3034
"shave needs","Triple Razor",2645
"shave needs","Triple Blade Cartridges",2304
"shave needs","Simply Venus Pink Women's Disposable Razor",2230
"shave needs","Skin Therapy Dry Skin Moisturizing",2048
"shave needs","Men's Ultra Sensitive with Colloidal Oatmeal Shave Gel",2042
"shave needs","Original Shave Cream",2033
"shave needs","Venus Embrace Women's Razor Blade Refills",2027
"shave needs","Fusion Power Men's Razor Blade Refills",1756
"shave needs","Gillette Fusion ProGlide Manual Men's Razor Blade Refills",1724
"shave needs","Fusion ProGlide Power Men's Razor Blade Refills",1574
"shave needs","1 Razor Handle and 2 Freesia Scented Razor Refills  Premium BladeRazor System",1562
"shave needs","Foamy Regular Shave Cream 11oz Male Shave Prep",1472
"shave needs","Foamy Sensitive Skin Shaving Cream",1402
"shave needs","Skin Therapy Sensitive Skin Lotionized Moisturizing Shave Gel",1254
"shave needs","Quattro For Women Disposable Razor",1251
"shave needs","4 in 1 Moisture Shave Lavender Shea",1202
"shave needs","Natural Moisturizing Cream Shave Unscented",1198
"shave needs","Mach 3 Sensitive Disposable Razor",1010
"shave needs","Venus Sensitive 3 Blade Women's Disposable Razors",1006
"shave needs","Sensitive Skin Fragrance Free Shave Gel",955
"shave needs","Daisy Classic Disposable Women's Razors",951
"shave needs","Sensor2 Plus Men's Disposable Razor",938
"shave needs","Ultra Sensitive Hydra Gel Men's Shave Gel",922
"shave needs","Spa Breeze Women's White Tea ScentedÂ Disposable Razor 2 Count Female Disposable Razor",918
"shave needs","Fusion Manual Men's Razor Blade Refills",911
"shave needs","Therapeutic Shave Gel SHAVE GELS",884
"shave needs","Moisture Shave, 4 in 1, Fragrance Free",836
"shave needs","Shaving Blade Cartridges",778
"shave needs","Mach 3 Turbo Refill Cartridges",750
"shave needs","Venus Embrace Women's Razor Handle and 2 Razor Blade Refills",745
"shave needs","Soleil 3 Blade Women's Disposable Razors",737
"shave needs","Positively Smoothâ„¢ Shave Gel",735
"shave needs","Coconut Lime Cream Shave",733
"shave needs","Ultra Moisturizing Lavender Shave Cream",724
"shave needs","Aloe Mint Moisturizing Shave Cream",710
"shave needs","Women's Strawberry Tangerine Twist Shave Gel",709
"shave needs","Raspberry Rain Shave Gel",703
"shave needs","Sensitive Skin Shave Cream",682
"shave needs","Skin Therapy Women's Lotionized Shave Gel For Dry Skin",638
"shave needs","Extra Moisturizing Shave Gel",626
"shave needs","Gillette Venus Embrace Sensitive Women's Razor Blade Refills",620
"shave needs","Sensitive Shaving Gel",618
"shave needs","Vanilla Bliss Ultra Moisturizing Shave Cream",616
"shave needs","Silky Touch Shavers",609
"shave needs","Pomegranate Raspberry Shave Cream",595
"shave needs","Venus Original Women's Razor Refills",587
"shave needs","Spa Breeze Women's Razor Refills",577
"shave needs","Fusion Razor Cartridges",565
"shave needs","Venus & Olay Original Razor Blade Refills",538
"shave needs","Hybrid Advance Triple Blade Disposable System Razor for Men,",524
"shave needs","Skin Therapy Baby Soft Lotionized Moisturizing Shave Gel",520
"shave needs","Intuition Pure Nourishment With Coconut Milk And Almond Oil Refill Blades",518
"shave needs","Sensor 3 Disposable Razors",504
"shave needs","Mach 3 Razor",502
"shave needs","Gillette Fusion Men's Razor with 2 Fusion Razor Blades",490
"shave needs","Soothing Aloe Shave Gel",449
"shave needs","Satin Care Sensitive Skin Shave Gel",442
"shave needs","Organic Lavender Shaving Gel",441
"shave needs","Raspberry Rain Moisturizing Shave Gel",421
"shave needs","Hair Remover Wax Strip Kit",409
"shave needs","Mach3 Turbo Cartridges",405
"shave needs","Skin Clearing Shave Cream Men",405
"shave needs","Venus Embrace Women's Razor Refills",405
"shave needs","Sensitive For Men Razors",401
"shave needs","For Women Skintimate Raspberry Rain Disposable Razors",387
"shave needs","Sensitive Disposable Razors",387
"shave needs","Sensor 2 Pivot Plus With Lubrastrip Disposable Razors",381
"shave needs","Good News! Plus Disposable Razors",380
"shave needs","Swirl Women's Razor Blade Refills",374
"shave needs","Gillette Venus Embrace Pink Women's Razor Handle and 2 Razor Refills",371
"shave needs","Mach3 Smooth Men's Disposable Razor",359
"shave needs","Hydro Silk Women's Refill Blades",348
"shave needs","Sensitive Shave Gel with Aloe",335
"shave needs","Gillette Fusion ProGlide Manual Men's Razor Blades",327
"shave needs","Flex 4 Four Blade Disposable Razor for Men",325
"shave needs","Moisturizing Face Cream",321
"shave needs","Sensor 2 Razors",320
"shave needs","Mango Vanilla Foam Shave For Normal to Dry Skin",317
"shave needs","Series Sensitive Shave Cream",311
"shave needs","Hydro 5 Men's Refill Blades",305
"shave needs","Moisturizing Cream Shave, Aloe-Unscented",301
"shave needs","Anti-Bumps Shave Gel for Bikini Area",294
