Aisles,Product,amountBought
"skin care","Sensitive Facial Cleansing Towelettes",7195
"skin care","Alcohol-Free Witch Hazel Rose Petal Toner",5044
"skin care","Lavender Hand Sanitizer",4077
"skin care","Brightening Facial Scrub Sea Kelp + CGF",3449
"skin care","Towelettes, Make Up Removing, Face",3229
"skin care","Indian Healing Clay",2769
"skin care","Argan Oil Cleansing Towelettes Unscented",2732
"skin care","Hawaiian 3-in-1 Clean Towelettes",2554
"skin care","100% Pure Jojoba Oil",1874
"skin care","Peach & Willow Bark Exfoliating Wipes",1808
"skin care","Natural Tea Tree Oil Facial Cleansing Pads Original",1758
"skin care","Sweet Almond Natural Skin Care Oil",1713
"skin care","Sensitive Facial Cleanser For Dry Sensitive Skin",1598
"skin care","Original Thoroughly Clean  Oily & Combination Skin Face Wash",1506
"skin care","Everyday Coconut Face Wash",1447
"skin care","Facial Cleansing Gel with  Superfruit + Chlorella Growth Factor",1347
"skin care","Acnedote Face & Body Scrub",1320
"skin care","Rose Day Cream",1304
"skin care","Lavender & Witch Hazel Alcohol-Free Toner",1187
"skin care","Pomegranate Moisturizing Lip Balm",1154
"skin care","Skin Oil",1084
"skin care","Purify Coconut Water Cleansing Wipes",1076
"skin care","Kids Defense Spray Sunscreen SPF50",1064
"skin care","Witch Hazel Astringent",1023
"skin care","Very Emollient Sunscreen Active Kids Clear Spray SPF 50",983
"skin care","Lip Balm, Organic, Peppermint",936
"skin care","EcoNet Recycled Bath Sponge",933
"skin care","Gotu Kola Stem Cell + 1% CGF Day Cream",904
"skin care","Acne Dote Deep Pore Wash",898
"skin care","Vitamin E Oil 45,000 IU",882
"skin care","Hydrating Facial Wipes with Hyaluronic Acid",809
"skin care","Coconut & Pear Lip Balm",702
"skin care","Lip Care Stick",700
"skin care","Organic Healing Balm",670
"skin care","Pineapple Enzyme Facial Cleanser",655
"skin care","Acne Dote Clean 'n Treat Towellettes",639
"skin care","Honey Lip Balm with Vitamin E",632
"skin care","Facial Toner",623
"skin care","1000 Roses Cleansing Foam for Sensitive Skin",612
"skin care","Ultra Conditioning Lip Balm with Kokum Butter",606
"skin care","Vitamin E Stick",599
"skin care","Facial Cleansing Creme with Argan Oil + Mint",591
"skin care","Night Cream Argan Stem Cell + 2% CGF",588
"skin care","Eye Makeup Remover, Chamomile & Green Tea",573
"skin care","Vitamin E, Extra Strength, 32,000 IU, Skin Oil",530
"skin care","Even Advanced Sea Algae Enzume Scrub",523
"skin care","Bare Naked Body Mist SPF 30",522
"skin care","Organics Hawaiian Coconut Milk Facial Wash",516
"skin care","Chlorella + Edelweiss Stem Cell Eye Cream",512
"skin care","Rejuvenating Argan Oil",490
"skin care","Even Advanced Sea Mineral Cleansing Gel",488
"skin care","Face Wash, Original",464
"skin care","Peach & Willowbark Deep Pore Scrub",446
"skin care","Astringent, Witch Hazel",441
"skin care","Sea Foam Complete Face Wash",437
"skin care","Brightening Apricot Scrubble Facial Wash & Scrub",436
"skin care","Sport Unscented Broad Spectrum SPF 35 Sunscreen",435
"skin care","Lip Balm, Everon",433
"skin care","Lip Calm Lip Balm",430
"skin care","Ultra Sheer Daily Defense SPF 18 Facial Lotion",403
"skin care","Vitamin C Refreshing Facial Cleanser",403
"skin care","Eye Makeup Remover",402
"skin care","Blemish Touch Stick",400
"skin care","Moisturizing Creme, Pure Natural, Revitalizing Vitamin E 5,000 IU",398
"skin care","Cleansing Cream",377
"skin care","Original Alcohol Free Witch Hazel With Aloe Vera",376
"skin care","Facial Cleansing Towelettes",375
"skin care","Soothing Cleansing Milk",373
"skin care","Revitalizing Day Cream",366
"skin care","Good & Clean - Dual Textured Exfoliating Towelettes",365
"skin care","Creamy Fruit Oil Cleanser",361
"skin care","Baby Calendula Face Cream",361
"skin care","1000 Roses Heavenly Night Cream for Sensitive Skin",357
"skin care","Argan Face Oil",354
"skin care","Towelettes Coconut Plus Argan Oil",351
"skin care","Lotion for Everybody 3 in 1 Mint And Coconut Lotion",346
"skin care","Face for Every Day Cleanse",344
"skin care","Marula Oil Treatment for all Skin Types",343
"skin care","Cucumber Witch Hazel With Aloe Vera",326
"skin care","Rosehip Treatment Facial Serum Rose",324
"skin care","Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub",317
"skin care","Pineapple Enzyme Hawaiian Facial Scrub",310
"skin care","Fragrance Free Quick Clean Makeup Remover",300
"skin care","Clarifying Facial Wash for Oily/Combination Skin",299
"skin care","Face for Everyday Moisturize",285
"skin care","Oil Control Facial Moisturizer",285
"skin care","Gentle Apricot Facial Scrub",285
"skin care","Face Exfoliate",281
"skin care","Everyday Coconut Face Lotion With SPF 15",280
"skin care","Fast Fix Thin Lips",273
"skin care","Day Cream, Beautiful, Sensitive",265
"skin care","Rose Vetivert Day Moisturizer",263
"skin care","Lip Rescue with Eco - Harvest Tea Tree Oil",260
"skin care","Natural Vitamin E, Skin Beauty Oil 9000 IU",249
"skin care","Almond-Aloe Moisturizer SPF 15",248
"skin care","Sensitive Facial Cream",241
"skin care","Tea Tree Oil, 100% Australian",239
"skin care","Rose Foaming Face Wash",238
"skin care","Lip Balm, Sport, SPF 30",232
"skin care","Pure Lavender Very Emollient SPF 45 Natural Protection Sunblock",231
"skin care","Very Emollient After Sun 85% Aloe Vera Lotion",229
"skin care","Renewal Cream, Brightening, Probiotic +C",225
"skin care","Soap Bark & Chamomile Deep Cleansing Cream",221
"skin care","Damascus Rose Face Oil",220
"skin care","Vitamin C Hydrating Cleansing Milk",220
"skin care","Original Shave Gel",220
"skin care","Purifying Daily Detox Scrub",215
"skin care","Vitamin C Serum",214
"skin care","Age Defying Resveratrol Q10 Night Repair Cream",212
"skin care","Even Advanced Deep Sea Facial Mask",209
"skin care","Refining Aloe and Green Tea Hawaiian Moisturizer",208
"skin care","Lip Balm, Organic, Orange Ginger",205
"skin care","Fruit Enzyme Cleanser",204
"skin care","Age Renewal Moisturizing Creme",201
"skin care","SPF 30 Brush-On Sun Defense",199
"skin care","Cell Stimulating Facial Mask",192
"skin care","Good & Clean Gentle Acne Wash",191
"skin care","Seriously Firming Facial Serum",187
"skin care","Eye Make Up Remover",187
"skin care","Rosewater Toner",185
"skin care","Alcohol Free Witch Hazel Toner Unscented w/ Aloe",184
"skin care","Even Advanced Sea Plus Renewal Night Cream",183
"skin care","Balm Moisturizing Lip Balm",182
"skin care","Hydrating Face Mask",177
"skin care","Hydrating Night Creme, with Hyaluronic Acid, Dry/Normal",175
"skin care","Microdermabrasion Scrub",175
"skin care","Original Moisturiser",175
"skin care","AcneDote Deep Clean Astringent",174
"skin care","Pore Minimizing Red Clay Mask For All Skin Types",172
"skin care","Good & Clean - Daily Detox Foaming Cleanser",171
