Aisles,Product,amountBought
soap,"Lavender Hand Soap",62312
soap,"Lemon Verbena Hand Soap",52591
soap,"Clean Day Basil Hand Soap",28134
soap,"Olive Oil & Aloe Vera Hand Soap",21709
soap,"Honeysuckle Hand Soap",17525
soap,"Hand Soap Lavender & Coconut",14870
soap,"Sweet Orange Vanilla Honest Shampoo + Body Wash",13180
soap,"Pure Castile Peppermint Soap",12067
soap,"All One Hemp Lavender Castile Soap Bar",10933
soap,"All One Hemp Peppermint Castile Soap Bar",10845
soap,"Liquid Hand Soap, Refill, Lavender Scent",9781
soap,"Hand Soap Lavender",8806
soap,"Liquid Hand Soap, Refill, Lemon Verbena Scent",8471
soap,"Rosemary Hand Soap",8011
soap,"Meyer Lemon Everyone Hand Soap",7946
soap,"Moisturizing Lavender Body Wash",7750
soap,"Everyone Lavender + Aloe Soap",7627
soap,"Hand Soap Lemongrass",7548
soap,"Spearmint + Lemongrass Hand Soap",7122
soap,"18-in-1 Hemp Pure-Castile Soap Lavender",6930
soap,"Lavender Hand Sanitizer Wipes",6787
soap,"Calming Lavender Body Wash",6084
soap,"Cucumber & Sage Scent Facial Cleansing Towelettes",5484
soap,"Mandarin Orange & Grapefruit Hand Wash 12 oz",5266
soap,"Bluebell Hand Soap",5226
soap,"Soap, Pure-Castile, All-One Hemp Almond",4921
soap,"French Lavender Hand Soap",4825
soap,"Clean Day Liquid Hand Soap Refill Basil Scent",4822
soap,"Citrus + Mint Soap",4749
soap,"Apple Scent Liquid Hand Soap",4628
soap,"Mandarin Liquid Hand Soap",4447
soap,"Hand Wash Lavander Flower & Mint",4143
soap,"Relaxing Lavender Bubble Bath",4064
soap,"Invigorating Rosewater Body Wash",3992
soap,"Purifying Tea Tree Body Wash",3637
soap,"Everyday Coconut Super Hydrating Body Wash",3486
soap,"Organic Hemp Rose Pure Castille Bar Soap",3416
soap,"Loofah Sponges",3355
soap,"Apricot + Vanilla Hand Soap",3345
soap,"Cedarwood Body Wash",3307
soap,"Tangerine Dream Honest Bubble Bath",3227
soap,"Vanilla Moisturizing Body Wash",3190
soap,"Cucumbers Facial Wipes Soothing - 30 CT",3180
soap,"All-One Hemp Citrus Castile Bar Soap",3164
soap,"Liquid Coconut Premium Oil",3109
soap,"Eucalyptus Castile Liquid Soap",3053
soap,"Hemp Lavender Pure Castile Soap",3042
soap,Rosewater,2911
soap,"18-in-1 Hemp Pure-Castile Soap Almond",2828
soap,"Pink Grapefruit Facial Cleansing Towelettes",2820
soap,"Geranium Scent Liquid Hand Soap Refill",2783
soap,"Pure Natural Body Wash Soothing Aloe Vera",2700
soap,"Ylang Ylang + Cedarwood Hand Soap",2643
soap,"Creme Soap, Glyceryne, Old Fashioned Oatmeal",2624
soap,"Pure Olive Oil Soap",2617
soap,"Hand Soap, Liquid, Parsley Scent",2572
soap,"MRS MEYERS   12.5OZ HANDSOAP RHUBAR",2491
soap,"Peppermint Pure Castile Soap",2449
soap,"Very Emollient Body Lotion - Unscented Original",2447
soap,"Pure-Castile All-One Hemp Tea Tree Soap",2378
soap,"Organic Extra Virgin Pure Coconut Oil",2372
soap,"Pure Tea Tree Castile Soap",2280
soap,"Coconut Lemon 3-in-1 Hand Face Body Lotion",2271
soap,"18-in-1 Unscented Baby Mild Pure Castile Soap",2219
soap,"Natural Skin Essentials Facial Cleansing Towelettes - 30 CT",2051
soap,"African Black Soap With Oats, Aloe, and Vitamin E",2032
soap,"Lime + Coconut Strawberry Handsoap",1964
soap,"Lavender Essential Oil Hand Sanitizing Gel",1938
soap,"Very Emollient Body Lotion - Maximum",1858
soap,"Citrus Body Wash",1838
soap,"Safe & Natural Tropical Coconut Twist Liquid Soap For Kids",1818
soap,"Pure Almond Paste",1815
soap,"Magic Soap - Hemp Rose",1786
soap,"Dr. Bronner's 18-In-1 Hemp Eucalyptus Pure-Castile Soap",1745
soap,"Hand Soap, Refill Size, French Lavender",1691
soap,"Revitalizing Grapefruit & Mint Shower Gel",1683
soap,"Daily Moisture with Olive Oil & Vitamin E Beauty Bar",1671
soap,"Hand Soap Organic Lavender",1660
soap,"Organic Lavender Hand Sanitizer",1624
soap,"Lavender Liquid Hand Soap",1624
soap,"Skin Food",1604
soap,"Skin Trip Coconut Moisturizer",1602
soap,"Honey Mango Bath & Shower Gel",1586
soap,"Hand Sanitizer, Gel, Coconut + Lemon",1505
soap,"Deodorant Beauty Bar with Odor Fighting Sage",1502
soap,"Ultra-Hydrating Fragrance Free Body Lotion",1471
soap,"Honeysuckle Liquid Soap for Hand & Body",1469
soap,"Relaxing Lavender Mineral Bath",1458
soap,"French Lavender Soothing Shower Gel",1425
soap,"Almond Soap Bar",1420
soap,"Hand Sanitizer Spray Coconut & Lemon",1416
soap,"Natural Unscented Oatmeal Soap Bar",1409
soap,"Lavender Hand & Body Lotion",1402
soap,"Safe & Natural Orange Squeeze Kids Liquid Soap",1373
soap,"Foaming Watermelon Scent Hand Soap",1321
soap,"Sweet Almond Oil",1315
soap,"French Lavender Bath & Shower Gel",1311
soap,"Lavender Organic Hand Sanitizer",1311
soap,"Relaxing Lavender Foam Bath",1291
soap,"Original Coco Bar Soap",1281
soap,"Foaming All-Natural Antibacterial Orange Vanilla Handsoap",1270
soap,"Lavender Scent Foaming Hand Soap",1256
soap,"Very Emollient Bath & Shower Gel Sparkling Mint",1190
soap,"Hemp Almond Pure Castile Soap",1170
soap,"Aloe Oatmeal Soap Bar",1106
soap,"Moisturizing Coconut Shower Gel",1103
soap,"Skin Trip Coconut Soap Bar",1099
soap,"Lemon & Eucalyptus Hand Soap",1091
soap,"Smoothing Coconut Body Wash",1076
soap,"Everyday Shea Unscented Body Wash",1074
soap,"Type 1&3 Super Collagen Dietary Supplement Powder",1056
