Aisles,Product,amountBought
"soft drinks",Soda,139211
"soft drinks","Fridge Pack Cola",109780
"soft drinks","Ginger Ale",96545
"soft drinks",Cola,72509
"soft drinks","Coke Classic",70322
"soft drinks","Root Beer",66636
"soft drinks","Arancita Rossa",59812
"soft drinks","Sparkling Clementine Juice",56453
"soft drinks","Canned Aranciata Orange",55326
"soft drinks","Club Soda",54075
"soft drinks","Diet Ginger Ale All Natural Soda",44964
"soft drinks","Cola Soft Drink",44710
"soft drinks","Extra Ginger Brew Jamaican Style Ginger Beer",42822
"soft drinks","Lemon Lime Soda",41076
"soft drinks","Classic Soda",39564
"soft drinks","Diet Coke",37370
"soft drinks",Tangerine,35160
"soft drinks","Coke Zero",34373
"soft drinks","Sparkling Pomegranate",32536
"soft drinks","Ginger Ale Soda",32311
"soft drinks","Ginger Root Beer, Naturally Flavored Zero Calorie Soda, Caffeine Free",31752
"soft drinks","Original Citrus Sparkling Flavored Soda",31315
"soft drinks","Cola Soda",28938
"soft drinks","Zero Calorie Cola",28130
"soft drinks","Sparkling Grapefruit",27991
"soft drinks","Blood Orange Italian Soda",27150
"soft drinks","Diet 12 Oz Ginger Ale",26261
"soft drinks","Diet Dr.Pepper Soda Pack",23284
"soft drinks","Zero Soda",22999
"soft drinks","Lemon-Lime Fridge Pack Soda",20502
"soft drinks","Sparkling Peach",19885
"soft drinks","Diet Pepsi Pack",19866
"soft drinks","Diet Root Beer",19824
"soft drinks","Lemon-Lime 12 Pack Soda",19272
"soft drinks","Diet Soda",19042
"soft drinks","Orange & Lemon Flavor Variety Pack Sparkling Fruit Beverage",17739
"soft drinks","Diet Coke Caffeine Free Soda",17718
"soft drinks",Regular,17518
"soft drinks","Zero Calorie Cola Soda",17424
"soft drinks","Diet Ginger Ale",17147
"soft drinks","Ginger Beer",16484
"soft drinks","Zero Calorie Cream Soda",15320
"soft drinks","Premium Indian Tonic Water",15318
"soft drinks",Diet,14957
"soft drinks","Orange Soda",14952
"soft drinks","Diet Cola",14552
"soft drinks","Diet Tonic Water",14109
"soft drinks","Diet Coke Soda",14087
"soft drinks",Coke,13832
"soft drinks","Limonata Sparkling Lemon Beverage",13821
"soft drinks","Coke Zero Diet Soda",13619
"soft drinks","Organic Sparkling Cider",13273
"soft drinks","Lemon-Lime Soda",13114
"soft drinks","Black Cherry, Naturally Flavored Zero Calorie Soda, Caffeine Free",12382
"soft drinks","Dr. Zevia Zero Calorie Soda",11969
"soft drinks","Zero Calorie Grape Soda",11712
"soft drinks","Ginger Ale Jamaican Style",11445
"soft drinks","Caffeine Free Diet Cola All Natural Soda",10179
"soft drinks","Premium Ginger Ale",10082
"soft drinks","Premium Ginger Beer",9804
"soft drinks","Caffeine Free Coke Zero",9138
"soft drinks","Club Soda Lower Sodium",8908
"soft drinks","Zero Calorie Cherry Cola",8868
"soft drinks","De Mexico",8842
"soft drinks","Wild Cherry Cola",8800
"soft drinks","Zero Calorie Lemon Lime Twist Soda",8676
"soft drinks","Diet Orange Diet CSD",8460
"soft drinks","Diet Caffeine Free Naturally Flavored Lemon Lime Soda",8104
"soft drinks","Zero Calorie Orange Soda",8048
"soft drinks","Zero Calorie Lemon Lime Soda",7505
"soft drinks","Classic coke",7347
"soft drinks","Grapefruit Citrus Soda",7332
"soft drinks","Root Beer Soda",7037
"soft drinks","Lime Diet Coke",6994
"soft drinks","Original Unfiltered Ginger Ale",6925
"soft drinks","Diet Cherry Coke",6887
"soft drinks","Cherry Coke Soda",6759
"soft drinks","Zero Coke Soda Mini Bottles",6186
"soft drinks","Diet Cherry Soda",6137
"soft drinks","Diet Lemon Lime Soda",6050
"soft drinks","Classic Soda Mini Bottles",5987
"soft drinks","Diet Orange Soda",5848
"soft drinks","Micro Brewed Cream Soda",5781
"soft drinks","Spectacular Ginger Beer",5477
"soft drinks","Sparkling Clementine Beverage",5414
"soft drinks","Ginger Beer Premium",5123
"soft drinks","Elderflower & Rose Lemonade",5038
"soft drinks","Tonic Water Contains Quinine",5035
"soft drinks","Extra Dry Ginger Ale, Lightly Sweetened",4822
"soft drinks","Cherry Limeade",4774
"soft drinks","Slim Can Cola",4652
"soft drinks","Diet Pepsi",4575
"soft drinks","Lemon Lime Soda Caffeine Free",4556
"soft drinks","Cream Soda",4555
"soft drinks","Diet Pepsi Slim Cans",4417
"soft drinks","Diet Caffeine Free Soda",4173
"soft drinks","Superior Tonic Water",4125
"soft drinks","Caffeine Free Diet",4107
"soft drinks","Cherry Soda",4062
"soft drinks","Fanta Orange Soda",3962
"soft drinks","No Caffeine Lemon Lime Soda",3687
"soft drinks","Peach Citrus Soda",3641
"soft drinks","Zero Root Beer",3353
"soft drinks","Diet Dr Pepper Bottles",3318
"soft drinks","Ginger Soda",3278
"soft drinks","Organic Orange Soda",3273
"soft drinks","Ginger Brew Caffeine Free",3221
"soft drinks","Cherry Coke",3017
"soft drinks","Cherry Diet Soda",3009
"soft drinks","Vanilla Coke",2995
"soft drinks","7 Up Lemon Lime Soda",2937
"soft drinks","Vanilla Coke Zero",2930
"soft drinks","Diet Mountain Dew Soda",2890
"soft drinks","Bottled Root Beer Soda",2828
"soft drinks","Cherry Zero Cola",2799
"soft drinks","Diet Cream Soda",2772
"soft drinks","Aranciata Rossa Blood Orange Juice",2753
"soft drinks","Diet The Original Cream Soda",2743
"soft drinks","Organic Beef Stock",2700
"soft drinks","Sparkling Blueberry",2629
"soft drinks","De Mexico Bottle",2623
"soft drinks","Ten Soda",2608
"soft drinks","Zero Calorie Strawberry Soda",2569
"soft drinks","Coke de Mexico Glass",2539
"soft drinks","Vanilla Bean Soda",2522
"soft drinks","Fizz Lemon Limey",2516
"soft drinks","Caffeine Free Diet Coke",2502
"soft drinks","Classic Caffeine Free Soda",2500
"soft drinks","Sparkling Water Beverage Black Cherry",2428
"soft drinks","Lemon Seltzer Water",2329
"soft drinks","Black Cherry Citrus Soda",2293
"soft drinks","Orange Aranciata Sparkling Beverage",2284
"soft drinks","Zero Calorie Creamy Root Beer Stevia Soda",2254
"soft drinks","Aranciata Sparkling Orange Beverage",2241
"soft drinks","Organic Sparkling Apple-Pomegranate  Juice",2229
"soft drinks","Sparkling Citrus Beverage, with Natural Pulp",2220
"soft drinks","Grape Soda",2171
"soft drinks","Original Club Soda",2163
"soft drinks","Diet Tangerine Lime Natural Soda",2120
"soft drinks","Sparkling Blood Orange Soda",2085
"soft drinks","Pompelmo Sparkling Grapefruit Beverage",2016
"soft drinks","Caffeine Free Diet Coke Soda",1942
"soft drinks","Citrus Soda",1923
"soft drinks","Soda Ginger Ale",1906
"soft drinks","Diet Ginger Ale Soda",1883
"soft drinks","Soda Bottles",1835
"soft drinks",Pepsi,1830
"soft drinks","TEN TEN",1821
"soft drinks","Organic Honest Fizz Root Beer",1813
"soft drinks","Diet Mountain Zevia Soda",1759
"soft drinks","Diet Ginger Soda",1757
"soft drinks","Diet Pepsi Soda",1713
"soft drinks","Diet Vanilla Root Beer",1707
"soft drinks","Prickly Pear Water",1698
"soft drinks","Diet Root Beer, No Caffeine",1677
"soft drinks","Natural Cane Mandarin Lime Soda",1675
"soft drinks","Bai Bubbles Bolivia Black Cherry",1674
"soft drinks","Canned Soda",1669
"soft drinks","Diet Caffeine Free No Calorie Orange Soda",1654
"soft drinks","Revive Rootbeer Kombucha",1651
"soft drinks","Caffeine Free Diet Coke Mini Bottles",1605
"soft drinks","Superior Cola",1598
"soft drinks","Zero Cola",1563
"soft drinks","Creamy Root Beer Natural Cane Soda",1516
"soft drinks","Sparkling Elderflower Juice",1468
"soft drinks","Micro Brewed Black Cherry Cream Soda",1444
"soft drinks","Organic Professor Fizz Zero Calorie Soda",1435
"soft drinks","Natural Cane Soda, Creamy Root Beer flavor",1425
"soft drinks",7UP,1418
"soft drinks","Organic Golden Ginger Ale Soda",1395
"soft drinks","Cherry Vanilla Soda Natural Cane Soda",1389
"soft drinks","Canned Diet",1354
"soft drinks","Real Cola",1353
"soft drinks","66 Calorie Unfiltered Ginger Ale",1300
"soft drinks","Mist Lemon Lime Soda, Caffeine Free",1278
"soft drinks","Lemon Lime Soda Mini Cans",1278
"soft drinks","Diet Dr Pepper",1266
"soft drinks","Sparkling Citrus Beverage, with Orange Pulp!",1253
"soft drinks","Coke Sweetened Splenda",1209
"soft drinks","Mandarin Lime Soda",1199
"soft drinks","Aranciata Rossa Blood Orange Sparkling Beverage Glass Bottles",1175
"soft drinks","Unfiltered Original Ginger Ale",1133
"soft drinks","Jamaican Style Ginger Beer",1115
"soft drinks","Fridge Pack Diet Root Beer",1112
"soft drinks","White Grape Juice Cocktail",1109
"soft drinks","Draft Root Beer",1097
"soft drinks","Jamaican Style Original Brew Ginger Ale",1082
"soft drinks","Xero Calorie Stevia Cola",1075
"soft drinks","Citrus Soda Mini Cans",1075
"soft drinks","Dr. Better Soda",1072
"soft drinks","Max Zero Calorie Soda",1065
"soft drinks","Black Cherry Soda",1060
"soft drinks","Key Lime Sugar Free Sparkling Water",1001
"soft drinks","Cranberry Ginger Ale",985
"soft drinks","Bai Bubbles Peru Pineapple",967
"soft drinks","Premium Diet Black Cherry Soda",966
"soft drinks","Coke Life",953
"soft drinks","Cucumber Flavor Soda",948
"soft drinks","10 Calorie Ginger Ale",944
"soft drinks","Orange Cream Soda",936
"soft drinks","Dry Blackberry Soda",932
"soft drinks","Pineapple Contour Soda",924
"soft drinks","Mexicane Cola Beverage",923
"soft drinks",Zero,914
"soft drinks","Diet Citrus Soda",907
"soft drinks","Diet Tangerine Lime Premium Soda, Zero Calories, Sugar Free, No Caffeine",897
"soft drinks","Sparkling Apple Pomegranate Juice",891
"soft drinks","Melograno e Arancia Sparkling Pomegranate & Orange Beverage",890
"soft drinks","Spectacular Club Soda",880
"soft drinks","Diet Lemonade Soda",870
"soft drinks","Black Cherry Sparkling Soda",867
"soft drinks","Pure Fire Tonic Apple Cider Vinegar Drink",857
"soft drinks","Diet Ginger Beer",851
"soft drinks","Lemon Lime Flavor Sparkling Flavored Soda",850
"soft drinks","Pure Doctor Kombucha",829
"soft drinks","Dry Meyer Lemon Soda, Lightly Sweetened",827
"soft drinks","Cola Cans",822
"soft drinks","Fanta Zero Sugar Free Orange Soda Fridge Pack",810
"soft drinks","Fanta Strawberry Soda",809
"soft drinks","Strawberry Soda",806
"soft drinks","Ten Vanilla Root Beer",795
"soft drinks","Zero Cream Soda",775
"soft drinks","Lemon Lime Seltzer Water",731
"soft drinks","Caffeine Free Cola",728
"soft drinks","Fentimans Curosity Cola",726
"soft drinks","Star Ruby Grapefruit Soda",724
"soft drinks","Bai Bubbles Guatemala Guava",722
"soft drinks","Caffeine Free Lemon Lime Flavored Soda",717
"soft drinks","Dry Cola",708
"soft drinks","Sparking Lavender Soda",680
"soft drinks","Natural Ginger Ale",669
"soft drinks","Spectacular Sparkling Grapefruit",663
"soft drinks","Apple Soda",663
"soft drinks","All Natural Jamaican Style Ginger Ale",646
"soft drinks",TAB,646
"soft drinks","Cherry Cola",642
"soft drinks","Fountain Classics Diet Root Beer",640
"soft drinks","Caffeine Free Zero Calorie Cola",635
"soft drinks","Sparkling Black Raspberry Beverage",599
"soft drinks","Mini Cans",589
"soft drinks","Pure Zero Cola",584
"soft drinks","Sparkling Vanilla Bean",576
"soft drinks","Sparkling Cucumber Soda",575
"soft drinks","Kickstart Midnight Grape",575
"soft drinks","Strawberry Contour Soda",570
"soft drinks","Sparkling Cranberry Juice",559
"soft drinks","Strawberry Flavored Soda",550
"soft drinks","Grapefruit Soda",547
