Aisles,Product,amountBought
"soy lactosefree","Organic Unsweetened Almond Milk",397814
"soy lactosefree","Unsweetened Almondmilk",317189
"soy lactosefree","Organic Coconut Milk",262268
"soy lactosefree","Unsweetened Original Almond Breeze Almond Milk",221031
"soy lactosefree","Vanilla Almond Breeze Almond Milk",190373
"soy lactosefree","Unsweetened Vanilla Almond Milk",176831
"soy lactosefree","Organic Whipped Naturally Buttery Spread",124690
"soy lactosefree","Original Pure Creamy Almond Milk",95972
"soy lactosefree","Organic Unsweetened Vanilla Almond Milk",95384
"soy lactosefree","Vanilla Unsweetened Almond Milk",86318
"soy lactosefree","Toasted Coconut Almondmilk Blend",82098
"soy lactosefree","Organic Lite Coconut Milk",80170
"soy lactosefree","Vanilla Pure Almond Milk",78858
"soy lactosefree","ALMONDBREEZE UNSWEETENED",77155
"soy lactosefree","Organic Vanilla Almond Milk",77102
"soy lactosefree","Dairy Free Unsweetened Coconut Milk",70715
"soy lactosefree","Almond Breeze Original Almond Milk",69893
"soy lactosefree","Organic Original Almond Milk",61389
"soy lactosefree","Reduced Fat Milk 100% Lactose Free",57495
"soy lactosefree","Vanilla Almond Breeze",51119
"soy lactosefree","Cold Brew Coffee Double Espresso with Almond Milk",44892
"soy lactosefree","French Vanilla Coconut Milk Creamer",43579
"soy lactosefree","Soy Free Buttery Spread",42451
"soy lactosefree","Organic Lactose Free Whole Milk",42422
"soy lactosefree","Original Enriched Rice Drink",42237
"soy lactosefree","Organic Lactose Free 1% Lowfat Milk",42114
"soy lactosefree","Unsweetened Organic Coconut Milk",41988
"soy lactosefree","100% Lactose Free Fat Free Milk",41766
"soy lactosefree","Almondmilk Creamer, Vanilla",39952
"soy lactosefree","Original Coconut Milk Creamer",39533
"soy lactosefree","Lactose Free 2% Reduced Fat Milk",39529
"soy lactosefree","Unsweetened Almond Milk",35312
"soy lactosefree","Organic Vanilla Soymilk",33639
"soy lactosefree","Unsweetened Cashew Milk",30465
"soy lactosefree","Original Soy Creamer",29617
"soy lactosefree","Soy Free Buttery Spread with Olive Oil",28401
"soy lactosefree","Original Soy Milk",27642
"soy lactosefree","Vanilla Soy Creamer",27185
"soy lactosefree","Vegan Buttery Sticks",26346
"soy lactosefree","Original Coconut Milk Beverage",26069
"soy lactosefree","Lactose Free Fat Free Milk",25651
"soy lactosefree","Pure Almond Unsweetened Original Almond Milk",25348
"soy lactosefree","Original Whole Fat Lactose Free Milk",24801
"soy lactosefree","Unsweetened Organic Coconut Milk Light",23158
"soy lactosefree","Almond Milk Hazelnut Creamer",22490
"soy lactosefree","Cafe Latte Pure Lightly Sweetened Iced Coffee With Almond Milk",21933
"soy lactosefree","French Vanilla Soy Creamer",21874
"soy lactosefree","Cold Brew Coffee Mocha",20112
