Aisles,Product,amountBought
"specialty cheeses","Fresh Mozzarella Ball",101027
"specialty cheeses","Fresh Mozzarella Snacking Cheese",36838
"specialty cheeses","Pecorino Romano",32191
"specialty cheeses","Dubliner Wedge Pre Cut Cheese",30954
"specialty cheeses","Humboldt Fog",30427
"specialty cheeses","Petit Suisse Fruit",25588
"specialty cheeses","Semi Soft Part-Skim Cheese",23280
"specialty cheeses","Midnight Moon",22959
"specialty cheeses","Queso Fresco",21312
"specialty cheeses","Le Gruyere Cheese",20625
"specialty cheeses","Shaved Parmesan",20208
"specialty cheeses","Grated Parmigiano Reggiano",18665
"specialty cheeses","Cheddar Cheese Medium",18442
"specialty cheeses","Smoked Gouda",15555
"specialty cheeses","Spinach And Ricotta Ravioli",14916
"specialty cheeses","Irish Aged Cheddar Cheese",11614
"specialty cheeses",Camembert,11124
"specialty cheeses","Mushroom And Ricotta Ravioli",10801
"specialty cheeses","Reserve Cheddar Cheese",9344
"specialty cheeses","Fresh Goat Cheese Classic",9022
"specialty cheeses","Sharp Original Semisoft Cheese",8967
"specialty cheeses","Reduced Fat Swiss Cheese",8741
"specialty cheeses","Grated Pecorino Romano Cheese",7572
"specialty cheeses","Triple Creme Brie",7547
"specialty cheeses","Truffle Tremor Cheese",7026
"specialty cheeses","Red Wax Gouda Cheese",6881
"specialty cheeses","Feta Crumbles",6665
"specialty cheeses","Le Brie Mini Soft Ripened Cheese",6239
"specialty cheeses","Ricotta Salata Cheese",5296
"specialty cheeses",Gouda,4838
"specialty cheeses","Softâ€‘Ripened Brie Cheese",4506
"specialty cheeses",Toma,4327
"specialty cheeses","Smoked Mozzarella",4101
"specialty cheeses","Amish Blue Cheese",4032
"specialty cheeses","Grated Pecorino Romano",3892
"specialty cheeses","Organic Feta Cheese",3782
"specialty cheeses","Garlic & Herbs Spreadable Cheese",3781
"specialty cheeses","White American Cheese",3622
"specialty cheeses","Blue Cheese",3506
"specialty cheeses","Goat Cheese Logs",3457
"specialty cheeses","Organic Natural Fresh Goat Cheese",3390
"specialty cheeses","Organic Vegan Sundried Tomato Nut Cheese",3284
"specialty cheeses","LabnÃ© Kefir Cheese",3268
"specialty cheeses","Goat Cheese",3258
"specialty cheeses","Original Chabis Pure Goat Milk Cheese",3177
"specialty cheeses","Halloumi Cheese",3059
"specialty cheeses","Snacking Cheese, Fresh Mozzarella",2930
"specialty cheeses","Burrata Mozzarella Cheese",2921
"specialty cheeses","Manchego Cheese",2827
"specialty cheeses","Natural Deli Slices Gouda Cheese",2800
"specialty cheeses","Brie Cheese",2750
"specialty cheeses","Sharp Cheddar Spreadable Cheese",2749
"specialty cheeses","Aged Goat Cheese Bijou",2718
"specialty cheeses","Mild  Switzerland Le Gruyere Cheese",2696
"specialty cheeses","Organic Vegan Smoked Farmhouse Cheese",2651
"specialty cheeses","Colby Jack",2572
"specialty cheeses","Swiss Gruyere Cheese",2563
"specialty cheeses","Bay Blue Cheese",2558
"specialty cheeses","Petite Truffle Brie",2493
"specialty cheeses","Shredded Sharp Cheddar",2429
"specialty cheeses","Double Cream Cremont",2369
"specialty cheeses","Organic ChÃ¨vre Fleurie Soft Ripened Goat Cheese",2333
"specialty cheeses","Muenster Cheese slices",2212
"specialty cheeses","Sliced Monterey Jack Cheese",2130
"specialty cheeses","Brillat Savarin",2076
"specialty cheeses","Creamy Mozzarella Sun-Dried Tomato & Basil Flavor Cheese Wedges",2023
"specialty cheeses","Lite Reduced Fat Swiss Cheese",1996
"specialty cheeses","Imported Swiss Cheese",1956
"specialty cheeses","Counter Domestic Parmesan Wedge",1940
"specialty cheeses","Campo De Montalban",1920
"specialty cheeses","Crumbled Cheese, Traditional, Feta, Fat Free",1901
"specialty cheeses","Asiago Pressato",1845
"specialty cheeses","Petite Breakfast Fresh Brie",1833
"specialty cheeses","Freshly Crumbled Gorgonzola Cheese",1803
"specialty cheeses","Original Creme De Brie Spreadable Cheese",1802
"specialty cheeses","Port Salut",1769
"specialty cheeses","Cheese Spread Port Wine",1733
"specialty cheeses","Cave-Aged Kaltbach Gruyere Cheese",1721
"specialty cheeses","18 Month Limited Extra Sharp White Cheddar Cheese",1697
"specialty cheeses","Plain Goat's Milk Cheese Log",1639
"specialty cheeses","Sharp Spreadable Cheddar",1484
"specialty cheeses","Cheese, Marinated, Sheep & Goat Blend",1477
"specialty cheeses","Garlic Herb Goat Cheese Log",1476
"specialty cheeses","Baby Swiss",1456
"specialty cheeses","Cheese Plate Spanish",1452
"specialty cheeses","Cotija Whole Milk Cheese",1449
"specialty cheeses","Semi-Soft Part Skim Cheese",1430
"specialty cheeses","Fior Di Latte Organic Fresh Mozzarella",1429
"specialty cheeses","Ciliegine Mozzarella",1410
"specialty cheeses",Muenster,1377
"specialty cheeses","Wine Infused Salame Cheese and Crackers Small Plates",1324
"specialty cheeses","Sliced Sharp Cheddar",1261
"specialty cheeses","Natural Goat Cheese",1222
"specialty cheeses","Bayley Hazen Blue",1197
"specialty cheeses","Goat Brie",1189
"specialty cheeses","Lacey Swiss Cheese",1163
"specialty cheeses","Organic Fontina Cheese",1153
"specialty cheeses","PsycheDillic Goat Milk Cheese",1122
"specialty cheeses","Baby Swiss Cheese Pre-Sliced Deli",1108
