Aisles,Product,amountBought
"specialty wines champagnes","Prosecco Sparkling Wine",9464
"specialty wines champagnes",Rose,5127
"specialty wines champagnes",Prosecco,5000
"specialty wines champagnes",Brut,3677
"specialty wines champagnes","Brut Sparkling Wine",3366
"specialty wines champagnes","Brut Cuvee Sparkling Champagne",2951
"specialty wines champagnes","Brut California Champagne",1743
"specialty wines champagnes","California Champagne Extra Dry",1637
"specialty wines champagnes","Sparking Brut Classic Wine",1454
"specialty wines champagnes","Prosecco Treviso",1383
"specialty wines champagnes","Champagne, Extra Dry, Sparkling California",1355
"specialty wines champagnes","Brut Ros̩",1314
"specialty wines champagnes","Junmai Sake",1194
"specialty wines champagnes",Champagne,1193
"specialty wines champagnes","Brut Champagne",1146
"specialty wines champagnes","Extra Dry California Champagne",1013
"specialty wines champagnes","Extra Dry Champagne",958
"specialty wines champagnes",Marsala,904
"specialty wines champagnes","Cordon Negro Brut",895
"specialty wines champagnes","Sonoma Brut Sparkling Wine",830
"specialty wines champagnes","Sofia Blanc De Blancs Sparkling White Wine",829
"specialty wines champagnes","Valdobbiadene Prosecco",712
"specialty wines champagnes","Champagne Brut Rose",664
"specialty wines champagnes","Blanc De Noir Champagne",617
"specialty wines champagnes","Brut Rose Champagne",559
"specialty wines champagnes","Peach Passion Champagne",510
"specialty wines champagnes","Sofia Pinot Noir Ros̩ Wine",509
"specialty wines champagnes","Pink Moscato Champagne, Sparkling, California",472
"specialty wines champagnes","Asti Spumante",459
"specialty wines champagnes",Vermouth,410
"specialty wines champagnes","Sparkling Wine, Rose, California",402
"specialty wines champagnes","Dry Sherry",399
"specialty wines champagnes","American Concord Grape",397
"specialty wines champagnes","Moscato Spumante Wine",353
"specialty wines champagnes","Sparkling Rose",327
"specialty wines champagnes","California Champagne Sweet Rose",316
"specialty wines champagnes","Sangria, Tradicional, Fresh Citrus",316
"specialty wines champagnes","Sparkling Wine, Blanc de Blancs, Sonoma County",300
"specialty wines champagnes","California Sparkling Wine",250
"specialty wines champagnes","Grand Brut Champagne",249
"specialty wines champagnes","Brut Rose Wine",246
"specialty wines champagnes",Sangria,246
"specialty wines champagnes","Sofia Blanc De Blancs",204
"specialty wines champagnes","Lunette Prosecco",197
"specialty wines champagnes","Diamond Junmai Ginjo Sak̩",192
"specialty wines champagnes","Almond Flavored Champagne California",188
"specialty wines champagnes","Brut Rose",179
"specialty wines champagnes","Dry Fino Sherry",174
"specialty wines champagnes","Champagne Brut",172
"specialty wines champagnes","Nigori Sake",166
"specialty wines champagnes",Spumante,152
"specialty wines champagnes",Sake,148
"specialty wines champagnes","Sparkling Brut France",144
"specialty wines champagnes","Moscato, Pink",140
"specialty wines champagnes",Port,138
"specialty wines champagnes","Sho Chiku Bai Nigori Sake",131
"specialty wines champagnes","Real Sangria",126
"specialty wines champagnes","Prosecco Di Valdobbiadene Sparkling Wine",125
"specialty wines champagnes","Sparkling Brut",113
"specialty wines champagnes","Brut Blanc De Blancs",111
"specialty wines champagnes","Draft Sake",108
"specialty wines champagnes","Sake Rice Wine",107
"specialty wines champagnes","Blanc de Noirs",105
"specialty wines champagnes",Porto,95
"specialty wines champagnes","Mirabelle Brut Rose",93
"specialty wines champagnes","Dry Sake",90
"specialty wines champagnes",C̫tes-Du-Rh̫ne,84
"specialty wines champagnes","Sayuri Junmai Nigori",82
"specialty wines champagnes","Imperial Champagne",76
"specialty wines champagnes","Sweet Marsala",69
"specialty wines champagnes","Six Grapes Porto",66
"specialty wines champagnes","Blanc De Noirs Sparkling Wine",64
"specialty wines champagnes","Blackberry Wine",63
"specialty wines champagnes","Blackberry Merlot Wine",63
"specialty wines champagnes",Bodegas,63
"specialty wines champagnes","Ruby Port",62
"specialty wines champagnes","Organic Nama Sake",55
"specialty wines champagnes","Tawny Port",54
"specialty wines champagnes","Extra-Dry Cava",48
"specialty wines champagnes","Sparkling Wine Brut",42
"specialty wines champagnes","Red Moscato",42
"specialty wines champagnes","Sparkling Sweet Rose",37
"specialty wines champagnes","California Champagne",33
"specialty wines champagnes","Port Wine",33
"specialty wines champagnes","Brut Premier",32
"specialty wines champagnes","Ruby Port Wine",27
"specialty wines champagnes","Exotic Fruits White Zinfandel",26
"specialty wines champagnes","Amontillado Sherry",24
"specialty wines champagnes","Natural Champagne",23
"specialty wines champagnes","SupraFruta Red Sangria",21
"specialty wines champagnes",Cava,14
"specialty wines champagnes","Straight Sherry",14
"specialty wines champagnes","La Grand Dame Brut Champagne",12
"specialty wines champagnes","Cristal Champagne",7
"specialty wines champagnes","Brut Prosecco",7
