Aisles,Product,amountBought
"spices seasonings","Garlic Powder",65405
"spices seasonings",Oregano,59554
"spices seasonings","Ground Cumin",47661
"spices seasonings","Sea Salt Fine Crystals",46894
"spices seasonings","Organic Ground Cumin",44811
"spices seasonings","Ground Black Pepper",42717
"spices seasonings","Original Taco Seasoning Mix",39204
"spices seasonings","Organic Garlic Powder",35445
"spices seasonings","Organic Oregano",34449
"spices seasonings","Nutritional Yeast Seasoning",33186
"spices seasonings","Onion Powder",32076
"spices seasonings",Paprika,31097
"spices seasonings","Bay Leaves",30781
"spices seasonings","Organic Turmeric",30388
"spices seasonings","Black Peppercorns",29708
"spices seasonings","Organic Ground Black Pepper",29122
"spices seasonings",Cinnamon,28886
"spices seasonings",Rosemary,28252
"spices seasonings","Coarse Kosher Salt",28071
"spices seasonings","Taco Seasoning Mix Original",27331
"spices seasonings","Crushed Red Pepper",26567
"spices seasonings","Chili Powder",25985
"spices seasonings","Liquid Aminos All Purpose Seasoning",25588
"spices seasonings","Iodized Salt",25103
"spices seasonings","Sea Salt Flakes Original",23650
"spices seasonings","Organic Bay Leaves",23601
"spices seasonings","Sesame Seed",22686
"spices seasonings","Kosher Salt",21530
"spices seasonings","Coarse Sea Salt",20014
"spices seasonings","Organic Chili Powder Blend",19863
"spices seasonings","Organic Onion Powder",19729
"spices seasonings","Sea Salt",19465
"spices seasonings","Taco Seasoning Mix",19367
"spices seasonings","Ground Cinnamon",18933
"spices seasonings","Seasoning Curry Powder",18866
"spices seasonings","Ground Ginger",17808
"spices seasonings","Cayenne Pepper",17257
"spices seasonings",Turmeric,16284
"spices seasonings","Organic Cayenne Pepper",15871
"spices seasonings","Organic Crushed Red Pepper",15757
"spices seasonings","Organic Ground Ginger",15581
"spices seasonings","Seasoning, Italian",14293
"spices seasonings","Sea Salt Grinder",13675
"spices seasonings","Simply Organic Garlic Salt",13347
"spices seasonings","Organic Paprika",12239
"spices seasonings","Pure Foods Sea Salt Iodized",11832
"spices seasonings","Seasoning Paprika",11796
"spices seasonings","Seasoning Bay Leaf",11708
"spices seasonings","Cream Of Tartar",11553
"spices seasonings","Crushed Red Peppers",11400
"spices seasonings","Organic Ground Nutmeg",11334
"spices seasonings","Dill Weed",11136
"spices seasonings","Dried Parsley Flakes",11005
"spices seasonings","Organic Black Peppercorns",10931
"spices seasonings","Organic Ground Korintje Cinnamon",10817
"spices seasonings","Himalayan Pink Salt",10732
"spices seasonings","Cumin Seed",10650
"spices seasonings","Organic Cinnamon Sticks",10545
"spices seasonings","Curry Powder",10419
"spices seasonings","Cinnamon Sticks",10240
"spices seasonings",Salt,9772
"spices seasonings","Garlic Salt",9608
"spices seasonings","Organic Garlic Granules",9597
"spices seasonings","Oregano Leaves",9452
"spices seasonings","Organic Tellicherry Black Peppercorns",9412
"spices seasonings","Chopped Garlic",9389
"spices seasonings","Peppercorn Medley Grinder",9378
"spices seasonings","Pure Ground Black Pepper",9296
"spices seasonings","Smoked Paprika",9093
"spices seasonings","Fennel Seed",8620
"spices seasonings","Vegetarian Chili Seasoning",8609
"spices seasonings","Black Pepper Corns Mill Organic Spices",8586
"spices seasonings","Ground Coriander",8542
"spices seasonings","Organic Ground Cardamom",8521
"spices seasonings","Himalayan Fine Pink Salt",8493
"spices seasonings","Spicy Chili Seasoning",8349
"spices seasonings",Cumin,8331
"spices seasonings","Grinder Himalayan Salt Pink",8245
"spices seasonings","Original Chili Seasoning Mix",8187
"spices seasonings","Iodized Salt & Pepper",7656
"spices seasonings","Crushed Red Chili Pepper",7486
"spices seasonings",Seasoning,7344
"spices seasonings","Garam Masala, Organic",7238
"spices seasonings","Black Pepper",6915
"spices seasonings","Refillable Primordial Himalayan Sea Salt Grinder",6637
"spices seasonings","Ground Cloves",6600
"spices seasonings","Himalania Fine Pink Salt Glass Jar",6583
"spices seasonings","Seasoning Salt",6540
"spices seasonings","Basil Leaves",6458
"spices seasonings","Whole Cloves",6343
"spices seasonings","Parsley Flakes",6304
"spices seasonings","Ground Allspice",6297
"spices seasonings","Minced Onion",6256
"spices seasonings","Ground Nutmeg",6222
"spices seasonings","Himalania Fine Pink Salt",6075
"spices seasonings","Italian Seasoning",6061
"spices seasonings","Organic Curry Powder",6001
"spices seasonings","Organic Allspice",5944
"spices seasonings","Ground Turmeric",5867
"spices seasonings","40% Less Sodium Taco Seasoning Mix",5726
"spices seasonings","Coarse Ground Black Pepper",5685
"spices seasonings","Organic Fennel Seed",5453
"spices seasonings","Garlic Granules",5381
"spices seasonings","Thyme Leaves",5173
"spices seasonings","Ground White Pepper",5134
"spices seasonings","Ground Smoked Paprika",5118
"spices seasonings","Ground Cayenne Red Pepper",4972
"spices seasonings","Organic Dill Weed",4829
"spices seasonings","Sea Salt, Nature's First, Fine",4721
"spices seasonings",Cayenne,4640
"spices seasonings",Tarragon,4605
"spices seasonings","Ground Cardamom",4555
"spices seasonings","Ground Saigon Cinnamon",4497
"spices seasonings","Organic Sprinkle 24 Herbs & Spices Seasoning",4391
"spices seasonings","Whole Black Peppercorns",4350
"spices seasonings","Organic Sloppy Joe Seasoning",4246
"spices seasonings","Perfect Pinch Italian Seasoning",4152
"spices seasonings","Double Superfine Mustard Powder, Original English",4096
"spices seasonings","Nature's First Fine Sea Salt",4084
"spices seasonings","Salt-Free Blend Herbs De Provence",4072
"spices seasonings","Black Peppercorn Grinder",4060
"spices seasonings","Lemon Pepper",3937
"spices seasonings","Organic Ground White Pepper",3830
"spices seasonings","Organic Saffron",3826
"spices seasonings","Organic Taco Seasoning",3793
"spices seasonings","Salt-Free Blend Pumpkin Pie Spice",3772
"spices seasonings","Organic Ground Mustard Seed",3758
"spices seasonings","Pumpkin Pie Spice",3721
"spices seasonings","Poppy Seed",3713
"spices seasonings","30% Less Sodium Taco Seasoning Mix",3699
"spices seasonings","Organic Smoked Paprika",3544
"spices seasonings","Ground Paprika",3479
"spices seasonings","Himalayan Salted Ghee",3470
"spices seasonings","Organic Chili Powder",3455
"spices seasonings","Bay Leaves, Turkish, Organic",3313
"spices seasonings","Mediterranean Sea Salt Grinder",3307
"spices seasonings","Ground Mustard",3288
"spices seasonings","Organic Sumac",3244
"spices seasonings","Organic Coriander Seeds",3228
"spices seasonings","Celery Salt",3190
"spices seasonings","Original Salt-Free Seasoning Blend",3063
"spices seasonings","Black Peppercorn",2998
"spices seasonings","Whole Star Anise",2995
"spices seasonings","Cajun Seasoning",2986
"spices seasonings","Organic Whole Cloves",2924
"spices seasonings","Toasted Sesame Seeds",2906
"spices seasonings","Sea Salt, Coarse",2859
"spices seasonings","California Style Minced Garlic",2850
"spices seasonings","Organic Ground Cinnamon",2783
"spices seasonings","Taco Seasoning, No. 4",2739
"spices seasonings","Saffron Threads",2711
"spices seasonings",Ginger,2697
"spices seasonings","Mediterranean Salt Mill",2695
"spices seasonings","Coarse Pink Salt",2675
"spices seasonings","Mediterranean Fine Sea Salt",2672
"spices seasonings",Coriander,2671
"spices seasonings","Organic Ground Coriander",2670
"spices seasonings","Organic Whole Star Anise",2660
"spices seasonings","Organic White Sesame Seeds",2588
"spices seasonings","Whole Celery Seed",2577
"spices seasonings","Organic Mild Taco Seasoning Mix",2483
"spices seasonings","Seasoning Cinnamon Sticks",2411
"spices seasonings","Garlic Salt Coarse Ground with Parsley",2302
"spices seasonings","Ground Sage",2277
"spices seasonings","Light Grey",2267
"spices seasonings","Organic Harissa Seasoning",2260
"spices seasonings","Organic Italian Seasoning",2249
"spices seasonings","Mediterranean Coarse Sea Salt",2190
"spices seasonings","Chili Mix",2174
"spices seasonings","Rosemary Leaves",2118
"spices seasonings","Organic Whole Black Peppercorns",2111
"spices seasonings","Original Creole Seasoning",2108
"spices seasonings","Organic Ground Ceylon Cinnamon",2042
"spices seasonings","Salt-Free Organic Lemon Pepper Seasoning Blend",2036
"spices seasonings","Organic Herbs De Provence",2035
"spices seasonings","Taco Seasoning, Fish",1985
"spices seasonings","Perfect Pinch Cajun Seasoning",1940
"spices seasonings","With Zest of Lemon Lemon Pepper",1884
"spices seasonings","Salt-Free Seasoning Blend Garlic & Herb",1867
