Aisles,Product,amountBought
spirits,Vodka,24679
spirits,"Handmade Vodka From Austin, Texas",6760
spirits,"80  Vodka Holiday Edition",6036
spirits,"Handmade Vodka",5712
spirits,"Frontier Whiskey",5532
spirits,"Kentucky Straight Bourbon Whiskey",4462
spirits,"Irish Whiskey",4406
spirits,Whiskey,3926
spirits,"Tequila Silver",3269
spirits,"The Original Irish Creme Liquer",3048
spirits,"Silver Tequila",2954
spirits,"Triple Distilled Vodka",2476
spirits,"London Dry Gin",2401
spirits,"Spiced Rum",2298
spirits,"Puerto Rican Rum",2273
spirits,"Frontier Straight 95% Rye Mash Whiskey",2219
spirits,"London Dry Gin England",2067
spirits,Gin,1903
spirits,"Old No 7 Tennessee Whiskey",1844
spirits,"Vodka 525",1790
spirits,"Coffee Liqueur",1606
spirits,"Imported Vodka",1517
spirits,"Irish Whiskey Ireland",1444
spirits,"Distilled London Dry Gin",1383
spirits,"Tequila Reposado with Glass",1359
spirits,"Bourbon Whiskey",1320
spirits,"Tequila Blanco",1267
spirits,"No. 485 Gin",1145
spirits,"Nuestro Tequila",1106
spirits,Brandy,1012
spirits,"Brandy VS",959
spirits,"Superior Puerto Rican Rum",951
spirits,"Bourbon Kentucky Frontier Whiskey",896
spirits,"Extra Dry Vermouth",888
spirits,"Single Malt Scotch Whisky",874
spirits,"Cinnamon Whiskey",828
spirits,"Orange Liqueur",817
spirits,"Rye Whiskey",806
spirits,"Tequila, Silver",794
spirits,"Stoli Blueberi",759
spirits,"Straight Bourbon Whiskey",745
spirits,"Blended Scotch Whiskey",731
spirits,"Black Spiced Rum",698
spirits,"Milanoe, Bitter",684
spirits,"Original Recipe Tennessee Honey Whiskey",682
spirits,"12 Year Old Single Malt Scotch Speyside",675
spirits,"Gold Rum",633
spirits,"Tennessee Whiskey",606
spirits,"Extra Smooth Vodka",601
spirits,"Original Spiced Rum",600
spirits,"Verry Special Cognac",582
spirits,"Anejo Tequila",553
spirits,"Sweet Vermouth",536
spirits,"Potato Vodka",512
spirits,"VSOP Brandy",507
spirits,"Blended Scotch Whiskey Black Label",503
spirits,"Fine De Luxe Blended Canadian Whiskey",473
spirits,"Tequila Reposado",450
spirits,"Original Dark Jamaican Rum",447
spirits,"Reposado Tequila 80 Proof",433
spirits,"Gentleman Jack Rare Tennessee Whiskey",430
spirits,"Small Batch Kentucky Straight Bourbon Whiskey",414
spirits,"Small Batch 9 Year Bourbon",413
spirits,"Triple Orange Liqueur",402
spirits,"Triple Distilled Irish Whiskey",402
spirits,"Red Label Blended Scotch Whiskey",383
spirits,"Reposado Tequila",383
spirits,"Blended Canadian Whisky",374
spirits,"Silver Tequila 80 Proof",338
spirits,"Fine Champagne Cognac",336
spirits,Liqueur,314
spirits,"Tequila Anejo",313
spirits,"Triple Sec",295
spirits,"Originale Amaretto",290
spirits,"Vodka Mandrin",288
spirits,"Bitters Liqueur",287
spirits,"Raspberry Peach Cordials",263
spirits,"Raspberry Twist Vodka",248
spirits,"Kentucky Straight Bourbon Whisky",244
spirits,"Barbados Rum",236
spirits,"Special Reserve 12 Yr Old Scotch Whisky 80 Proof",232
spirits,"Elderflower Liqueur",231
spirits,"Vodka 80 Proof",223
spirits,"Coconut Rum",223
spirits,"Vodka Vanilia",220
spirits,"Extra Dry Gin",208
spirits,"Gift With Flask",206
spirits,Tequila,200
spirits,"White Rum",197
spirits,"Whipped Cream Vodka",192
spirits,Prairie,190
spirits,Reposado,184
spirits,"Vodka, Hand-Made, Straight",178
spirits,"12 Year Old Blended Scotch Whisky",177
spirits,"Original Tequila Reposado",172
spirits,"Royale Deluxe Liqueur",169
spirits,"101 Bourbon Whiskey",168
spirits,"Imported Liquor",166
spirits,"Tequila 100% De Agave Anejo",163
spirits,"Snap Frost 5 Times Distilled Vodka",161
spirits,"Flavored Vodka, Peach",157
spirits,"46 / 94 Proof Bourbon Kentucky Whiskey",154
spirits,"Original Hazelnut Liqueur",151
spirits,"Vodka Citron",147
spirits,"Ultimate Pomegranate Margarita",143
spirits,"Dry Gin Distilled London Dry Gin 1761",142
spirits,Bourbon,140
spirits,Apertif,137
spirits,"The Original Irish Cream Liqueur",136
spirits,"Doublewood Single Malt Scotch Whiskey",136
spirits,"White Label Blended Scotch Whisky",135
spirits,"Whiskey, Tennessee Honey, Original Recipe",134
spirits,"Gold Tequila 80 Proof",127
spirits,"VS Cognac",126
spirits,"Peach Vodka",124
spirits,"100% Agave",116
spirits,"No.1 Liqueur",115
spirits,"XO Extra Smooth Brandy",114
spirits,"VO Canadian Whiskey",114
spirits,"Cucumber Vodka",112
spirits,"No. 10 Distilled Gin",111
spirits,"Blended Canadian Whiskey",110
spirits,"Golden Margarita",108
spirits,"Coffee Liqueur Made with Tequila",102
spirits,"Pineapple Vodka",102
spirits,"Very Rare Blended  Scotch Whisky",102
spirits,"Coffee Liquer",100
spirits,"Triple Sec Liqueur",100
spirits,"81 Proof Kentucky Straight Bourbon Whiskey",100
spirits,"Applejack Brandy",99
spirits,"10 Yr Single Malt Scotch Islay",98
spirits,"Whiskey, American Blended",98
spirits,"Liqueur, Irish Cream",96
spirits,"Blended Scotch Whisky",96
spirits,"Blood Orange Vodka",96
spirits,"Horchata con Ron Caribbean Rum with Real Dairy Cream",86
spirits,"Citroen Vodka",85
spirits,"Rye Kentucky Straight Rye Whiskey",73
spirits,"Red Berry Vodka",72
spirits,"L'Orange Vodka",71
spirits,"Cherry Noir Vodka",71
spirits,"Vodka, Pear Flavored",69
spirits,"Black Cherry Vodka",69
spirits,"1942 Tequila Mexico",68
spirits,"Rum, Strawberry, Dragon Berry",68
spirits,"Premium Spiced Rum",67
spirits,"Straight Rye Whiskey",66
spirits,"Strawberry Lemonade Vodka",60
spirits,"16 Year Single Malt Scotch Whisky",56
spirits,"Altos Plata Tequila From 100% Agave",56
spirits,"Organic Reposado Tequila",55
spirits,"Citronge Extra Fine Orange Liqueur",53
spirits,"Original Silver Tequila",50
spirits,"Original Dark Rum",47
spirits,"Citron Vodka",45
spirits,"Kentucky Whisky",42
spirits,"Twist of Citrus Vodka",42
spirits,"Vodka, Triple Distilled, Twist of Vanilla",39
spirits,"Anise Liqueur",38
spirits,"Original Caribbean Rum With Coconut Flavour",38
spirits,"Lemon Flavored Vodka",38
spirits,"Tequila, Blanco",37
spirits,"Red Label Scotch",36
spirits,"Vodka, American Potato",35
spirits,"Cognac, Privilege V.S.O.P",34
spirits,"Caribbean White Rum",30
spirits,"10 Year Aged Limited Release Frontier Whiskey",29
spirits,"Vodka Green Apple",27
spirits,"Long Island Iced Tea",25
spirits,"Citrus Vodka",25
spirits,"Watermelon Vodka",24
spirits,"Irish Cream Liqueur",24
spirits,"Vodka Le Citron",24
spirits,"Original Whiskey",23
spirits,"Oakheart Spiced Rum",23
spirits,"Blend of 12 Aged Rums",22
spirits,"Aged Rum",21
spirits,"Sweet Tea Flavored Vodka",19
spirits,"Sour Apple Pucker",19
spirits,"12 Year Blended Scotch Whisky",19
spirits,"Single Barrel Bourbon Whiskey",18
spirits,"Melon Liqueur",17
spirits,"Peachtree Schnapps",13
spirits,"Flavored Vodka, Twist of Raspberry",12
spirits,"Blue Label Year of the Ram",12
spirits,"Limoncello Liqueur",12
spirits,"Kissed Caramel Flavored Vodka",11
spirits,"Japanese Harmony",10
spirits,"18 Year Scotch Whisky",7
spirits,"7 Year Bourbon",6
spirits,"007 Vodka With Martini Glasses",4
spirits,"Peppermint Schnapps Liqueur",3
