Aisles,Product,amountBought
spreads,"Organic Creamy Peanut Butter",186280
spreads,"Creamy Peanut Butter",177498
spreads,"Creamy Almond Butter",173422
spreads,"Strawberry Preserves",160217
spreads,"Organic Strawberry Fruit Spread",122427
spreads,"Raspberry Preserves",109719
spreads,"Crunchy Almond Butter",75338
spreads,"Classic Almond Butter",63718
spreads,"Peanut Butter Creamy With Salt",63382
spreads,"Hazelnut Spread With Skim Milk & Cocoa",59233
spreads,"Crunchy Peanut Butter",49594
spreads,"Apricot Preserves",39285
spreads,"Classic Peanut Butter",38186
spreads,"Natural Jif Creamy Peanut Butter Spread",33885
spreads,"Natural Sunflower Spread",33147
spreads,"Classic Almond Butter All Natural",31654
spreads,"Extra Crunchy Peanut Butter",30168
spreads,"Creamy Peanut Butter Dark Roasted",28080
spreads,"Maple Almond Butter",26225
spreads,"Wild Blueberry Preserves",26216
spreads,"Fruit Spread, Deluxe, Strawberry",25928
spreads,"Crunchy Organic Dark Roasted Peanut Butter",25513
spreads,"Four Fruits Preserves",24929
spreads,"All Natural No Stir Creamy Almond Butter",23297
spreads,"Premium Organic Strawberry Spread",23017
spreads,"Natural Creamy Peanut Butter Spread",22912
spreads,"Organic Hazelnut Spread",21800
spreads,"Creamy Natural Peanut Butter And Flaxseed",21435
spreads,"Organic Sunflower Seed Spread",21332
spreads,"All Natural Maple Almond Butter",20821
spreads,"Smooth Operator Natural Peanut Butter",20693
spreads,"Chocolate Hazelnut Butter Blend",20148
spreads,"Chocolate Hazelnut Butter",19939
spreads,"Seedless Strawberry Jam",18748
spreads,"Mara Natha Organic Peanut Butter Creamy",18575
spreads,"Blackberry Preserves",17381
spreads,"Natural Honey Peanut Butter",17152
spreads,"To Go Creamy Peanut Butter Cups",16275
spreads,"Reduced Fat Creamy Peanut Butter Spread",16046
spreads,"Honey Almond Butter Single",15842
spreads,"Strawberry Fruit Spread",15388
spreads,"Natural Creamy Peanut Butter",14991
spreads,"Fruit Spread, Strawberry",14745
spreads,"Peanut Butter, Classic",14150
spreads,"Organic Premium Raspberry Spread",14115
spreads,"Deluxe Red Raspberry Fruit Spread",13066
spreads,"All Natural Honey Almond Butter",12676
spreads,"Orange Marmalade",12640
spreads,"Organic  Unsweetened & Salt Free Sunflower Seed Butter",12639
spreads,"Organic Lightly Sweetened Sunflower Seed Butter",12061
spreads,"Organic Creamy Raw Almond Butter",12021
spreads,"Hazelnut Spread with Cocoa",11919
spreads,"Raspberry Fruit Spread",11709
spreads,"Concord Grape Jelly",11494
spreads,"Powdered Peanut Butter",11417
spreads,"Squeeze Grape Jelly",11302
spreads,"Fruit Spread, Organic, Strawberry",11283
spreads,"Vanilla Almond Butter",11245
spreads,"Peanut & Gluten Free Smooth Almond Butter",11060
spreads,"Vanilla Almond Butter Squeeze",10890
spreads,"Nutella & Go!",10878
spreads,"Red Raspberry Preserves",10683
spreads,"Santa Cruz OG Sdls Red Raspberry Fruit Spread",10416
spreads,"Cocoa Spread with Hazelnuts",10398
spreads,"Natural Chunky Peanut Butter",10353
spreads,"Classic Honey Peanut Butter Squeeze",10256
spreads,"Organic Lightly Roasted Crunchy Peanut Butter",10232
spreads,"Strawberry Squeeze Fruit Spread",9334
spreads,"Old Fashioned Smooth Peanut Butter",8905
spreads,"Organic Raspberry Fruit Spread",8772
spreads,"Apricot Fruit Spread",8106
spreads,"Almond Butter Smooth",8025
spreads,"Organic Strawberries & Wild Strawberries Fruit Spread",7906
spreads,"Strawberry Jam",7829
spreads,"Chunky Peanut Butter",7758
spreads,"Crunch Time",7452
spreads,"Peach Preserves",7338
spreads,"Super Chunk Extra Crunchy Peanut Butter",7205
spreads,"Old Fashioned Nutty Chunky Peanut Butter",7075
spreads,"Creamy Coconut & Peanut Spread",6853
spreads,"Wild Blueberry All Natural Fruit Spread",6642
spreads,"Raw Cashew Nut Butter",6607
spreads,"Lightly Toasted Creamy Almond Butter",6569
spreads,"Raw Almond Nut Butter",6545
spreads,"Fig Preserves",6104
spreads,"Organic Crunchy Peanut Butter",5995
spreads,"Natural Peanut Butter Crunchy and Flaxseed",5933
spreads,"Deluxe Thick Apricot Fruit Spread",5720
spreads,"Organic Strawberry Spread",5604
spreads,"Creamy & Raw Almond Butter",5506
