Aisles,Product,amountBought
tea,"Premium Unsweetened Iced Tea",43862
tea,"Zen Tea",42517
tea,"Pink Lady Apple Kombucha",41939
tea,"Ginger Tea",33438
tea,"Earl Grey Tea",29280
tea,"Unsweetened Premium Iced Tea",29008
tea,"Just Green Unsweetened Tea",28587
tea,"Moroccan Mint Green Tea",27283
tea,"Calm Chamomile Herbal Tea",27173
tea,"Organic Peach Oo La Long Tea",25440
tea,"Lemon Ginger Tea Bags",25131
tea,"Black Tea Pyramids",22962
tea,"Moroccan Mint Herbal Tea",22789
tea,"Refresh Herbal Tea",21394
tea,"Super Antioxidant Green Tea",21329
tea,"Organic Peppermint Herbal Tea",19280
tea,"Organic Green Tea Bags",17907
tea,"Organic Chai Tea Bags",17753
tea,"Classic Green Tea",17579
tea,"Organic Chamomile with Lavender Herbal Tea Bags",17303
tea,"Green Tea Green Ginger Tea Bags",16846
tea,"English Breakfast Black Tea Bags",15639
tea,"Original Kombucha",15600
tea,"Bedtime Tea",14342
tea,"Organic Lori's Lemon Tea",14297
tea,"Diet Peach Tea",14059
tea,"Organic Aged Earl Grey Tea",13935
tea,"Honey Lavender Stress Relief Tea",13883
tea,"Unsweetened Iced Tea",13840
tea,"Unsweetened Ice Tea",13752
tea,"Pure Green Tea",13669
tea,"Organic Purely Peppermint Tea Bags 16 Count",13652
tea,"Pyramid Black Tea Bags",13644
tea,"Organic Grapefruit Ginger Sparkling Yerba Mate",13475
tea,"Organic Peppermint Tea",13235
tea,"Organic Raw Pomegranate Kombucha",12665
tea,"Organic Rooibos Tea",12581
tea,"Enlighten Mint Organic",12262
tea,"Green Dragon with Passion Fruit Tea",12166
tea,"Organic Throat Coat Herbal Tea",12078
tea,"Black Forest Berry Caffeine-Free Tea",12077
tea,"Comforting Chamomile Tea",12076
tea,"Organic Spring Jasmine Green Tea",11429
tea,"Unsweetened Elegant Jasmine Green Tea",11216
tea,"Rooibos Chai Herbal Tea Bags",11191
tea,"Unsweetened Pure & Smooth  Green Tea",10880
tea,"DeTox Caffeine Free Organic Herbal Tea Bags",10743
tea,"Organic Mother's Milk Herbal Tea",10506
tea,"Watermelon Lemonade",10472
tea,"Kava Stress Relief Tea",10345
tea,"Organic Chai Tea Latte Concentrate",9922
tea,"Organic Gunpowder Green Tea",9879
tea,"Organic Half Tea & Half Lemonade",9712
tea,"Organic Ginger Herbal Tea",9707
tea,"Lemon Echinacea Organic Throat Coat Tea",9614
tea,"Wild Sweet Orange Herbal Tea",9581
tea,"Pure Leaf Unsweetened Real Brewed Tea",9503
tea,"Honey Vanilla Chamomile Caffeine-Free Herbal Tea",9409
tea,"Honest T Mango White Tea",9296
tea,"Chamomile Citrus Caffeine Free Herbal Tea Artisan Whole Leaf Pouches",9174
tea,"Maca Berry Probiotic Super Tea",9045
tea,"Tropical Green Tea Bags",8989
tea,"Cranberry Pomegranate Sparkling Yerba Mate",8975
tea,"Yerba Mate Sparkling Classic Gold",8861
tea,"Sweet Tea W/Real Sugar Iced Tea",8848
tea,"Organic Earl Grey Black Tea Bags 15 Count",8775
tea,"Unsweetened Terere Yerba Mate",8732
tea,"Raspberry Tea",8690
tea,"Earl Grey  Black Tea Blend",8673
tea,"Sleepytime Herbal Tea",8600
tea,"English Breakfast Tea Bags",8593
tea,"Chamomile Herbal Tea",8509
tea,"Variety Diet Tea",8504
tea,"Organic Teas Black Tea Organic English Breakfast Tea Bags - 16 CT",8444
tea,"Revel Berry Yerba Mate",8094
tea,"Organic Unsweetened Black Tea",7944
tea,"Pure & Smooth Green Tea",7860
tea,"Tea, Echinacea Immune Support",7844
tea,"Premium English Breakfast Black Tea Bags",7773
tea,"Black Tea Variety Pack",7719
tea,"Toasted Rice Green Tea Bags",7710
tea,"Green Tea Peach",7639
tea,"Chai Rooibos Herbal Tea Bags",7591
tea,"Arnold Palmer Lite Half Iced Tea & Half Lemonade",7576
tea,"Classics Earl Grey Tea",7359
tea,"Fruit Tea Sampler Herbal Tea",7216
tea,"Organic Spicy Ginger Herbal Tea",7188
tea,"Green Tea",7102
tea,"Peppermint Caffeine Free Herbal Tea Bags",6929
tea,"Chai Classic Latte Black Tea Concentrate",6817
tea,"Black Chai Decaf  Tea Bags",6774
tea,"Earl Grey Black Tea Bags",6520
tea,"Passion Herbal Infusion Caffeine Free Tea Bags",6454
tea,"Organic Assam Black Tea",6395
tea,"Cozy Chamomile Herbal Tea",6376
tea,"Green Tea Bags",6327
tea,"Mint Medley Herbal Tea",6327
tea,"Pure Peppermint Herbal Tea",6241
tea,"Unsweetened Green Tea",6203
tea,"Organic Earl Grey Noir Tea Bags 20 Count",6173
tea,"Bengal Spice Herbal Tea",6165
tea,"Original Chai Tea Latte",6161
tea,"Zero Calorie Half Green Tea & Half Lemonade",6149
tea,"Caffeine Free Peppermint Herbal Tea",6101
tea,"Organic Mint Terer̩ Yerba Mate Blend",6035
tea,"Earl Grey Black Tea",5988
tea,"Organic Honey Green Tea Drink",5976
tea,"Kombucha Green Tea",5940
tea,"Caffeine Free Peach DeTox Tea",5925
tea,"Organic Mint M̩lange Herbal Tea",5903
tea,"Country Peach Passion Herbal Tea",5887
tea,"Giant Peach",5875
tea,"Organic Bluephoria Yerba Mate",5864
tea,"Peach Iced Tea",5854
tea,"Herbal Tea, Organic, Turmeric Ginger, Caffeine-Free, Bags",5740
tea,"Mango Lemonade",5670
tea,"Green Tea with Ginseng and Honey",5666
tea,"Organic Throat Comfort Tea",5636
tea,"Organic Peachy Green Tea",5621
tea,"Skin DeTox, Tea Bags",5573
tea,"Lemon Ginger Caffeine Free Herbal Tea Bags",5569
tea,"Green Tea Blueberry Pomegranate",5534
tea,"All Natural Peach Tea Bottles",5525
tea,"Organic Earl Grey Black Tea 16 Count",5367
tea,"Organic Iced Black Tea",5280
tea,"Super Tea Power Greens",5266
tea,"Tea, Organic, Egyptian Licorice Mint, Caffeine Free, Bags",5186
tea,"Herbal Tea Lemon & Ginger Caffeine Free Tea Bags",5166
tea,"Breakfast Blend Organic Tea",5136
tea,"Earl Grey Tea Bags",5080
tea,"Sleepytime Extra Herbal Tea Bags",5022
tea,"Lori's Lemon Tea",5018
tea,"Sweet Tangerine Positive Energy Tea",4877
tea,"Peach Tea",4800
tea,"Organic Roasted Dandelion Root Herbal Tea",4770
tea,"Arnold Palmer Lite Half & Half Iced Tea Lemonade",4752
tea,"Unsweetened Zero Calorie Green White Tea",4736
tea,"Green Blueberry Slim Life Tea",4685
tea,"Organic Smooth Move Herb Tea Bags",4678
tea,"Irish Breakfast",4617
tea,"Golden Chai Black Tea",4597
tea,"Tea, Radiant Raspberry",4591
tea,"Unsweetened Organic Ginger Oasis Tea",4507
tea,"China Green Tips Green Tea",4506
tea,"Diet Lemon Tea",4496
tea,"Breakfast Americana",4473
tea,"Decaffeinated English Breakfast Black Tea",4340
tea,"Diet Peach",4339
tea,"100% Natural America's Favorite Tea",4289
tea,"Organic Unsweetened Green Tea",4288
tea,"Honest T Pomegranate Red Herbal Tea",4273
tea,"Double Green Matcha Tea Bags",4210
tea,"Organic Lightly Sweetened Iced Green Tea with Coconut Water",4123
tea,"Green Energy Tea",4121
tea,"Nighty Night Tea Bags",4119
tea,"Diet Green Tea with Ginseng",4098
tea,"Organic Raspberry Leaf Herbal Tea",4058
tea,"Sweet Cinnamon Spice Herbal Tea",4040
tea,"Chai Spice Black Tea Bags",3923
tea,"Organic Unsweetened Lemon Iced Green Tea",3859
tea,"Jasmine Green Tea",3834
tea,"Soothing Caramel Bedtime Tea",3802
tea,"Super Tea Sweet Thorn",3798
tea,"Organic Smooth Move Peppermint Tea for Occasional Constipation",3783
tea,"Organic Nettle Leaf Tea Bags",3743
tea,"Zero Calorie Iced Green Tea Raspberry",3727
tea,"Tea, Organic, Chai Black, Bags",3694
tea,"Earl Grey Tea Decaffeinated",3670
tea,"Grape Kombucha",3621
tea,"Gypsy Cold Care Herbal Tea",3586
tea,"Mint & Honey Green Tea",3541
tea,"Sweet Tea",3496
tea,"Organic Darjeeling Tea Bags",3487
tea,"Pure Leaf Sweet Iced Tea",3453
tea,"Organic Raspberry Mate Energy Drink",3447
tea,"Organic Baked Cinnamon Apple Herbal Tea",3440
tea,"Premium Green Tea Bags",3436
tea,"Pure Decaf Green Tea",3403
tea,"Traditional Yerba Mate Tea Bags",3318
tea,"Organic African Nectar Herbal Tea",3295
tea,"Chamomile Caffeine Free Tea Bags",3285
tea,"Pure Camomile Herbal Tea Bags",3266
tea,"Dandelion Leaf & Root Tea",3234
tea,"Organic Passion Terere Yerba Mate",3177
tea,"100% Natural Tea Bags",3154
tea,"Egyptian Licorice Tea Bags",3128
tea,"Guava Guayasa Zero",3123
tea,"Cinnamon Vanilla Healthy Skin Herbal Tea",3095
tea,"Earl Grey Decaffeinated Black Tea",3058
tea,"English Breakfast Black Tea",3042
tea,"Variety Tea",3035
tea,"Sweet Iced Tea",3034
tea,"Organic Cold Season Tea Bags",3030
tea,"Sencha Shot Japanese Green Tea",3027
tea,"Tulsi Holy Basil Sweet Rose Infusion Bags 18 Count",3021
tea,"Organic Stomach Ease Tea Bags",2962
tea,"Organic Green Tea with Ginger",2939
tea,"Organic Smooth Move Chamomile Laxative Tea Bags",2892
tea,"Iced Passion Herbal Tea",2882
tea,"Decaffeinated Earl Grey Tea",2878
tea,"Organic Fennel Tea",2867
tea,"Iced Tea with Lemon Flavor",2854
tea,"Lemon Zinger Herbal Tea",2828
tea,"Organic Teas Premium Japanese Green - 16 CT",2821
tea,"English Breakfast",2815
tea,"Vanilla Bean Tea Bags",2728
tea,"Classic Decaffeinated Green Tea",2714
tea,"Organic Decaf Black Tea",2708
tea,"Herbal Berry DeTox Tea",2659
tea,"Organic Decaf Green Tea",2654
tea,"Turmeric Tea, Three Roots, Tea Bags",2640
tea,"Peppermint Tea",2625
tea,"Organic Yerba Mate Unsweetened Hibiscus Lime",2621
tea,"Organic Matcha Tea Bags",2618
tea,"Organic Green Dragon Tea",2616
tea,"Organic Cinnamon Sunrise Herbal Tea",2586
tea,"Constant Comment Black Tea Bags",2556
tea,"Organic Echinacea Plus Elderberry Tea",2551
tea,"Organic Breathe Deep Tea Bags",2542
tea,"Cinnamon Apple Spice Herb Tea",2516
tea,"Sweetened Tea",2502
tea,"Organic Ginger Lemonade",2490
tea,"Premium Green Tea",2484
tea,"Woman's Raspberry Leaf Tea Bags",2465
tea,"Organic Nighty Night Valerian Herbal Tea",2420
tea,"Marrakesh Mint Green Tea",2390
tea,"Lemon Ginger Herb Plus Probiotics Caffeine Free Tea",2358
tea,"Vanilla Spice Perfect Energy",2346
tea,"Sleepytime Vanilla Caffeine Free Herbal Tea Bags",2344
tea,"Organic Hibiscus Herbal Tea Bags",2334
tea,"Decaf Chai Latte",2323
tea,"Unsweetened Rose Green Tea",2322
tea,"Genmaicha Green Tea Bags",2321
tea,"Vanilla Chai Black Tea Blend",2317
tea,"Chocolate Pu Erh Tea 16 ct",2310
tea,"Chamomile Tea",2309
tea,"Honey Lemon Throat Comfort Tea",2299
tea,"Organic Echinacea Plus, Caffeine Free Herbal Tea",2209
tea,"Diet Iced Tea",2199
tea,"Herbal Caffeine Free Sleepytime Tea",2199
tea,Tea,2174
tea,"Organic Ginger with Chamomile Tea",2145
tea,"Roasted Dandelion Spice Detox Tea",2134
tea,"Yorkshire Gold Black Tea",2123
tea,"Organic Licorice Root Herbal Tea",2111
tea,"Assorted Herbal Tea",2101
tea,"Organic Grapefruit Honey Lightly Sweetened Iced Green Tea",2077
tea,"Kombucha Decaf Green Tea Bags",2077
tea,"Traditional Medicinals Cold Care Seasonal Sampler",2062
tea,"Lady Grey Tea",2054
tea,"Zen Keurig Brewed K-Cups Green Tea",2016
tea,"Organic Honeybush Tea, Caffeine Free",2010
tea,"Emperor's Pu-Erh Tea",2002
tea,"Amber Sun Turmeric Tea",1992
tea,"Organic Jasmine Green Tea",1974
tea,"Pure Leaf Tea Unsweetened",1968
tea,"Organic Calming Tea Bags 16 Count",1966
tea,"Organic White Rose White Tea",1944
tea,"Green Tea Lemon Ginger Organic Tea",1925
tea,"Pure Leaf Unsweetened Iced Tea",1922
tea,"Sweet & Spicy Herbal & Black Tea",1884
tea,"Organic Hojicha Green Tea",1852
tea,"Organic Matcha Green Tea",1833
tea,"Jasmine Green Tea Bags",1833
tea,"Organic Oolong Tea Bags",1818
tea,"Robust Golden Unsweetened Oolong Tea",1804
tea,"Green Tea With A Hint Of Jasmine",1786
tea,"Lemon Real Brewed Tea",1775
tea,"Goji Blackberry Zero Calorie Iced Green Tea",1741
tea,"Green Tea with Lemon",1727
tea,"Lemon Organic Everyday Detox Tea",1717
tea,"Green + White Tea",1704
tea,"Relaxed Mind Tea Bags",1703
tea,"Organic Pregnancy Tea",1699
tea,"Everyday Detox Dandelion Tea",1691
tea,"Raspberry Iced Tea",1687
tea,"Raspberry Zinger Caffeine Free Herbal Tea",1676
tea,"Lemon Tulsi Tea",1628
tea,"Organic Chamomile Lemon Tea",1617
tea,"Organic Earl Grey Black Tea",1606
tea,"Organic Spearmint Tea",1604
tea,"Chai Tea Bags",1603
tea,"Antioxidant Super Tea Pomegranate Peach Passion White Tea",1600
tea,"Awake English Breakfast Black Tea K-Cups",1599
tea,"Ginger Twist Tea",1588
tea,"White Orchard Pure China White Tea",1577
tea,"Citrus Terere Yerba Mate",1569
tea,"Lipton Diet Citrus Iced Green Tea",1563
tea,"Clean Energy Drink, Hibiscus Berry",1550
tea,"Soothing Mint Get Regular Gentle Herbal Laxative Tea",1546
tea,"Organic Tulsi Turmeric Ginger Stress-Relieving & Harmonizing Caffeine Free Herbal Supplement",1529
tea,"Half & Half Lemonade Tea",1522
tea,"Earl Greyer Black Tea Bags",1473
tea,"Organic Teas Green Tea Genmaicha - 16 CT",1458
tea,"Woman's Nursing Support Tea",1454
tea,"Clean Energy Zero Lime",1452
tea,"Chai Classic Tea",1449
tea,"White Tea With Lime & Pomegrante",1441
tea,"Sweet & Spicy Caffeine Free Herbal Tea Bags",1431
tea,"Organic Green Tea",1416
tea,"Organic Master Brew Kombucha Dragonfruit Lemongrass",1392
tea,"Zero Calorie Half Iced Tea & Half Lemonade",1388
tea,"Organic Lemon Balm Naturally Caffeine Free Herbal Tea",1384
tea,"Peach Pure Body Immune Support Blend",1383
tea,"Iced Teaz Mint Green Tea",1362
tea,"EveryDay Detox Tea",1359
tea,"Tahitian Vanilla Hazelnut Tea Bags",1356
tea,"English Teatime Black Tea",1347
tea,"Organic Iced Tea Variety Pack",1345
tea,"Diet Green Tea With Citrus",1327
tea,"Natural Hibiscus Tea",1325
tea,"Breathe Easy Herbal Tea Bags",1320
tea,"Diet Half Lemonade 'n Half Iced Tea",1313
tea,"Arnold Palmer Lite Half Tea & Half Lemonade",1289
tea,"Organic English Breakfast Black Tea",1288
tea,"Double Bergamot Earl Grey",1274
tea,"Chinese Breakfast Black Tea",1260
tea,"Slightly Sweet Chai Tea Latte Concentrate",1232
tea,"Organic Pan-Fired Green Tea Bags",1220
tea,"Eater's Digest Organic Peppermint Tea Bags",1218
