Aisles,Product,amountBought
"tofu meat alternatives","Organic Extra Firm Tofu",266445
"tofu meat alternatives","Firm Tofu",92007
"tofu meat alternatives","Organic SprouTofu Extra Firm Tofu",37955
"tofu meat alternatives","Organic SprouTofu Super Firm Tofu",36069
"tofu meat alternatives","Organic SprouTofu Teriyaki Tofu Cutlets",35662
"tofu meat alternatives","Organic SprouTofu Savory Baked Tofu",35433
"tofu meat alternatives","Classic Meatless Meatballs",30144
"tofu meat alternatives","Hickory Smoked Ultra Thin Deli Slices",28154
"tofu meat alternatives","Italian Sausage",25789
"tofu meat alternatives","Organic Soy Tempeh",24733
"tofu meat alternatives","Vegan Apple Maple Breakfast Sausage",23338
"tofu meat alternatives","Vegetarian Grain Meat Sausages Italian - 4 CT",22859
"tofu meat alternatives","Original Tofurky Deli Slices",21639
"tofu meat alternatives","Organic SprouTofu Silken Tofu",20196
"tofu meat alternatives","Fakin' Bacon Organic Smoky Tempeh Strips",19549
"tofu meat alternatives","Smart Dogs Veggie Hot Dogs",18753
"tofu meat alternatives","Veggie Dogs",16285
"tofu meat alternatives","Vegan Hickory & Sage Benevolent Bacon",15508
"tofu meat alternatives","Organic Silken Tofu",14632
"tofu meat alternatives","Organic Three Grain Tempeh",14599
"tofu meat alternatives","Organic Extra Firm Cubed Tofu",14575
"tofu meat alternatives","Peppered Deli Slices",13327
"tofu meat alternatives","Bacon Style Veggie Protein Strips",13185
"tofu meat alternatives","Frankfurters Vegetarian",11668
"tofu meat alternatives","Chorizo Seitan",10835
"tofu meat alternatives","Extra Firm Tofu",10435
"tofu meat alternatives","Smart Ground Original Veggie Protein Crumbles",10165
"tofu meat alternatives","Grain Meat Sausages Vegetarian Mexican Chipotle",10147
"tofu meat alternatives","Organic SprouTofu Royal Thai Baked Tofu",9726
"tofu meat alternatives","Beyond Chicken Lightly Seasoned Strips",9497
"tofu meat alternatives","Organic Original Tofu Veggie Burger",9207
"tofu meat alternatives","Organic SprouTofu Firm Water Packed Tofu",8304
"tofu meat alternatives","Beyond Chicken Grilled Strips",8288
"tofu meat alternatives","Teriyaki Veggie Burgers",8280
"tofu meat alternatives","Gluten Free Organic Soyrizo",8093
"tofu meat alternatives","Deli Slices, Bologna Style",7899
"tofu meat alternatives","Ground Sausage Style Veggie Protein",7824
"tofu meat alternatives","Hand-Formed Vegan Burger Patties",7245
"tofu meat alternatives","Organic Firm Tofu",7222
"tofu meat alternatives","Fat Free Smart Ground Mexican Style Taco Protein Crumbles",7113
"tofu meat alternatives","Organic SprouTofu Medium Soft Tofu",6887
"tofu meat alternatives","Santa Fe Extra Lean Veggie Burger",6839
"tofu meat alternatives","Traditional Seitan",6805
"tofu meat alternatives","Tofu, Extra Firm",6794
"tofu meat alternatives","Seitan wheat Strips",6162
"tofu meat alternatives","Flax Milk Dairy Free Protein+ Unsweetened Vanilla",6112
