Aisles,Product,amountBought
"tortillas flat bread","Corn Tortillas",152100
"tortillas flat bread","Sonoma Traditional Flour Tortillas 10 Count",75578
"tortillas flat bread","Super Soft Taco Flour Tortillas",73951
"tortillas flat bread","White Corn Tortillas",65404
"tortillas flat bread","Tortillas, Corn, Organic",64643
"tortillas flat bread","Large Burrito Flour Tortillas",58142
"tortillas flat bread","Ezekiel 4:9 Sprouted Grain Tortillas",56524
"tortillas flat bread","Organic White Corn & Wheat Tortillas",44195
"tortillas flat bread","Organic Traditional Flour Tortillas",42073
"tortillas flat bread","Whole Wheat Tandoori Naan",40778
"tortillas flat bread","Tortillas, Brown Rice",39478
"tortillas flat bread","Sonoma Handmade Style Corn Tortillas",39474
"tortillas flat bread","Soft Taco Size White Flour Tortillas",38708
"tortillas flat bread","Tortillas, Wheat Free, Sprouted Corn",34147
"tortillas flat bread","Corn Maize Tortillas",33286
"tortillas flat bread","Organic Whole Wheat Tortillas",33266
"tortillas flat bread","Yellow Soft Corn Tortillas 8 Count",29652
"tortillas flat bread","Yellow Corn Organic Tortillas",29248
"tortillas flat bread","Flour Tortillas",28720
"tortillas flat bread","Thin Whole Wheat Sandwich Buns",28654
"tortillas flat bread","100% Whole Wheat Medium Soft Taco Flour Tortillas",27617
"tortillas flat bread","Organic Flour Tortillas",27370
"tortillas flat bread","Gluten Free Pizza Crust",26231
"tortillas flat bread","Carb Balance Flour Tortillas",25364
"tortillas flat bread","Flour Tortillas Soft Taco",24673
"tortillas flat bread","Uncooked Medium Flour Tortillas",21661
"tortillas flat bread","Organic Spelt Tortillas",21517
"tortillas flat bread","Almond Flour Tortillas",21237
"tortillas flat bread","Super Soft Flour Tortillas Fajita Size 20 ct",20230
"tortillas flat bread","White Pita",20124
"tortillas flat bread","Organic Bakery Tortillas Whole Spelt",19339
"tortillas flat bread","Pita Bread",17893
"tortillas flat bread","Organic White Pita Bread",17769
"tortillas flat bread","One Bun Multigrain Whole Grain Pita",17505
"tortillas flat bread","Mini Whole Wheat Pita Bread",17199
"tortillas flat bread","Olive Oil & Sel Gris Sourdough Flatbread",15040
"tortillas flat bread","Yellow Corn Tortillas",14792
"tortillas flat bread","Wheat Sandwich Thins",14085
"tortillas flat bread","Tandoor Baked Naan",14061
"tortillas flat bread","Whole Wheat Pita Bread",13454
"tortillas flat bread","Garden Spinach Herb 6 Ct Wraps",12939
"tortillas flat bread","Traditional Lavash Flatbread",11555
"tortillas flat bread","Organic Corn Tortillas",11416
"tortillas flat bread","Flour Tortilla",10164
"tortillas flat bread","Carb Balance Small Fajita Whole Wheat Tortillas",9965
"tortillas flat bread","Organic Wraps Traditional - 6 CT",9880
"tortillas flat bread","Rosemary & Olive Oil Flatbread",9216
"tortillas flat bread","6"" Yellow Corn Tortillas",9014
"tortillas flat bread","Sonoma Yellow Corn Organic Tortillas",8957
"tortillas flat bread","Soft Taco Size Flour Tortillas 10 Count",8811
"tortillas flat bread","Whole Grain Pita Bread",7544
"tortillas flat bread","Gluten Free Wraps",7342
"tortillas flat bread","Bread Fampak Tortilla",7257
"tortillas flat bread","Sonoma Organic Wraps Multigrain Tortillas With Flax",7213
"tortillas flat bread","Seedlander Crispbreads",7162
"tortillas flat bread","Super Soft Flour Tortillas",7073
"tortillas flat bread","Soft Taco Flour Tortillas",7013
"tortillas flat bread","Soft Taco Tortillas",6844
"tortillas flat bread","Sliced Halves Whole Wheat Pita Pockets",6829
"tortillas flat bread","Fiber Rich Wheat Tortillas Fajita Size",6655
"tortillas flat bread","Low Carb Whole Wheat Tortillas",6455
"tortillas flat bread","Mr Pita Plain Pita Bread",6320
"tortillas flat bread","Gluten Free Plain Tortillas",6269
"tortillas flat bread","Italian Pizza Crust Original 12oz",6232
"tortillas flat bread","Whole Wheat Pita",6213
"tortillas flat bread","100% Whole Wheat Flour Tortillas",6191
"tortillas flat bread","All Natural Gluten Free Teff Wraps",6017
"tortillas flat bread","Yellow Corn Extra Thin Tortillas",5959
"tortillas flat bread","Organic Pita Bread",5695
"tortillas flat bread","100% Whole Wheat Pita Bread",5587
"tortillas flat bread","Hand Made Style Flour Tortilla",5345
"tortillas flat bread",Crepes,5157
"tortillas flat bread","Organic Large Flour Tortillas 6 Count",5016
"tortillas flat bread","Flour Soft Taco Tortillas",4807
"tortillas flat bread","Small Size Flour Tortillas",4758
"tortillas flat bread","Kronos 6 Inch Handmade Pita Bread",4737
"tortillas flat bread","Super Soft Yellow Corn Tortillas",4716
"tortillas flat bread","Ezekel Prophet's Pocket Bread",4688
"tortillas flat bread","Corn Tortillas Gluren Free",4652
"tortillas flat bread","Fajita Flour Tortillas",4626
"tortillas flat bread","Multi-Grain Soft Taco",4251
"tortillas flat bread","Whole Wheat Pita Bread Loaves",4173
"tortillas flat bread","Uncooked Corn Tortillas",4121
"tortillas flat bread","Whole Wheat Flour Tortilla",4078
"tortillas flat bread","Spinach Mountain Bread",3891
"tortillas flat bread","Burrito Size Flour Tortillas",3793
"tortillas flat bread","8"" Flour Tortillas De Harina",3772
"tortillas flat bread","Mini Naan",3742
"tortillas flat bread","Medium Flour Tortillas",3687
"tortillas flat bread","Small Soft and Fluffy Flour Tortillas",3648
"tortillas flat bread","Klassic 3 Seed Crispbreads",3590
"tortillas flat bread","German Farm Bread",3531
"tortillas flat bread","Tostadas Caseras Amarillas",3366
"tortillas flat bread","Corn De Maiz Blanco Tortillas",3263
"tortillas flat bread","Multi-Grain With Flax Flatbread Wraps",3089
"tortillas flat bread","Gluten Free Soft Taco",2869
"tortillas flat bread","Original Light Flatbread Wraps",2718
"tortillas flat bread","Low Carb Whole Wheat Large Tortillas",2576
"tortillas flat bread","White Pita Pocket Bread",2491
"tortillas flat bread","Flour Fajitas Tortillas",2438
"tortillas flat bread","Sun-Dried Tomato Basil 6 Ct Wraps",2384
"tortillas flat bread","Light Flour Tortillas",2351
"tortillas flat bread","King Size Corn Tortillas",2313
"tortillas flat bread","Bread, Whole Wheat Organic Pita",2304
"tortillas flat bread","Corn Tostadas",2256
"tortillas flat bread","Whole Wheat Pita Pocket Bread 6 ct",2251
"tortillas flat bread","Artisan Style Corn & Whole Wheat Blend Tortillas",2239
"tortillas flat bread","Soft Flour Tortillas",2211
"tortillas flat bread","Pita Pocket Bread",2178
"tortillas flat bread","Flour Burrito Tortillas",2162
"tortillas flat bread","Pocket Thins Multi Grain Flatbreads 8 ct",2131
"tortillas flat bread","Three Cheese Pizza Shell",2097
"tortillas flat bread","Tortillas, White Corn, Grande",2006
"tortillas flat bread","100% Whole Wheat Flour Burrito Tortillas",2000
"tortillas flat bread","Soft Taco Whole Wheat Tortillas",1977
"tortillas flat bread","White Corn Tortillas Super Size",1938
"tortillas flat bread","Ancient Grain Tortillas 6 Count",1886
"tortillas flat bread","Carb Balance Whole Wheat Flour Burrito Tortillas",1883
"tortillas flat bread","Plain Tortillas",1855
"tortillas flat bread","Flour Tortillas For Soft Tacos & Fajitas",1846
"tortillas flat bread","Blancas Corn Tortillas",1818
"tortillas flat bread","Organic Stone Ground Tortillas",1809
"tortillas flat bread","Foldit 5 Grain Flax Flatbread",1788
"tortillas flat bread","Fiesta Tortillas Gluten Free",1786
"tortillas flat bread","Blue Corn Tortilla",1782
"tortillas flat bread","Original Flatbread",1639
"tortillas flat bread","Low Carb Traditional Flour Tortillas",1550
"tortillas flat bread","Seeded Spelt Flatbread",1445
"tortillas flat bread","Original Artisan Italian Pizza Crust",1365
"tortillas flat bread","Whole Wheat Fajita",1360
"tortillas flat bread","Flax, Oat Bran & Whole Wheat Flour Tortillas",1296
"tortillas flat bread","Old World Flatbreads Italian Herb Pizza Crust",1256
"tortillas flat bread","Jack Junior Pita Bread",1250
"tortillas flat bread","Gluten Free Everything Flatbread",1189
"tortillas flat bread","Low Carb-Low Sodium Wraps",1183
"tortillas flat bread","Brownberry Oroweat Whole Wheat Pocket Thin",1165
"tortillas flat bread","Organic Old World Flatbreads Pizza Crust",1061
"tortillas flat bread","Whole Wheat Fajita Style Tortillas",1058
"tortillas flat bread","Life Balance Medium Soft Tacos Wheat Tortillas",1049
"tortillas flat bread","Olive Oil And Garlic Lavash",1031
