Aisles,Product,amountBought
"trail mix snack mix","Organic Cheddar Snack Mix",56156
"trail mix snack mix","Trail Mix",47906
"trail mix snack mix","Organic Snack Mix Bunnies Snack Mix, Organic",43607
"trail mix snack mix","Traditional Snack Mix",23004
"trail mix snack mix","Blueberry Blaze Trail Mix",22175
"trail mix snack mix","Kahuna Crunch Trail Mix",10806
"trail mix snack mix","Berry Bounty Trail Mix",10643
"trail mix snack mix","Raspberry Beret Trail Mix",8892
"trail mix snack mix","Organic Pizza Snack Mix Crackers",7213
"trail mix snack mix","Monster Trail Mix",6783
"trail mix snack mix","Traditional Multipack",5152
"trail mix snack mix","Bold Party Blend Snack Mix",4798
"trail mix snack mix","Cheddar Snack Mix",3415
"trail mix snack mix","Peanut Butter & Chocolate Muddy Buddies Chex Mix",3315
"trail mix snack mix","Gluten Free Oatmeal Grahams Snack Packs 4 Ct",3310
"trail mix snack mix","Nantucket Blend Trail Mix",3198
"trail mix snack mix","Caramel Cashew Trail Mix",2664
"trail mix snack mix","Cranberry Almond Cashew Trail Mix",2208
"trail mix snack mix","Tropical Trail Mix",2189
"trail mix snack mix","Original Recipe Snack Mix",2023
"trail mix snack mix","Cheddar Chex Mix",1982
"trail mix snack mix","Nutrition Protein Mix Blueberry Nut",1973
"trail mix snack mix","Honey Cinnamon Nut-Thins  Crackers",1909
"trail mix snack mix","Sweet 'n Salty Honey Nut Snack Mix",1763
"trail mix snack mix","P3 Turkey Cheese Almonds",1760
"trail mix snack mix","Snack Mix Bold Party Blend Value Size",1713
"trail mix snack mix","P3 Portable Protein Pack - Applewood Smoked Ham, Sharp Cheddar Cheese & Dry Roasted Almonds",1495
"trail mix snack mix","Harvest Blend",1309
"trail mix snack mix","Chocolate Sea Salt Quinoa Cluster",1204
"trail mix snack mix","Organic Sunflower Flax Snax",1148
"trail mix snack mix","Flamin' Hot Snack Mix",1138
"trail mix snack mix","100 Calorie Right Bites Cheez It Snack Mix",1054
"trail mix snack mix","Organic Go Take A Hike Mix",1027
"trail mix snack mix","P3 Portable Protein Pack-Slow Roasted Turkey Breast, Mild Cheddar Cheese & Dry Roasted Peanuts",1018
"trail mix snack mix","P3 Portable Protein Pack Chicken Cheddar Peanuts",789
"trail mix snack mix","Raw Snack, TigerNut, Original",785
"trail mix snack mix","Chocolate Turtle Snack Mix",767
"trail mix snack mix","Classic Trail Mix",718
"trail mix snack mix","Sprouted Spicy Fiesta Seed Mix",573
"trail mix snack mix","Sweet & Salty Snack Mix",518
"trail mix snack mix","Quinoa Cluster, Almond",515
"trail mix snack mix","Cranberry Almond Fruit Clusters Dried Cranberries",477
"trail mix snack mix","Chili Lime Snack Mix",460
"trail mix snack mix","Organic High Antioxidant Trail Mix",408
"trail mix snack mix","Nut Mix Bhuja Snacks",393
"trail mix snack mix","Mountain Trail Mix",362
"trail mix snack mix","Totally Ranch!",339
"trail mix snack mix","Organic Go Take A Break Mix",324
"trail mix snack mix","Bhuja Snacks Cracker Mix",250
"trail mix snack mix","Almond Pecan Crunch Nut Clusters",240
"trail mix snack mix","Sweet & Salty Popped Snack Mix",234
"trail mix snack mix","Cranberry Chocolate Nut Trail Mix",217
"trail mix snack mix","Chocolate Caramel Cashew Trail Mix",199
"trail mix snack mix","Cranberry & Chocolate Craisin Trail Mix",194
"trail mix snack mix","Muddy Buddies Snack Mix Brownie Supreme",185
"trail mix snack mix","Wholesome Medley",184
"trail mix snack mix","Organic Take A Walk Mix",171
"trail mix snack mix","Ginger, Dark Chocolate",133
"trail mix snack mix","Game Day Barbecue Trail Mix",125
"trail mix snack mix","Macadamia Crunch, Kona Coffee Banana",119
"trail mix snack mix","Oatsnack Cookies n' Dreams",118
"trail mix snack mix","Sage & Onion Stuffing Mix",116
"trail mix snack mix","Classic Trall Mix",112
"trail mix snack mix","Gluten Free California Medley",77
"trail mix snack mix","Tram Bar Peanut Butter Milk Chocolate Trail Mix",66
"trail mix snack mix","Original 2/$1 Sunflower Seeds",58
"trail mix snack mix","Hit The Trail Mix",58
"trail mix snack mix","Hot 'n Spicy Snack Mix",53
"trail mix snack mix","Dry Roasted Edamame Berry Blend",31
