Aisles,Product,amountBought
"trash bags liners","Tall Kitchen Drawstring Bags",45847
"trash bags liners","Small Compostable Waste Bag",23938
"trash bags liners","Tall Compostable Kitchen Bags",15371
"trash bags liners","Fresh Vanilla Odor Shield Tall 13 Gallon Drawstring Bags",13258
"trash bags liners","13 Gallon Tall Drawstring Kitchen Bags",13000
"trash bags liners","Febreze Fresh Clean Garbage Bags",10924
"trash bags liners","Fresh Lemon Odor Shield 13 Gallon Tall Kitchen Drawstring Bags",10584
"trash bags liners","Tall Kitchen Trash Bags with Flap Closure 13 gallon",10565
"trash bags liners","ForceFlex Drawstring Tall Kitchen Bags",10320
"trash bags liners","Compostable Tall Trash Bags 13 gallon",9399
"trash bags liners","Quick Tie Tall Kitchen Bags",6678
"trash bags liners","Tall Kitchen Bag With Febreze Odor Shield",6332
"trash bags liners","13 Gallon Drawstring Tall Kitchen Bags",5801
"trash bags liners","Certified Compostable Food Waste Bags 3 Gallon",5791
"trash bags liners","13 Gallon Tall Kitchen Drawstring Bags",5304
"trash bags liners","Garbage Bags Small - 30 CT",5057
"trash bags liners","30 Gallon Large Trash Bags",4727
"trash bags liners","Odorshield 13 Gallon Tall Kitchen Trash Bag With Febreze Freshness",3994
"trash bags liners","Wastebasket Liners",3542
"trash bags liners","Odorshield Tall Kitchen Drawstring Fresh Clean Trash Bags",3468
"trash bags liners","Small Garbage Bags Twist Tie 4 Gallon",3391
"trash bags liners","Kitchen Bags",3326
"trash bags liners","Extra Strong 30 Gallon Large Trash Bags",3313
"trash bags liners","Tall Kitchen Bags, Drawstring, Lavender, 13 Gal, Mega Pack",3172
"trash bags liners","Tall Kitchen Drawstring Trash Bags with Reinforcing Bands",3097
"trash bags liners","Party Flexible Straws",3004
"trash bags liners","Large Trash Bags 30 Gallon",2942
"trash bags liners","ForceFlex Medium Quick-Tie Garbage",2698
"trash bags liners","Cinch Sak Extra Large 33 Gallon Trash Bags",2639
"trash bags liners","Force Flex Large Trash Drawstring Bags Extra Strong",2572
"trash bags liners","Gallon Storage Bags",2499
"trash bags liners","Drawstring Tall Kitchen Bags",2445
"trash bags liners","ForceFlex Extra Strong Large Trash Bags",2394
"trash bags liners","13 Gallon Recycled Trash Bags",2033
"trash bags liners","Extra Strong 30 Gallon Large Trash Drawstring Bags",2024
"trash bags liners","Gain Original Tall Ktchen Bags",1928
"trash bags liners","Tall Kitchen Bags, Handle-Tie, 13 Gal",1816
"trash bags liners","13 Gal with Drawstring Closure White Tall Kitchen Bags",1751
"trash bags liners","Extra Strong Large Trash 30 Gallon Drawstring Bags",1431
"trash bags liners","Medium Garbage Bags",1308
"trash bags liners","3 Gallon Food Scrap Bag",1238
"trash bags liners","Large Drawstring Trash Bags",1229
"trash bags liners","Tall Kitchen Bags, Drawstring, 13 Gal",1223
"trash bags liners","13 Gallon Lavender Vanilla Scented Tall Drawstring",1119
"trash bags liners","Compostable Lawn & Leaf Bags",1042
"trash bags liners","Odor Control Home Trash Compactor Bags 18 Gallon",1017
"trash bags liners","13 Gallon Kitchen Drawstring Trash Bags",917
"trash bags liners","Tall Kitchen Drawstring 13-Gallon Trash Bags",904
"trash bags liners","Tall Kitchen Bags Drawstring Fresh Lemon 13 Gal",873
"trash bags liners","Big Bags with Double Zipper, XL",788
