Aisles,Product,amountBought
"water seltzer sparkling water","Sparkling Water Grapefruit",493389
"water seltzer sparkling water","Lime Sparkling Water",325199
"water seltzer sparkling water","Sparkling Natural Mineral Water",273469
"water seltzer sparkling water","Spring Water",265213
"water seltzer sparkling water","Sparkling Lemon Water",235283
"water seltzer sparkling water","Italian Sparkling Mineral Water",188017
"water seltzer sparkling water","Pure Sparkling Water",174683
"water seltzer sparkling water","Peach Pear Flavored Sparkling Water",162270
"water seltzer sparkling water","Sparkling Water Berry",134405
"water seltzer sparkling water","Electrolyte Enhanced Water",120482
"water seltzer sparkling water","Orange Sparkling Water",105184
"water seltzer sparkling water","Natural Spring Water",100835
"water seltzer sparkling water","Distilled Water",93372
"water seltzer sparkling water","Grapefruit Sparkling Water",91567
"water seltzer sparkling water","Blackberry Cucumber Sparkling Water",89899
"water seltzer sparkling water","Sparkling Mineral Water",81670
"water seltzer sparkling water","Cran Raspberry Sparkling Water",80232
"water seltzer sparkling water",Water,78981
"water seltzer sparkling water","Kiwi Sandia Sparkling Water",77882
"water seltzer sparkling water","Natural Artesian Water",71581
"water seltzer sparkling water","Curate Cherry Lime Sparkling Water",68311
"water seltzer sparkling water","Lemon Sparkling Water",64774
"water seltzer sparkling water","Natural Artisan Water",64405
"water seltzer sparkling water","Curate Melon Pomelo Sparking Water",63755
"water seltzer sparkling water","Purified Water",58298
"water seltzer sparkling water","Alpine Spring Water",56110
"water seltzer sparkling water","Sparkling Water",55117
"water seltzer sparkling water","Passionfruit Sparkling Water",50755
"water seltzer sparkling water",Smartwater,48760
"water seltzer sparkling water","All Natural Apricot Sparkling Water",40001
"water seltzer sparkling water","100% Natural Spring Water",38846
"water seltzer sparkling water","Tonic Water",35219
"water seltzer sparkling water","Sparkling Natural Spring Water",35106
"water seltzer sparkling water","Slim Can Pink Grapefruit Natural Mineral Water",31136
"water seltzer sparkling water","Pure Water",30774
"water seltzer sparkling water","smartwaterÂ® Electrolyte Enhanced Water",30384
"water seltzer sparkling water","Unsweetened Watermelon Water",29770
"water seltzer sparkling water","Cran-Raspberry Flavored Sparkling Water",29347
"water seltzer sparkling water","Coconut Sparkling Water",27978
"water seltzer sparkling water","Mountain Spring Water",27930
"water seltzer sparkling water","Lime Italian Sparkling Mineral Water",26350
"water seltzer sparkling water","Smartwater Electrolyte Enhanced Water",25972
"water seltzer sparkling water","Coconut Flavored Sparkling Water",25214
"water seltzer sparkling water","Unsweetened Blackberry Water",24527
"water seltzer sparkling water","Natural Pure Sparkling Water",24435
"water seltzer sparkling water","1 Liter",23798
"water seltzer sparkling water","Sparkling Orange Juice & Prickly Pear Beverage",23663
"water seltzer sparkling water","Natural Artesian Bottled Water",23501
"water seltzer sparkling water","Natural Lime Flavor Sparkling Mineral Water",23198
"water seltzer sparkling water","Lemon Italian Sparkling Mineral Water",23002
"water seltzer sparkling water","Imported Mineral Water",22358
"water seltzer sparkling water","Curate Pomme Baya-Apple Berry Sparkling Water",21582
"water seltzer sparkling water","Organic Coconut Water",21427
"water seltzer sparkling water","Peach-Pear Sparkling Water",20673
"water seltzer sparkling water","Mineral Water",20163
"water seltzer sparkling water","Mango Sparkling Water",19898
"water seltzer sparkling water","Electrolyte Water",19652
"water seltzer sparkling water","Natural Artesian Water, Mini & Mobile",19526
"water seltzer sparkling water","DRINKING WATER",19071
"water seltzer sparkling water","Pineapple Strawberry Sparkling Water",18728
"water seltzer sparkling water","Lime Slim Can",18018
"water seltzer sparkling water","Raspberry Essence Water",17897
"water seltzer sparkling water","Italian Sparkling Pomegranate And Orange Soda",17284
"water seltzer sparkling water","Unsweet Peach Water",14781
"water seltzer sparkling water","Unsweetened Strawberry Kiwi Water",14736
"water seltzer sparkling water","Sparkling Mineral Water, Natural Lemon Flavor",14610
"water seltzer sparkling water","Pure Life Purified Water",14401
"water seltzer sparkling water","Lemon Sparkling Mineral Water",14270
"water seltzer sparkling water","Purified Drinking Water",14019
"water seltzer sparkling water","Black Raspberry Sparkling Water Drink",13723
"water seltzer sparkling water","Natural Lemon Flavor Sparkling Mineral Water",12935
"water seltzer sparkling water","Original Lemonade",12678
"water seltzer sparkling water","Clementina Sparkling Beverage",12478
"water seltzer sparkling water","Lemon Sparkling Mountain Spring Water",12245
"water seltzer sparkling water","Unsweetened Pomegranate Essence Water",12171
"water seltzer sparkling water","Orange Mango Sparkling Water",11812
"water seltzer sparkling water","Original Seltzer Water",11412
"water seltzer sparkling water","Water, Unsweet, Crisp Apple",11335
"water seltzer sparkling water","Pink Grapefruit",11324
"water seltzer sparkling water","Artesian Sparkling Water",10377
"water seltzer sparkling water","Classic Lemonade",10207
"water seltzer sparkling water","Slim Can Lime Sparkling Natural Mineral Water",9448
"water seltzer sparkling water","Natural Alpine Spring Water",9417
"water seltzer sparkling water","S. Pellegrino Sparkling Natural Mineral Water",9332
"water seltzer sparkling water","Water, Unsweet, Blood Orange",9296
"water seltzer sparkling water","Raspberry Lime Sparkling Seltzer Water",8918
"water seltzer sparkling water","Pineapple Strawberry Naturally Essenced Sparkling Water",8805
"water seltzer sparkling water","Very Berry Flavor Sparking Mineral Water",8656
"water seltzer sparkling water","Mandarin Orange Sparkling Natural Spring Water",8022
"water seltzer sparkling water","Raspberry Lime Seltzer",7890
"water seltzer sparkling water","NiCola Sparkling Water",7723
"water seltzer sparkling water","Sparkling Kiwi Strawberry Soda",7706
"water seltzer sparkling water","Naturally Alkaline Spring Water",7382
"water seltzer sparkling water","Naturally Light Indian Tonic Water",7208
"water seltzer sparkling water","Lemon Sparkling Natural Spring Water",7086
"water seltzer sparkling water","Unsweetened Honeydew Essence Water",7051
"water seltzer sparkling water","Unsweet Pineapple Water",6739
"water seltzer sparkling water","Very Berry Flavor Sparkling Mineral Water",6717
"water seltzer sparkling water","Lemon Seltzer",6575
"water seltzer sparkling water","Pure Life Water",6449
"water seltzer sparkling water","Original Sparkling Seltzer Water Cans",6329
