Aisles,Product,amountBought
yogurt,"Total 2% with Strawberry Lowfat Greek Strained Yogurt",230957
yogurt,"Total Greek Strained Yogurt",208220
yogurt,"Total 0% Nonfat Greek Yogurt",201388
yogurt,"Total 0% Greek Yogurt",182482
yogurt,"Total 2% All Natural Greek Strained Yogurt with Honey",181460
yogurt,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",175998
yogurt,"Total 2% Lowfat Greek Strained Yogurt With Blueberry",170734
yogurt,"Total 2% Lowfat Greek Strained Yogurt with Peach",162669
yogurt,"Icelandic Style Skyr Blueberry Non-fat Yogurt",153608
yogurt,"Vanilla Skyr Nonfat Yogurt",148786
yogurt,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz",147142
yogurt,"Total 2% Lowfat Plain Greek Yogurt",138844
yogurt,"Non Fat Raspberry Yogurt",133338
yogurt,"Total 2% All Natural Plain Greek Yogurt",126947
yogurt,"Total 0% Nonfat Plain Greek Yogurt",124209
yogurt,"Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt",110768
yogurt,"Whole Milk Plain Yogurt",109620
yogurt,"YoKids Blueberry & Strawberry/Vanilla Yogurt",107384
yogurt,"Yogurt, Strained Low-Fat, Coconut",100741
yogurt,"Plain Greek Yogurt",99933
yogurt,"Organic Plain Whole Milk Yogurt",96305
yogurt,"Total 0% Raspberry Yogurt",95106
yogurt,"Nonfat Icelandic Style Strawberry Yogurt",89995
yogurt,"Total 0% with Honey Nonfat Greek Strained Yogurt",89940
yogurt,"Organic Plain Greek Whole Milk Yogurt",88813
yogurt,"Blueberry Yoghurt",88184
yogurt,"Strawberry Rhubarb Yoghurt",87749
yogurt,"Organic Strawberry Smoothie",86539
yogurt,"Fat Free Strawberry Yogurt",78930
yogurt,"Honey Yoghurt",77913
yogurt,"Lemon Yogurt",76733
yogurt,"Raspberry Yoghurt",75142
yogurt,"Non Fat Acai & Mixed Berries Yogurt",73564
yogurt,"Lowfat Vanilla Yogurt",73242
yogurt,"YoBaby Peach Pear Yogurt",72177
yogurt,"Yogurt, Lowfat, Strawberry",71009
yogurt,"Organic Greek Whole Milk Blended Vanilla Bean Yogurt",68098
yogurt,"Vanilla Skyr Style Yogurt",66523
yogurt,"Peach on the Bottom Nonfat Greek Yogurt",65555
yogurt,"YoBaby Blueberry Apple Yogurt",65296
yogurt,"Traditional Plain Greek Yogurt",63834
yogurt,"Strawberry on the Bottom Nonfat Greek Yogurt",63550
yogurt,"Organic Greek Nonfat Yogurt With Mixed Berries",62898
yogurt,"Honey Greek Yogurt",62284
yogurt,"Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt",62222
yogurt,"Organic YoKids Very Berry Smoothies",61118
yogurt,"Yobaby Organic Plain Yogurt",60523
yogurt,"Fat Free Blueberry Yogurt",60427
yogurt,"Low Fat Vanilla Yogurt",60149
yogurt,"YoKids Strawberry Banana/Strawberry Yogurt",60123
yogurt,"Cherry Pomegranate Greek Yogurt",59216
yogurt,"Wild Berry Smoothie",59103
yogurt,"Mixed Berries Whole Milk Icelandic Style Skyr Yogurt",59011
yogurt,"Strawberry Rhubarb Yogurt",58007
yogurt,"Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes",57916
yogurt,"Icelandic Style Fat Free Plain Yogurt",57651
yogurt,"Low Fat Strawberry Yogurt Tubes",57229
yogurt,"Organic Greek Lowfat Yogurt With Strawberries",56622
yogurt,"Blueberry on the Bottom Nonfat Greek Yogurt",55428
yogurt,"Organic Nonfat Greek Yogurt With Peaches",55349
yogurt,"Tart Cherry Yoghurt",53905
yogurt,"Coconut Yoghurt",53522
yogurt,"YoKids Squeeze! Organic Strawberry Flavor Yogurt",53267
yogurt,"Plain Whole Milk Yogurt",52848
yogurt,"Total 0% Blueberry Acai Greek Yogurt",51843
yogurt,"Organic Strawana Probugs Kefir",51465
yogurt,"Organic Greek Plain Nonfat Yogurt",48820
yogurt,"Organic Whole Milk Strawberry Beet Berry Yogurt Pouch",48779
yogurt,"Organic Raspberry Lowfat Yogurt",48651
yogurt,"Cream Top Smooth & Creamy Vanilla Yogurt",48619
yogurt,"Goo Berry Pie Probugs Kefir",47884
yogurt,"0% Greek Strained Yogurt",47696
yogurt,"Almond Milk Strawberry Yogurt",47146
yogurt,"Low Fat Plain Yogurt",44383
yogurt,"Vanilla Almond Milk Yogurt",44178
yogurt,"Yotoddler Organic Pear Spinach Mango Yogurt",44037
yogurt,"Non Fat Black Cherry on the Bottom Greek Yogurt",43449
yogurt,"Yoghurt Blueberry",42431
yogurt,"Organic YoBaby Vanilla Yogurt",42181
yogurt,"Raspberry on the Bottom Nonfat Greek Yogurt",41916
yogurt,"Lowfat Blueberry Yogurt",41773
yogurt,"Organic Greek Lowfat Yogurt With Blueberries",41763
yogurt,"Organic Peach Lowfat Yogurt",40686
yogurt,"Plain Non-Fat Greek Yogurt",40606
yogurt,"Cream Top Smooth & Creamy Maple Yogurt",40605
yogurt,"Almond Milk Blueberry Yogurt",40400
yogurt,"Yo Baby Organic Whole Milk Banana Mango Yogurt",39612
yogurt,"Blueberry Whole Milk Yogurt Pouch",39464
yogurt,"Almond Milk Peach Yogurt",39258
yogurt,"Organic Lowfat Yogurt Banana Vanilla",38353
yogurt,"Original Strawberry Low Fat Yogurt",37908
yogurt,"Lowfat Key Lime Yogurt",37737
yogurt,"Mango Yoghurt",37643
yogurt,"Organic Lowfat French Vanilla Yogurt",36973
yogurt,"Total Plain Greek Strained Yogurt",36725
yogurt,"Organic Plain Kefir",36616
yogurt,"Non-Fat Greek Yogurt With Strawberries on the Bottom",36349
yogurt,"Organic Lemon Lowfat Yogurt",36302
yogurt,"Vanilla 0% Milkfat Yogurt",36094
yogurt,"Low-Fat Strawberry Banana on the Bottom Greek Yogurt",35573
yogurt,"Peach Yoghurt",35020
yogurt,"Plain Goat Milk Yogurt",34951
yogurt,"Organic Greek Lowfat Yogurt With Cherries",34172
yogurt,"Whole Milk Greek Blended Vanilla Bean Yogurt",33868
yogurt,"Dairy Free Coconut Milk Vanilla Yogurt Alternative",33381
yogurt,"Organic Greek Whole Milk Blended Strawberry Yogurt",33107
yogurt,"Blackberry Yogurt",32912
yogurt,"Total 0% Peach Yogurt",31841
yogurt,"Organic Australian Style Vanilla Lowfat Yogurt",31752
yogurt,"Organic Whole Milk French Vanilla Yogurt",31523
yogurt,"Low-Fat Mango on the Bottom Greek Yogurt",31170
yogurt,"Vanilla Yoghurt",30329
yogurt,"Organic Greek Plain Lowfat Yogurt",30218
yogurt,"Strawberry Organic Kefir",30161
yogurt,"Pineapple on the Bottom Greek Yogurt",30126
yogurt,"Flipâ„¢ Low-Fat Almond Coco Loco Lowfat Greek Yogurt",29084
yogurt,"Cream Top Strawberry on the Bottom Yogurt",28257
yogurt,"Danimals Strawberry Explosion Flavored Smoothie",27711
yogurt,"YoKids Squeeze Organic Blueberry Blue Yogurt",27584
yogurt,"Harvest Peach Yogurt",26950
yogurt,"Yo Baby Organic Vanilla Yogurt",26670
yogurt,"Original French Vanilla Yogurt",26532
yogurt,"Vanilla Light & Fit Greek Yogurt",26274
yogurt,"Total 0% Cherry Nonfat Yogurt",26195
yogurt,"Total 2% with Raspberry Pomegranate Lowfat Greek Strained Yogurt",25944
yogurt,"Organic Lowfat Plain Yogurt",25749
yogurt,"Dairy Free Coconut Milk Blueberry Yogurt Alternative",25698
yogurt,"Flipâ„¢ Low-Fat Key Lime Crumble Greek Yogurt",25416
yogurt,"Non-Fat Vanilla Blended Greek Yogurt",25283
yogurt,"Organic Nonfat Greek Yogurt With Raspberries",25154
yogurt,"Cream Top Smooth & Creamy Plain Yogurt",24583
yogurt,"Strained Non Fat Orange & Ginger Yogurt",24502
yogurt,"Yogurt Tubes Blueberry",24458
yogurt,"Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt",24370
yogurt,"Total 2% Greek Mixed Berries Yogurt",23996
yogurt,"Dairy Free Coconut Milk Raspberry Yogurt Alternative",23915
yogurt,"Coconut Yogurt",23826
yogurt,"Non-Fat Blueberry on the Bottom Greek Yogurt",23447
yogurt,"Vanilla Greek Yogurt 0% Fat",23319
yogurt,"ProBugs Whole Milk Kefir Orange Creamy Crawler",23313
yogurt,"Honey Vanilla Greek Yogurt",22872
yogurt,"Original Strawberry Banana Yogurt",22841
yogurt,"Coconut Blended Greek Yogurt",22554
yogurt,"Grassfed Whole Milk Plain Yogurt",22429
yogurt,"Yo Toddler Organic Strawberry Banana Whole Milk Yogurt",22382
yogurt,"Organic Nonfat Greek Yogurt With Lemon",22087
yogurt,"Greek Whole Milk Blended Blueberry Yogurt",22068
yogurt,"Kefir Cultured Strawberry Milk Drink",22061
yogurt,"Total 2% Yogurt Key Lime",21819
