Department,Product,amountBought
alcohol,"Sauvignon Blanc",47647
alcohol,"Cabernet Sauvignon",36803
alcohol,Chardonnay,34002
alcohol,Beer,28448
alcohol,Vodka,24679
alcohol,"Pinot Noir",24415
alcohol,"Pinot Grigio",18249
alcohol,"India Pale Ale",17193
alcohol,Malbec,15709
alcohol,"Cabernet Sauvignon Wine",11405
alcohol,"Chardonnay Wine",11246
alcohol,"Prosecco Sparkling Wine",9464
alcohol,"Red Blend",9213
alcohol,Merlot,7897
alcohol,"Belgian White Wheat Ale",7339
alcohol,"Little Sumpin' Sumpin' Ale",7039
alcohol,"California Red Wine",7034
alcohol,"Premium Lager Beer",6875
alcohol,IPA,6863
alcohol,"Handmade Vodka From Austin, Texas",6760
alcohol,"Belgium Beer",6270
alcohol,"Pinot Noir Wine",6148
alcohol,"80  Vodka Holiday Edition",6036
alcohol,"Handmade Vodka",5712
alcohol,"Amber Ale",5704
alcohol,"Frontier Whiskey",5532
alcohol,"Premium Belgian Lager",5416
alcohol,"Pinot Grigio Wine",5280
alcohol,"Pinot Noir, California",5217
alcohol,Rose,5127
alcohol,Prosecco,5000
alcohol,Lager,4763
alcohol,"Variety Pack Hard Cider",4602
alcohol,Clara,4585
alcohol,"Extra Beer Bottles",4554
alcohol,"Pale Ale Beer",4486
alcohol,"Kentucky Straight Bourbon Whiskey",4462
alcohol,"Irish Whiskey",4406
alcohol,"Crisp Hard Cider Crisp Apple",4060
alcohol,"Cabernet Sauvignon, Central Coast, 2011",4009
alcohol,"California Pinot Noir",4002
alcohol,Whiskey,3926
alcohol,"Sculpin IPA",3815
alcohol,"Brewmaster's Seasonal Sampler",3744
alcohol,Brut,3677
alcohol,"Longboard Island Lager",3521
alcohol,"Brut Sparkling Wine",3366
alcohol,"Sonoma Pinot Noir Wine",3352
alcohol,"Old Vine Zinfandel",3293
alcohol,"Tequila Silver",3269
alcohol,"California Merlot",3258
alcohol,Zinfandel,3242
alcohol,"Lager Beer",3093
alcohol,"Ale, India Pale, Brew Free! Or Die IPA",3054
alcohol,"The Original Irish Creme Liquer",3048
alcohol,"12 Oz Lager",2992
alcohol,"Silver Tequila",2954
alcohol,"Brut Cuvee Sparkling Champagne",2951
alcohol,"Vintner's Reserve Chardonnay",2950
alcohol,"Old Vine Zinfandel Wine",2904
alcohol,"Belgian White Beer",2801
alcohol,"Vintners Reserve Sauvignon Blanc",2739
alcohol,"Brown Ale",2610
alcohol,Moscato,2602
alcohol,"Triple Distilled Vodka",2476
alcohol,"Mixed 12 Pack Lion's Share Ale",2466
alcohol,"London Dry Gin",2401
alcohol,"Sauvignon Blanc Wine",2320
alcohol,"Spiced Rum",2298
alcohol,"Puerto Rican Rum",2273
alcohol,"Petite Sirah",2265
alcohol,"Frontier Straight 95% Rye Mash Whiskey",2219
alcohol,"Draught Beer",2184
alcohol,"Original Belgian Wheat Beer",2164
alcohol,"India Pale Ale Racer 5",2138
alcohol,"Cabernet Sauvignon, California, 2011",2136
alcohol,"Central Coast Chardonnay",2111
alcohol,"Cabernet Sauvignon, California, 2005",2081
alcohol,"London Dry Gin England",2067
alcohol,Especial,2053
alcohol,Light,2047
alcohol,"Belgian Style Wheat Ale",2030
alcohol,"Essential Red",2024
alcohol,"Scrimshaw Pilsner Style Beer",2012
alcohol,"Pinot Noir California",2007
alcohol,"Alto Adige Pinot Grigio",1926
alcohol,Shiraz,1905
alcohol,Gin,1903
alcohol,"Marlborough Sauvignon Blanc Wine",1885
alcohol,Riesling,1868
alcohol,"Old No 7 Tennessee Whiskey",1844
alcohol,"Imported Beer from Mexico",1822
alcohol,"Red Wine",1820
alcohol,805,1816
alcohol,"Extra IPA Beer",1814
alcohol,"Vodka 525",1790
alcohol,"California Red Velvet Wine",1763
alcohol,"Brut California Champagne",1743
alcohol,"Blonde Ale",1688
alcohol,"12 Oz Beer",1686
alcohol,"California Champagne Extra Dry",1637
alcohol,"Coffee Liqueur",1606
alcohol,"Private Selection Pinot Noir",1575
alcohol,Draught,1568
alcohol,"Vinter's Collection Chardonnay",1561
alcohol,"Single Malt Scotch Whiskey",1537
alcohol,"Central Coast 2011 Chardonnay",1532
alcohol,"Imported Vodka",1517
alcohol,"Cabernet Sauvignon, Central Coast, 2007",1498
alcohol,"California Chardonnay",1487
alcohol,"Monterey County Pinot Noir",1477
alcohol,"Beer Cans",1475
alcohol,"Pale Ale",1467
alcohol,"Summer Pack Variety Bottles",1456
alcohol,"Sparking Brut Classic Wine",1454
alcohol,"Irish Whiskey Ireland",1444
alcohol,"Vinho Verde",1438
alcohol,"312 Urban Wheat Ale",1422
alcohol,"Sauvignon Blanc, Mendocino, 2007",1395
alcohol,"Distilled London Dry Gin",1383
alcohol,"Prosecco Treviso",1383
alcohol,"Tequila Reposado with Glass",1359
alcohol,"Champagne, Extra Dry, Sparkling California",1355
alcohol,"Belgian Style White Beer",1354
alcohol,"Bottled Imported Premium Light Lager Beer",1339
alcohol,"Bourbon Whiskey",1320
alcohol,"Beer Especial",1319
alcohol,"Brut Ros̩",1314
alcohol,"Folly Variety Bottles",1307
alcohol,"Premium Beer",1277
alcohol,"Louis Jadot",1271
alcohol,"Premium Light Beer",1270
alcohol,"337 Cabernet Sauvignon Wine",1270
alcohol,"Tequila Blanco",1267
alcohol,"Fume Blanc Sonoma County",1242
alcohol,"Fresh Squeezed IPA",1232
alcohol,"Belgian White",1225
alcohol,"Pinot Grigio, DOC Trentino, 2009",1224
alcohol,"Boston Lager",1217
alcohol,"Old Vine Zin",1211
alcohol,"Sauvignon Blanc, Napa Valley, 2009",1194
alcohol,"Junmai Sake",1194
alcohol,Champagne,1193
alcohol,"Ksa Ko?Lsch Style Ale",1155
alcohol,"Imported Light Beer",1150
alcohol,"Chardonnay California",1148
alcohol,"Brut Champagne",1146
alcohol,"No. 485 Gin",1145
alcohol,"Chenin Blanc",1133
alcohol,"Lite Beer",1108
alcohol,"Nuestro Tequila",1106
alcohol,"Pinot Noir, California, 2010",1074
alcohol,"Coronita Beer Extra",1023
alcohol,"Extra Dry California Champagne",1013
alcohol,Brandy,1012
alcohol,"Pinot Gris",995
alcohol,"Extra Stout Beer",989
alcohol,Sancerre,988
alcohol,"Big Wave Golden Ale",980
alcohol,Sauvignon,977
alcohol,"Riverstone Chardonnay",975
alcohol,"Old Rasputin Stout Beer",968
alcohol,"Brandy VS",959
alcohol,"Extra Dry Champagne",958
alcohol,"Traditional Original Amber Lager",958
alcohol,"Red Wine, Dark, California, 2013",956
alcohol,"Superior Puerto Rican Rum",951
alcohol,"7 Deadly Zins",950
alcohol,"Ale, Hop Stoopid",945
alcohol,"Daisy Cutter Pale Ale",929
alcohol,Marsala,904
alcohol,"Variety Pack Beer",900
alcohol,"Bourbon Kentucky Frontier Whiskey",896
alcohol,"Cordon Negro Brut",895
alcohol,"60 Minute IPA",894
alcohol,"Ancient Vines Zinfandel",892
alcohol,"Robert Mondavi",889
alcohol,"Extra Dry Vermouth",888
alcohol,"Riesling, Colombia Valley, Vintage 2013",883
alcohol,"Mighty Dry Hard Cider",878
alcohol,"Sauvignon Blanc, California, 2011",875
alcohol,"Light Beer",875
alcohol,"Single Malt Scotch Whisky",874
alcohol,"Cabernet Sauvignon Sonoma County",865
alcohol,"312 Urban Wheat",857
alcohol,"Organic & Raw Grape Kombucha",839
alcohol,"Sonoma Brut Sparkling Wine",830
alcohol,"Sofia Blanc De Blancs Sparkling White Wine",829
alcohol,"Cinnamon Whiskey",828
alcohol,"Orange Liqueur",817
alcohol,"Rye Whiskey",806
alcohol,Chianti,802
alcohol,"Monterey Pinot Gris",797
alcohol,"Tequila, Silver",794
alcohol,"Draft Beer",794
alcohol,"La Fin Du Monde Ale",793
alcohol,"Claret, Black Label, 2006",792
alcohol,"Racer 5 IPA",791
alcohol,"Midnight California Dark Red Wine Blend",783
alcohol,"Sauvignon Blanc, Napa County",774
alcohol,"Cold Activated Beer",763
alcohol,"Big Daddy IPA",763
alcohol,"Cabernet Sauvignon California",761
alcohol,"Stoli Blueberi",759
alcohol,"White Wine Winemaker's Blend California, 2010",754
alcohol,"Backyard Variety Hard Strawberry Lemonade Hard Lemonade Hard Cranberry & Passion Fruit Lemonade Hard Tropical Mango Lemonade",753
alcohol,"Straight Bourbon Whiskey",745
alcohol,"Blended Scotch Whiskey",731
alcohol,"Pub Ale",724
alcohol,"Valdobbiadene Prosecco",712
alcohol,"Icelandic White Ale 6 Pack",711
alcohol,Pils,710
alcohol,"Cabernet Sauvignon, California, 2006",710
alcohol,"Chardonnay Monterey",706
alcohol,"Black Spiced Rum",698
alcohol,"Organic Zero Sulfites Red Wine",696
alcohol,"Zinfandel Wine",693
alcohol,Ultra,692
alcohol,"Milanoe, Bitter",684
alcohol,"Original Recipe Tennessee Honey Whiskey",682
alcohol,"Avant California Chardonnay",676
alcohol,"12 Year Old Single Malt Scotch Speyside",675
alcohol,"Simtra Triple IPA",674
alcohol,"Natural Hard Apple Cider",670
alcohol,"Pinto Noir, Monterey, 2007",666
alcohol,"Big Eye IPA",665
alcohol,"Champagne Brut Rose",664
alcohol,"Gruner Veltliner",660
alcohol,"Cork Dancer Pinot Noir",656
alcohol,"90 Minute Imperial Ipa",653
alcohol,"805 Blond Ale",650
alcohol,"Premium Malt Beverage",649
alcohol,"Gold Rum",633
alcohol,"Crush Red Blend",632
alcohol,"Chardonnay California 2009",630
alcohol,"Ale, Amber",625
alcohol,"Merlot, Columbia Valley, 2007",623
alcohol,"Blanc De Noir Champagne",617
alcohol,"Down To Earth IPA",612
alcohol,"Grand Reserve Chardonnay",612
alcohol,"Tennessee Whiskey",606
alcohol,"Non Alcoholic Amber Beer",603
alcohol,"Extra Smooth Vodka",601
alcohol,"Original Spiced Rum",600
alcohol,"Hard Cider Crisp Apple",591
alcohol,"Stella Rosso, Semi-Sweet",591
alcohol,"Chenin Blanc Viognier",584
alcohol,"Casillero del Dialblo",583
alcohol,"Verry Special Cognac",582
alcohol,"Belgian Style Tripel Ale",573
alcohol,"Dogtown Pale Ale",568
alcohol,"Old Vines Zinfandel Wine",565
alcohol,"Pinot Noir, California, 2011",563
alcohol,"Brut Rose Champagne",559
alcohol,"Extra Beer",554
alcohol,"Anejo Tequila",553
alcohol,"Day Time Fractional IPA",551
alcohol,"Hell or High Watermelon Wheat, Cans",544
alcohol,"Woodbridge Cabernet Sauvignon",540
alcohol,"Sweet Vermouth",536
alcohol,"Apple Ale",531
alcohol,"Central Coast Cabernet Sauvignon",530
alcohol,"Merlot, California, 2007",529
alcohol,"Arrogant Bastard Ale",524
alcohol,"Gold Apple Hard Cider",523
alcohol,"Smokestack Mixed Four",522
alcohol,Viognier,522
alcohol,"Potato Vodka",512
alcohol,"Peach Passion Champagne",510
alcohol,"Sofia Pinot Noir Ros̩ Wine",509
alcohol,"VSOP Brandy",507
alcohol,"Blended Scotch Whiskey Black Label",503
alcohol,"Cabernet Sauvignon, Paso Robles, 2012",499
alcohol,"Brooklyn Lager",497
alcohol,"Villager Ipa",488
alcohol,"Premium Full Beer",485
alcohol,Cabernet,482
alcohol,"Ruination Double India Pale Ale",477
alcohol,"Fine De Luxe Blended Canadian Whiskey",473
alcohol,"Pink Moscato Champagne, Sparkling, California",472
alcohol,"Grapefruit Radler",472
alcohol,"Merlot Wine",470
alcohol,"Malbec Red Wine",465
alcohol,"XX Lager Especial",464
alcohol,"Ale, Not Quite Pale, No. 9",460
alcohol,"Asti Spumante",459
alcohol,"Los Osos Merlot",454
alcohol,"Tequila Reposado",450
