Department,Product,amountBought
babies,"Baby Food Stage 2 Blueberry Pear & Purple Carrot",93236
babies,"Spinach Peas & Pear Stage 2 Baby Food",84843
babies,"Broccoli & Apple Stage 2 Baby Food",73399
babies,"Gluten Free SpongeBob Spinach Littles",70422
babies,"Kids Sensible Foods Broccoli Littles",63952
babies,"Free & Clear Unscented Baby Wipes",60018
babies,"Organic Mixed Berry Yogurt & Fruit Snack",59931
babies,"Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food",58547
babies,"Peach,  Apricot & Banana Stage 2 Baby Food",56228
babies,"Organic Pears, Peas and Broccoli Puree Stage 1",53641
babies,"Organic Strawberry Yogurt & Fruit Snack",52201
babies,"Baby Food Stage 2 Pumpkin Banana",46909
babies,"Happy Baby Spinach, Mango, and Pear Baby Food",46063
babies,"Apple and Carrot Stage 2 Baby Food",45466
babies,"Organic Stage 4 Spinach Mango & Pear Baby Food",44303
babies,"Pear & Mango Stage 2 Baby Food",43130
babies,"Organic Stage 4 Green Bean Pear & Pea Baby Food",43026
babies,"Organic Whole Grain Oatmeal Cereal Baby Food",40493
babies,"Kale & Spinach Superfood Puffs",40438
babies,"Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods",40269
babies,"Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food",37774
babies,"Organic Stage 2 Peaches & Bananas Baby Food",35444
babies,"Apples, Kale & Avocados Organic Baby Food",35019
babies,"Apples + Strawberries Organic Nibbly Fingers",34830
babies,"Strawberry Puffs",34784
babies,"Organic Sweet Potato Puffs",34335
babies,"Stage 2 Sweet Potato Corn & Apple Baby Food",33878
babies,"Organic Fiber & Protein Pear Blueberry & Spinach Baby Food",33659
babies,"Banana & Mango Organic Yogurt & Fruit SnacksÂ ",33371
babies,"Organic Strawberry Banana Fruit Yogurt Smoothie",33264
babies,"Stage 1 Apples & Strawberries Organic Pureed Baby Food",32704
babies,"Organic Banana Blueberry Baby Food Puree",32268
babies,"Organic Stage 3 Pear Carrot Apricot Baby Food",32027
babies,"Organic Stage 2 Broccoli Pears & Peas Baby Food",31467
babies,"Sunny Days Strawberry Snack Bars",30344
babies,"Organic Apples, Carrots and Parsnips Puree",29559
babies,"Organic Go Go Apple Peach Applesauce",29328
babies,"First Prunes",29216
babies,"Organic Sunny Days Apple Snack Bars",28329
babies,"Pears, Kale & Spinach Organic Baby Food",28296
babies,"Stage 1 - Just Prunes",28232
babies,"Squash & Sweet Peas Stage 2",27937
babies,"Organic Atage 3 Nibbly Fingers Mangoes Carrots",27532
babies,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",27366
babies,"Wholesome Breakfast Blueberry Banana",27253
babies,"Little Yums Spinach, Apple, and Kale Teething Wafers",26892
babies,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",26335
babies,"Organic Stage 2 Carrots Baby Food",25282
babies,"Honest Face, Hand, & Baby Wipes",25101
babies,"Organic Apple & Butternut Squash Baby Food",23916
babies,"Organic Baby Food Banana Beet & Blueberry",23912
babies,"Blueberry Beet & Brown Rice Cakes",23704
babies,"Super Foods/Organic Apples, Spinach, Peas & Broccoli + Super Chia Snack Pouch",23195
babies,"Pumpkin & Spinach Stage 2 Baby Food",23175
babies,"Pear Kiwi & Kale Baby Food",23127
babies,"Apples, Pumpkin & Carrots Organic Baby Food",22705
babies,"Bananas, Raspberries & Oats Organic Baby Food",22692
babies,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",22612
babies,"Apples, Guavas & Beets Organic Baby Food",22525
babies,"Apple Peach Oatmeal Stage 2",21733
babies,"Carrot and Broccoli Baby Food Puree",21600
babies,"Sweet Potatoes Stage 2",21228
babies,"Banana, Peach and Mango Fruit Pouch",21039
babies,"Organic Banana Puffs",20760
babies,"Strawberry and Banana Fruit Puree",20668
babies,"Little Yums Pumpkin and Banana Teething Wafers",20028
babies,"Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack",19911
babies,"Vegetable Turkey Dinner Stage 2",19051
babies,"Butternut Squash Pear Stage 2 Baby Food",18904
babies,"Blueberry Oats and Quinoa Whole Grain Snack",18787
babies,"Superfoods Organic Pears, Blueberries & Beets + Super Chia Fruit & Veggie Blend",18020
babies,"Just Mangos Organic Baby Food",17997
babies,"Organic Letter of the Day Oatmeal Cinnamon Cookies",17984
babies,"Broccoli, Kale & Cheddar Cheese Organic Veggie Snack",17863
babies,"Baby Food Pears Squash",17270
babies,"Stage 2 Spinach, Apple & Kale",17235
babies,"Apples & Blueberries Stage 2 Baby Food",17220
babies,"Sweet Potato Apple Stage 2 Baby Food",17047
