Department,Product,amountBought
bakery,"100% Whole Wheat Bread",445918
bakery,"Organic Bread with 21 Whole Grains",186692
bakery,"Corn Tortillas",152100
bakery,"Ezekiel 4:9 Bread Organic Sprouted Whole Grain",148176
bakery,"Sourdough Bread",134817
bakery,"Organic Whole Grain Wheat English Muffins",127541
bakery,"Original Nooks & Crannies English Muffins",123251
bakery,"Organic 21 Grain Thin Sliced Bread",96613
bakery,"Authentic French Brioche Hamburger Buns",92583
bakery,"Organic Whole Wheat Bread",91137
bakery,"Organic Good Seed Bread",88232
bakery,"Whole Wheat Bread",86841
bakery,"Plain Bagels",86767
bakery,"Organic Honey Sweet Whole Wheat Bread",86088
bakery,"Sonoma Traditional Flour Tortillas 10 Count",75578
bakery,"Super Soft Taco Flour Tortillas",73951
bakery,"Plain Mini Bagels",71545
bakery,"Hot Dog Buns",71164
bakery,"Everything Bagels",68983
bakery,"Plain Pre-Sliced Bagels",68027
bakery,"White Corn Tortillas",65404
bakery,"Gluten Free 7 Grain Bread",64781
bakery,"Tortillas, Corn, Organic",64643
bakery,"California Sourdough Bread",60209
bakery,"Large Burrito Flour Tortillas",58142
bakery,"Soft Pretzel Burger Buns",57341
bakery,"Ezekiel 4:9 Sprouted Grain Tortillas",56524
bakery,"Presliced Everything Bagels",56091
bakery,"Cinnamon Raisin Bread",55365
bakery,"Whole Wheat English Muffins",55154
bakery,"Organic Sprouted English Muffin",54044
bakery,"Authentic French Brioche",53927
bakery,"Soft Pretzel Mini Buns",53605
bakery,"Plain Bagelettes",52869
bakery,"Classic White Bread",52058
bakery,"White Sandwich Bread",50813
bakery,"Gluten Free White Sandwich Bread",49973
bakery,"Sweet Baguette",49715
bakery,"Sourdough Baguette",47058
bakery,"Good Seed Organic Thin Sliced Bread",47012
bakery,"Organic Ezekiel 49 Bread Cinnamon Raisin",45686
bakery,"Hamburger Buns",45643
bakery,"Organic White Corn & Wheat Tortillas",44195
bakery,"Organic Ezekiel 4:9 Sesame Bread",43836
bakery,"Sweet Rolls",43325
bakery,"Organic California Style Sprouted Bread",42668
bakery,"Sprouted Multi-Grain Bread",42275
bakery,"Organic Traditional Flour Tortillas",42073
bakery,"Light Multi-Grain English Muffins",41919
bakery,"Honey Wheat Bread",41905
bakery,"Bread, Country Buttermilk",41058
bakery,"Whole Wheat Tandoori Naan",40778
bakery,"Potato Hot Dog Buns",40502
bakery,"Organic Soft Wheat Bread",40179
bakery,"Tortillas, Brown Rice",39478
bakery,"Sonoma Handmade Style Corn Tortillas",39474
bakery,"French Baguette",38887
bakery,"Soft Taco Size White Flour Tortillas",38708
bakery,"Multigrain Oat Bread",38638
bakery,"Hearty Grains 100% Whole Wheat English Muffins",38348
bakery,"Wheat English Muffins",37945
bakery,"Challah Bread",36938
bakery,"Organic Sprouted Wheat Bagels",35932
bakery,"Gluten Free Sliced Mountain White Bread",35056
bakery,"Country Morning White Bread",34995
bakery,"Brownberry 100% 12 Grain Bread",34959
bakery,"Organic White English Muffins",34940
bakery,"Cinnamon Swirl Raisin Bread",34755
bakery,"Country White Bread",34509
bakery,"Honey Wheat Enriched Bread",34345
bakery,"Tortillas, Wheat Free, Sprouted Corn",34147
bakery,"Deluxe Plain Bagels",33942
bakery,"Corn Maize Tortillas",33286
bakery,"Organic Whole Wheat Tortillas",33266
bakery,"French Baguettes, Take & Bake, Twin Pack",33228
bakery,"Whole Grains Oatnut Bread",32130
bakery,"Sprouted Whole Wheat Bread",30846
bakery,"Gluten Free Millet-Chia Bread",30575
bakery,"Sprouted Organic Cinnamon Raisin English Muffins",30300
bakery,"Yellow Soft Corn Tortillas 8 Count",29652
bakery,"Yellow Corn Organic Tortillas",29248
bakery,"Flour Tortillas",28720
bakery,"White English Muffins",28669
bakery,"Thin Whole Wheat Sandwich Buns",28654
bakery,"Sliced Sourdough Bread",28494
bakery,"Premium Italian Bread",28484
bakery,"Sausage Buns",28270
bakery,"Organic White Bread Done Right",28246
bakery,"Gluten Free Blueberry Muffins",28006
bakery,"Soft Potato Bread",27791
bakery,"Gluten Free Plain Bagels",27759
bakery,"Rocky Mountain Sourdough Bread",27706
bakery,"100% Whole Wheat Medium Soft Taco Flour Tortillas",27617
bakery,"Cinnamon Raisin Swirl Pre-Sliced Bagels",27457
bakery,"Organic Flour Tortillas",27370
bakery,"Gluten Free Pizza Crust",26231
bakery,"Gluten Free Omega Flax & Fiber Bread",26179
bakery,"English Muffins",26030
bakery,"Organic Multigrain with Flax English Muffins",25511
bakery,"Soft & Smooth Whole Grain White Bread",25477
bakery,"Carb Balance Flour Tortillas",25364
bakery,"Original English Muffins",25327
bakery,"French Loaf",25196
bakery,"Flourless  Sprouted Whole Grain 7-Sprouted Grains English Muffins",24961
bakery,"Sesame Bagels",24958
bakery,"Flour Tortillas Soft Taco",24673
bakery,"100% Whole Wheat Bagels",24422
bakery,"Classic Wheat Bread",24296
bakery,"Gluten Free Classic Hamburger Buns",23628
bakery,"French Baguette Bread",22981
bakery,"Double Fiber Bread",22928
bakery,"Gluten Free Cinnamon Raisin Bread",22859
bakery,"Best Cinnamon Bread",22583
bakery,"Olive Bread",22573
bakery,"Garlic Bread",22145
bakery,"Uncooked Medium Flour Tortillas",21661
bakery,"Organic Spelt Tortillas",21517
bakery,"Mini Blueberry Muffins",21434
bakery,"Whole Grain Loaf",21376
bakery,"Sprouted Grain Low Sodium Bread",21262
bakery,"Almond Flour Tortillas",21237
bakery,"Muffins, Mini, Flax, Chocolate Brownie",21046
bakery,Ciabatta,20978
bakery,"Country Potato Bread",20836
bakery,"Sour Batard",20749
bakery,"100% Oatnut Bread",20552
bakery,"Baguette Sourdough",20311
bakery,"Super Soft Flour Tortillas Fajita Size 20 ct",20230
bakery,"Bread Co Pain Au Levain",20145
bakery,"White Pita",20124
bakery,"Soft 10 Grain Bread",19862
bakery,"100% Whole Wheat Pre-Sliced Sandwich Thins",19517
bakery,"Muffins, Flax, Wild Blueberry",19468
bakery,"Organic Bakery Tortillas Whole Spelt",19339
bakery,"7 Sprouted Grains Bread",19285
bakery,"100% Whole Wheat Pre-Sliced Bagels",19193
bakery,"Sourdough Deli Bread",19059
bakery,"Multigrain Sandwich Bread",18635
bakery,"Gluten Free Whole Grain Bagels",18363
bakery,"Deluxe Everything Bagels",17989
bakery,"Pita Bread",17893
bakery,"Sprouted Wheat Cinnamon Raisin Bagels",17846
bakery,"Organic White Pita Bread",17769
bakery,"Cracked Wheat Sourdough Loaf",17657
bakery,"Sweet Batard",17542
bakery,"One Bun Multigrain Whole Grain Pita",17505
bakery,"Brownberry Natural Wheat Bread",17463
bakery,"Organic 100% Whole Wheat Loaf",17444
bakery,"Blueberry Muffins",17429
bakery,"Organic Multigrain Bread",17375
bakery,"Organic Soft White Bread",17216
bakery,"Mini Whole Wheat Pita Bread",17199
bakery,"Euro Classic Brioche Hot Dog Buns",17182
bakery,"Authentic French Brioche Rolls",17177
bakery,"All Natural Cinnamon Raisin Bread",17003
bakery,"Plain Pre-Sliced Bagel Thins",16712
bakery,"Bagel Thins Everything",16638
bakery,"Organic Blues Bread with Blue Cornmeal Crust",16339
bakery,"100% Whole Wheat",15839
bakery,"Gluten Free Multigrain Bread",15682
bakery,"Organic Bakery Hamburger Buns Wheat - 8 CT",15622
bakery,"Whole Wheat Sourdough",15560
bakery,"Farmhouse Hearty White Bread",15513
bakery,"Morning Rounds Muesli Fruit & Grain Buns",15511
bakery,"Organic Pack Peasant Bread",15266
bakery,"Gluten Free Classic Hotdog Buns",15194
bakery,"White Hot Dog Rolls",15142
bakery,"Olive Oil & Sel Gris Sourdough Flatbread",15040
bakery,"Big California Sourdough Bread",15006
bakery,"Yellow Corn Tortillas",14792
bakery,"Chocolate Crepes",14743
bakery,"12 Grain Bread",14731
bakery,"Extra Crisp English Muffins",14456
bakery,"Multi Grain Sandwich Thins",14434
bakery,"Gluten Free Brown Rice English Muffins 6 ct",14334
bakery,"The Original Multi Grain Bread",14219
bakery,"Wheat Sandwich Thins",14085
bakery,"Tandoor Baked Naan",14061
bakery,"Bread, Sprouted Sourdough",13868
bakery,"Organic Whole Wheat Pita",13702
bakery,"15 Grain Whole Grain Bread",13676
bakery,"Whole Wheat Pita Bread",13454
bakery,"French Bread",13054
bakery,"Hot Dog Buns Enriched 8 Count",13053
bakery,"Garden Spinach Herb 6 Ct Wraps",12939
bakery,"Organic Whole Wheat Sourdough Bread",12829
bakery,"Large Enriched Bread",12817
bakery,"Split Top Wheat Bread",12704
bakery,"Sweet Sliced Bread",12668
bakery,"100% Whole Wheat Burger Buns",12275
bakery,"Vegan Chocolate Chip Mini Muffins",12250
bakery,"Organic Sprouted Wheat Sesame Bagels",11963
bakery,"Toastable Apple Cinnamon Fruit & Grain Buns",11787
bakery,"Healthy Multi Grain Bread",11759
bakery,"Rosemary Olive Oil Bread",11723
bakery,"Everything Inside Bagels",11704
bakery,"UDI'S GLUTEN FREE WHOLE GRAIN BREAD",11664
bakery,"Gluten Free Whole Grain Hamburger Buns 4 Count",11657
bakery,"Traditional Lavash Flatbread",11555
bakery,"Chunky Chocolate Chip Flax Muffins",11552
bakery,"Everything Bagel",11516
bakery,"Gluten Free Double Chocolate Muffins",11489
bakery,"Organic Corn Tortillas",11416
bakery,"Gluten Free Cinnamon Raisin Bagels",11317
bakery,"Whole Rye Bread",11309
bakery,"Original Sweet Dinner Rolls",11264
bakery,"Organic Cinnamon Raisin Bread",11257
bakery,"100% Whole Wheat English Muffin 6 Ct",11232
bakery,"Gluten Free Original English Muffins",11118
bakery,Cornbread,11107
bakery,"Deluxe Cinnamon Raisin Bagels",11098
bakery,"Original Nooks & Crannies Cinnamon Raisin English Muffins",11024
bakery,"Bread, Double Fiber",10927
bakery,"Petite Butter Croissant",10800
bakery,"Organic Multigrain English Muffins",10709
bakery,"Sliced Blueberry Bagels",10703
bakery,"Butter Bread",10596
bakery,"Old Fashioned Whole Wheat Bread",10585
bakery,"Cinnamon Raisin Bagels",10573
bakery,"Sliced Wheat Bread",10517
bakery,Croissants,10322
bakery,"Rustic Baguette",10322
bakery,"Angel Food Cake",10257
bakery,"Butter Top White Bread",10212
bakery,"Original Hawaiian Sweet Rolls",10184
bakery,"Flour Tortilla",10164
bakery,"100% Whole Wheat Slice English Muffins",10065
bakery,"100% Whole Wheat Hot Dog Buns",10059
bakery,"Savory Butter Rolls",10050
bakery,"White Italian Bread",10033
bakery,"Assorted Bagels",9987
bakery,"Carb Balance Small Fajita Whole Wheat Tortillas",9965
bakery,"Blueberry Scones",9950
bakery,"Deluxe Blueberry Bagels",9907
bakery,"Organic Wraps Traditional - 6 CT",9880
bakery,"Organic 7 Grain with Flax Bread",9868
bakery,"Sourdough Hearty Sliced Bread",9830
bakery,"Organic Spelt English Muffins",9789
bakery,"Brioche Slider Buns",9780
bakery,"Original Whole Grain English Muffins",9767
bakery,"Bolani Spinach Filled Flatbread",9753
bakery,"Soft & Smooth100% Whole Wheat Bread",9723
bakery,"Bread, Sprouted Grain & Seed Loaf, Genesis 1:29",9709
bakery,"Honey Whole Wheat Bread",9683
bakery,"Cinnamon Raisin Sandwich Bread",9633
bakery,"French Sandwich Rolls",9603
bakery,"Blueberry English Tea Scones",9495
bakery,"Telera Rolls",9414
bakery,"Cinnamon Raisin English Muffins",9377
bakery,"Almond Paleo Bread Non GMO Gluten Free",9242
bakery,"Rosemary & Olive Oil Flatbread",9216
bakery,"Blueberry Bagels",9213
bakery,"Vanilla Cupcakes",9102
bakery,"6"" Yellow Corn Tortillas",9014
bakery,"Sonoma Yellow Corn Organic Tortillas",8957
bakery,"Bread Rolls",8947
bakery,"100% Whole Grain Bread",8927
bakery,"Nine Grain Sourdough Dough",8926
bakery,"Sesame Topped Hamburger Buns",8923
bakery,"Breakfast Honey Oat Gluten Free Non GMO 5 Super Grains Bar Packs",8894
bakery,"Soft Taco Size Flour Tortillas 10 Count",8811
bakery,"Gluten Free French Baguettes",8795
bakery,"Onion Bagels",8759
bakery,"Bakery Classics Soft White Hamburger Buns",8753
bakery,"Raisin Cinnamon Swirl Bread",8692
bakery,"Blueberry Muffin",8595
bakery,"100% Whole Wheat Pre-Sliced Bagel Thins",8574
bakery,"Bread, Natural Fitness",8562
bakery,"Great White Bread",8529
bakery,"All Natural Whole Wheat Bread",8480
bakery,"Sprouted Wheat Onion & Poppyseed Bagels",8460
