Department,Product,amountBought
beverages,"Sparkling Water Grapefruit",493389
beverages,"Lime Sparkling Water",325199
beverages,"Sparkling Natural Mineral Water",273469
beverages,"Spring Water",265213
beverages,"100% Raw Coconut Water",243150
beverages,"Sparkling Lemon Water",235283
beverages,"Italian Sparkling Mineral Water",188017
beverages,"Original Orange Juice",186524
beverages,"Pure Sparkling Water",174683
beverages,"Peach Pear Flavored Sparkling Water",162270
beverages,Lemonade,152841
beverages,"Organic Raw Kombucha Gingerade",146838
beverages,"Pure Coconut Water",145843
beverages,"Original No Pulp 100% Florida Orange Juice",145653
beverages,Soda,139211
beverages,"Sparkling Water Berry",134405
beverages,"Electrolyte Enhanced Water",120482
beverages,"Trilogy Kombucha Drink",115850
beverages,"Orange Juice",115675
beverages,"Fridge Pack Cola",109780
beverages,"Orange Sparkling Water",105184
beverages,"Natural Spring Water",100835
beverages,"Ginger Ale",96545
beverages,"Organic Apple Juice",95830
beverages,"Distilled Water",93372
beverages,"Grapefruit Sparkling Water",91567
beverages,"Blackberry Cucumber Sparkling Water",89899
beverages,"Natural Premium Coconut Water",88090
beverages,"Orange Calcium & Vitamin D Pulp Free",82548
beverages,"Sparkling Mineral Water",81670
beverages,"Cran Raspberry Sparkling Water",80232
beverages,Water,78981
beverages,"Kiwi Sandia Sparkling Water",77882
beverages,Cola,72509
beverages,"Natural Artesian Water",71581
beverages,"Coke Classic",70322
beverages,"Organic Lemonade",69136
beverages,"Synergy Organic Kombucha Gingerberry",68903
beverages,"Curate Cherry Lime Sparkling Water",68311
beverages,"Root Beer",66636
beverages,"Lemon Sparkling Water",64774
beverages,"Pulp Free Orange Juice",64737
beverages,"Organic Orange Juice",64662
beverages,"Natural Artisan Water",64405
beverages,"Curate Melon Pomelo Sparking Water",63755
beverages,"Cold Brew Coffee",63672
beverages,"No Pulp Calcium & Vitamin D Pure Orange Juice",63303
beverages,"Apple Juice",62288
beverages,"Arancita Rossa",59812
beverages,"Organic Super Fruit Punch Juice Drink",58657
beverages,"Purified Water",58298
beverages,"Juice Beverage, Cold Pressed, Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon",58060
beverages,"Sparkling Clementine Juice",56453
beverages,"Organic & Raw Strawberry Serenity Kombucha",56270
beverages,"Alpine Spring Water",56110
beverages,"Canned Aranciata Orange",55326
beverages,"Sparkling Water",55117
beverages,"Florida Orange Juice With Calcium & Vitamin D",54206
beverages,"Club Soda",54075
beverages,"Organic Apple Juice Boxes",53967
beverages,"Passionfruit Sparkling Water",50755
beverages,"Organic Raw Multigreen Kobmbucha",49646
beverages,"Enlightened Organic Raw Kombucha",49431
beverages,Smartwater,48760
beverages,"Coconut Water",47959
beverages,"Goodness Grapeness Organic Juice Drink",47603
beverages,"Synergy Organic & Raw Cosmic Cranberry",46373
beverages,"100% Apple Juice",46221
beverages,"Major Dickason's Blend Ground Coffee Dark Roast",46108
beverages,"Raspberry Lemonade",45122
beverages,"Diet Ginger Ale All Natural Soda",44964
beverages,"Cola Soft Drink",44710
beverages,"New Orleans Iced Coffee",44384
beverages,"Premium Unsweetened Iced Tea",43862
beverages,"Berry Berry Good Lemonade Organic Juice Drink",43780
beverages,"All Natural Virgin Lemonade",42875
beverages,"Extra Ginger Brew Jamaican Style Ginger Beer",42822
beverages,"Freshly Squeezed Orange Juice",42674
beverages,"Zen Tea",42517
beverages,"Organic Orange Fruit Juice",42198
beverages,"Pink Lady Apple Kombucha",41939
beverages,"100% Pure Apple Juice",41722
beverages,"Sparkling Blackberry Juice",41341
beverages,"Lemon Lime Soda",41076
beverages,"Naked Green Machine Boosted Juice Smoothie",40613
beverages,"Organic Fresh Squeezed Orange Juice",40244
beverages,"All Natural Apricot Sparkling Water",40001
beverages,"Fruit Punch Sports Drink",39882
beverages,"French Roast Ground Coffee",39825
beverages,"Classic Soda",39564
beverages,"Appley Ever After Organic Juice Drink",39495
beverages,"Grapefruit Juice",39428
beverages,"Vitamin Water Zero Squeezed Lemonade",38899
beverages,"100% Natural Spring Water",38846
beverages,"100% Lemon Juice",37949
beverages,"Kombucha, Organic Raw, Citrus",37840
beverages,"Cold-Brew Black Coffee",37396
beverages,"Diet Coke",37370
beverages,"Orange Juice 100% Juice",37064
beverages,"Cranberry Juice Cocktail",36369
beverages,"100% Cranberry Juice",36116
beverages,"Ruby Red Grapefruit Juice",35549
beverages,"Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage",35337
beverages,"Tonic Water",35219
beverages,Tangerine,35160
beverages,"Sparkling Natural Spring Water",35106
beverages,"Coke Zero",34373
beverages,"Ginger Tea",33438
beverages,"Sparkling Pomegranate",32536
beverages,"Pure Lemon Juice",32327
beverages,"Ginger Ale Soda",32311
beverages,"Energy Drink",32158
beverages,"Ginger Root Beer, Naturally Flavored Zero Calorie Soda, Caffeine Free",31752
beverages,"Original Citrus Sparkling Flavored Soda",31315
beverages,"Slim Can Pink Grapefruit Natural Mineral Water",31136
beverages,"Pure Water",30774
beverages,"Country Stand Juice, Medium Pulp",30716
beverages,"smartwaterÂ® Electrolyte Enhanced Water",30384
beverages,"Vitamin Water Zero Rise Orange",30059
beverages,"Unsweetened Watermelon Water",29770
beverages,"House Blend Deep Roast Ground Coffee",29577
beverages,"Cran-Raspberry Flavored Sparkling Water",29347
beverages,"Earl Grey Tea",29280
beverages,"Cold-pressed, Deliciously Hydrating Watermelon Water",29134
beverages,"Unsweetened Premium Iced Tea",29008
beverages,"Cola Soda",28938
beverages,"Just Green Unsweetened Tea",28587
beverages,"Zero Calorie Cola",28130
beverages,"Sparkling Grapefruit",27991
beverages,"Coconut Sparkling Water",27978
beverages,"Mountain Spring Water",27930
beverages,"Essential Greens With Lime  Vegetable and Fruit Juice Blend",27511
beverages,"Lemon Ginger Sparkling Probiotic Drink",27288
beverages,"Moroccan Mint Green Tea",27283
beverages,"Calm Chamomile Herbal Tea",27173
beverages,"Blood Orange Italian Soda",27150
beverages,"Guava Goddess Organic Kambucha",26873
beverages,"Lime Italian Sparkling Mineral Water",26350
beverages,"Diet 12 Oz Ginger Ale",26261
beverages,"Calcium Pulp Free Orange Juice",26116
beverages,"Smartwater Electrolyte Enhanced Water",25972
beverages,"Organic Peach Oo La Long Tea",25440
beverages,"Coconut Flavored Sparkling Water",25214
beverages,"California Orange Juice",25182
beverages,"Lemon Ginger Tea Bags",25131
beverages,"100% Mighty Mango Juice Smoothie",25081
beverages,"Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D, 50% Less Sugar & Calories",25044
beverages,"Lemon Cayenne Agave Cold Pressed Juice Beverage",24989
beverages,"Green Machine Juice Smoothie",24766
beverages,"Unsweetened Blackberry Water",24527
beverages,"Organic Lemon Cayenne Sparkling Probiotic Drink",24504
beverages,"Natural Pure Sparkling Water",24435
beverages,"1 Liter",23798
beverages,"Passionberry Bliss Kombucha Drink",23757
beverages,"Organic Sensible Sipper Apple Juice",23744
beverages,"Sparkling Orange Juice & Prickly Pear Beverage",23663
beverages,"Original No Pulp Pure 100% Florida Orange Juice",23546
beverages,"VitaminWater Zeroâ„¢ XXX Acai Blueberry Pomegranate",23509
beverages,"Natural Artesian Bottled Water",23501
beverages,"Coconut Water, Pure Organic",23376
beverages,"Diet Dr.Pepper Soda Pack",23284
beverages,"Organic Orange Juice With Calcium & Vitamin D",23280
beverages,"Natural Lime Flavor Sparkling Mineral Water",23198
beverages,"Lemon Italian Sparkling Mineral Water",23002
beverages,"Zero Soda",22999
beverages,"Black Tea Pyramids",22962
beverages,"Moroccan Mint Herbal Tea",22789
beverages,"Organic Strawberry Lemonade",22715
beverages,"Oragnic Ginger Lemon Kombucha",22695
beverages,"Ruby Red Grapefruit",22435
beverages,"Imported Mineral Water",22358
beverages,"100% Pomegranate Juice",22098
beverages,"Organic Cranberry Pomegranate Juice",21737
beverages,"100% Pineapple Juice",21594
beverages,"Curate Pomme Baya-Apple Berry Sparkling Water",21582
beverages,"Sugar Free Energy Drink",21492
beverages,"Organic Coconut Water",21427
beverages,"Refresh Herbal Tea",21394
beverages,"Major Dickason's Blend Whole Bean Coffee",21352
beverages,"Super Antioxidant Green Tea",21329
beverages,"Wonderful 100% Pomegranate Juice",21061
beverages,"Holler Mountain Organic Coffee",20856
beverages,"Peach-Pear Sparkling Water",20673
beverages,"Black Coffee",20621
beverages,"Mango Tango Fruit Smoothie Blend",20564
beverages,"Lemon-Lime Fridge Pack Soda",20502
beverages,"Original Apple 100% Juice",20496
beverages,"XX Espresso Iced Coffee With Almond Milk",20491
beverages,"Orange Strawberry Banana Juice",20259
beverages,"Compostable Coffee Filters",20234
beverages,"Pure Organic Pineapple Juice",20205
beverages,"Mighty Mango Juice Smoothie",20202
beverages,"Mineral Water",20163
beverages,"Breakfast Blend Medium Roast Ground Coffee",20020
beverages,"Pineapple Apple Mint Organic Cold Pressed Juicd",19950
beverages,"Mango Sparkling Water",19898
beverages,"Sparkling Peach",19885
beverages,"Diet Pepsi Pack",19866
beverages,"Lemon Lime Thirst Quencher",19861
beverages,"Diet Root Beer",19824
beverages,Limeade,19735
beverages,"Organic French Roast Ground Coffee",19708
beverages,"Electrolyte Water",19652
beverages,"Natural Artesian Water, Mini & Mobile",19526
beverages,"Cold-Pressed Organic Orange",19420
beverages,"100% Lime Juice",19393
beverages,"Organic Peppermint Herbal Tea",19280
beverages,"Lemon-Lime 12 Pack Soda",19272
beverages,"Sweet Greens and Lemon Vegetable and Fruit Juice Blend",19179
beverages,"DRINKING WATER",19071
beverages,"Diet Soda",19042
beverages,"Real Coconut Water",19024
beverages,"Tesora Medium Roast",19007
beverages,"California Lemonade",18997
beverages,"Mango Flavor Probiotic Juice Drink",18953
beverages,"Pineapple Strawberry Sparkling Water",18728
beverages,"Blue Machine Boosted 100% Juice Smoothie",18559
beverages,"Blue Machine 100% Juice Smoothie",18167
beverages,"Instant Coffee",18148
beverages,"Good Belly Probiotics Juice Drink Blueberry Acai Flavor",18069
beverages,"Lime Slim Can",18018
beverages,"Breakfast Blend Medium Keurig Brewed K-Cups Ground Coffee",17977
beverages,"Sparkling Apple Juice",17965
beverages,"Organic Green Tea Bags",17907
beverages,"Raspberry Essence Water",17897
beverages,"Organic Chai Tea Bags",17753
beverages,"Orange & Lemon Flavor Variety Pack Sparkling Fruit Beverage",17739
beverages,"Defense Up Cold Pressed Fruit Smoothie",17725
beverages,"Diet Coke Caffeine Free Soda",17718
beverages,"Unsweetened Iced Coffee",17625
beverages,"Classic Green Tea",17579
beverages,Regular,17518
beverages,"Zero Calorie Cola Soda",17424
beverages,"Organic Chamomile with Lavender Herbal Tea Bags",17303
beverages,"Italian Sparkling Pomegranate And Orange Soda",17284
beverages,"Hair Bender Whole Bean Coffee",17252
beverages,"Diet Ginger Ale",17147
beverages,"Green Tea Green Ginger Tea Bags",16846
beverages,"Original Superfood Fruit Smoothie Blend",16598
beverages,"Sparkling Probiotic Drink Mojita Lime Mint Coconut",16500
beverages,"Ginger Beer",16484
beverages,"Pomegranate Blackberry Probiotics Juice Drink",16444
beverages,"Revive Zero Vitamin Water",16385
beverages,"Strawberry Banana Juice",16367
beverages,"Zero Go-Go Mixed Berry Vitamin Water",16302
beverages,"Organic Pear Juice",16060
beverages,"Pink Virgin Lemonade",15930
beverages,"Lime Ginger Lemon Agave",15806
beverages,"Zero Vitamin Water",15741
beverages,"Unsweetened Coconut Water",15708
beverages,"English Breakfast Black Tea Bags",15639
beverages,"Original Kombucha",15600
beverages,"Organic Pure Lime Juice",15408
beverages,"Zero Calorie Cream Soda",15320
beverages,"Premium Indian Tonic Water",15318
beverages,"Tangerine Juice",15259
beverages,"Organic 100% Grapefruit  Juice",15173
beverages,"Pineapple Coconut Water",15168
beverages,"Medium Roast Original Blend Ground Coffee",15124
beverages,Diet,14957
beverages,"Orange Soda",14952
beverages,"Chocolate Protein Soy & Dairy Protein Shake",14937
beverages,"Hibiscus Organic Raw Kombucha",14866
beverages,"Direct Trade House Blend Medium Roast Ground Coffee",14815
beverages,"Unsweet Peach Water",14781
beverages,"Unsweetened Strawberry Kiwi Water",14736
beverages,"Cocoa Powder",14694
beverages,"Sparkling Mineral Water, Natural Lemon Flavor",14610
beverages,"Diet Cola",14552
beverages,"Vanilla Protein Protein Shake",14439
beverages,"Pure Life Purified Water",14401
beverages,"Bedtime Tea",14342
beverages,"Cold-Pressed Organic Grapefruit",14335
beverages,"Organic Lori's Lemon Tea",14297
beverages,"Lemon Sparkling Mineral Water",14270
