Department,Product,amountBought
breakfast,"Honey Nut Cheerios",274522
breakfast,"Organic Old Fashioned Rolled Oats",192334
breakfast,"Raisin Bran Cereal",149732
breakfast,"Organic Quick Oats",93853
breakfast,Cereal,91090
breakfast,"Organic Cinnamon Crunch Cereal",88961
breakfast,"Cheerios Cereal",80633
breakfast,"Ancient Grain Original Granola",62341
breakfast,"Peanut Butter Cereal",61110
breakfast,"Vanilla Blueberry Clusters With Flax Seeds Granola",60668
breakfast,"Organic Honey Nut O's Cereal",58173
breakfast,"Original Puffins Cereal",57303
breakfast,"Original Multigrain Spoonfuls Cereal",56742
breakfast,"Original Instant Oatmeal",55329
breakfast,"Whole Grain Oat Cereal",55208
breakfast,"Apple Cinnamon Instant Oatmeal",54352
breakfast,"Frosted Mini-Wheats Original Cereal",53715
breakfast,"Instant Oatmeal Variety Pack",51339
breakfast,"Gluten Free Old Fashioned Rolled Oats",51103
breakfast,"Panda Puffs Peanut Butter Cereal",51029
breakfast,"Flax Plus Organic Pumpkin Flax Granola",50004
breakfast,"GOLEAN Crunch! Cereal",48978
breakfast,"Original Cereal",48758
breakfast,"Steel Cut Oats",48036
breakfast,"Heart to Heart Honey Toasted Oat Cereal",46614
breakfast,"Organic Cinnamon Harvest Cereal",46518
breakfast,"Healthy Grains Fiber Cinnamon Oat Clusters",45870
breakfast,"Old Fashioned Rolled Oats",45802
breakfast,"Peanut Butter Whole Grain Clusters",42762
breakfast,"Quaker Life Cinnamon Cereal",42654
breakfast,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free",41751
breakfast,"Organic Multi Grain Squares Cereal",41257
breakfast,"Go Lean Crunch! Honey Almond Flax Cereal",39173
breakfast,"Go Lean Cereal",38991
breakfast,"Cherrios Honey Nut",38613
breakfast,"Family Size Naturally Flavored Whole Grain Oats Cereal",37490
breakfast,"Oatmeal Squares Brown Sugar",35422
breakfast,"Oats & Honey Granola",35166
breakfast,"Organic Graham Crunch Cereal",33837
breakfast,"Organic Raisin Bran Cereal",33781
breakfast,"Organic Promise Strawberry Fields Cereal",33060
breakfast,"Gluten Free Crunchy Vanilla Cereal",33047
breakfast,"Maple Quinoa Cluster With Chia Seeds",32921
breakfast,"Organic Promise Autumn Wheat Cereal",32713
breakfast,"Ancient Grain Blueberry Hemp Granola",32380
breakfast,"Honey Bunches of Oats Honey Roasted Cereal",32235
breakfast,"EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal",31808
breakfast,"Honey Bunches of Oats Honey Roasted with Almonds Cereal",31712
breakfast,"Cinnamon Cereal",31091
breakfast,"Organic Love Crunch Granola Dark Chocolate & Red Berries",30532
breakfast,"Organic Frosted Flakes Cereal",29751
breakfast,"Gluten Free Original Granola",29714
breakfast,"Purely O's Organic Cereal",29282
breakfast,"Raisin Bran Crunch Cereal",28943
breakfast,"Heart to Heart Organic Oat Flakes & Blueberry Clusters Cereal",28901
breakfast,"Morning Oat Crunch",27661
breakfast,"Instant Oatmeal Maple & Brown Sugar",27438
breakfast,"Vanilla Almond Fit Granola",27118
breakfast,"Original Life Cereal",27025
breakfast,"Rice Krispies Cereal",26982
breakfast,"Fruit & Nutty Almonds Raisins Cranberries Pecans Granola",26253
breakfast,"Special K Red Berries Cereal",25222
breakfast,"Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars",24003
breakfast,"GOLEAN Crisp! Toasted Berry Crumble Cereal",23795
breakfast,"Frosted berry Strawberry Toaster Pastries",23682
breakfast,"Quick 1 Minute Oatmeal",23636
breakfast,"Quick Cooking Rolled Oats Irish Oatmeal",23422
breakfast,"Gluten Free Vanilla Granola",23202
breakfast,"Organic Flax Plus Multibran Flakes",22776
breakfast,"Steel Cut Irish Oatmeal",22646
breakfast,"Veganic Sprouted Brown Rice Cacao Crisps",22556
breakfast,"Crispix Rice & Corn Cereal",22328
breakfast,"with Crispy Almonds Cereal",22327
breakfast,"Organic Hemp Plus Granola Cereal",22269
breakfast,"Cinnamon Toast Crunch",21988
breakfast,"Natural Buttermilk Pancake & Waffle Mix",21978
breakfast,"Lucky Charms Cereal",21741
breakfast,"Whole Wheat Blueberry Fig Bars",21703
breakfast,"Organic Brown Rice Crisps Cereal",21631
breakfast,"Gluten Free Honey Almond Granola",21452
breakfast,"Oats & Chocolate Chewy Bars",21393
breakfast,"Sweet & Salty Nut Peanut Granola Bars",20809
breakfast,"Pumpkin Fig Ancient Grain Granola",20576
breakfast,"Gluten Free Quick Cooking Oats",20422
breakfast,"Cinnamon Brown Sugar Breakfast Biscuits",20380
breakfast,"Buttermilk Complete Pancake & Waffle Mix",20336
breakfast,"Frosted Flakes",19897
breakfast,"Brown Sugar Maple Oatmeal with Ancient Grains",19754
breakfast,"Gluten Free Rice Chex",19654
breakfast,"Rise Krisipies Toasted Rice Cereal",19464
breakfast,"Organic Heritage Flakes Cereal",19100
breakfast,"Ancient Grain Granola Cranberry Pecan",18976
breakfast,"Lower Sugar Instant Oatmeal  Variety",18912
breakfast,"Organic Bran Flakes Cereal",18789
breakfast,"Raspberry Cereal",18573
breakfast,"Organic Original Hot Oatmeal",18483
breakfast,"Old Country Style Muesli Cereal",18372
breakfast,"Soft-Baked Ripe Strawberry Cereal Bars",18338
breakfast,"Organic Fruitful Os Cereal",18278
breakfast,"Frosted Flakes Cereal",18201
breakfast,"Grape-Nuts Cereal",18091
breakfast,"Flavor Variety Instant Oatmeal",17750
breakfast,"Nutri Grain Bars Multi Pack",17708
breakfast,"Organic Coconut Chia Granola",17136
breakfast,"Cinnamon & Spice Instant Oatmeal",17124
breakfast,"Envirokidz Chocolate Koala Crisp",17007
breakfast,"Organic Mesa Sunrise Cereal",16931
breakfast,"Organic Frosted Maple Brown Sugar Toaster Pastries",16763
breakfast,"Vanilla Almond",16756
breakfast,"Organic Frosted Wildberry Acai Toaster Pastries",16606
breakfast,"Traditional Size Corn Tortillas, 6"",128,3
31379,Bread N' Butter Pickles,110,13
31380,Omeprazole Acid Reducer Tablets,70,11
31381,Sugar Cubes Dots,17,13
31382,Mandarin Orange Sparkling  Water,115,7
31383,"Cereal, Superfood, Hemp & Greens",16479
breakfast,"Organic Whole O's Gluten Free Cereal",16463
