Department,Product,amountBought
bulk,"Dried Mango",72627
bulk,"Organic Rolled Oats",55799
bulk,"Organic Black Mission Figs",27976
bulk,Apricots,25818
bulk,"Pesto Sauce",13160
bulk,"Organic Royal Rainbow Quinoa",12374
bulk,"Rolled Oats",12201
bulk,"Organic Quick Rolled Oats",10919
bulk,"Organic Short Brown Sprouted Rice",8602
bulk,"Israeli Couscous",7574
bulk,"Organic Turkish Apricots",7536
bulk,"Vegetable Chips",5889
bulk,"Organic Red Kidney Beans",5360
bulk,"Whole Medjool Dates",5119
bulk,"Organic Mung Beans",4410
bulk,"Organic Split Green Peas",3678
bulk,"Organic Pearled Barley",3675
bulk,"Organic Hemp Plus Granola",2793
bulk,"Large Ataulfo Mango",1921
bulk,"Super Nutty Granola",1800
bulk,"Organic Brown Jasmine Rice",1758
bulk,"Organic Brown Basmati Rice",1734
bulk,"Organic Blueberries Package",1273
bulk,"Turkish Apricots",1244
bulk,"Organic Hunza Golden Raisins",1093
bulk,"Organic Magic Muesli",916
bulk,"Organic Honey Lavender Granola",876
bulk,"Fit Super A Juice, Cold Pressed, Carrot/Apple/Ginger",823
bulk,"Organic Raspberry Muesli",760
bulk,"Wild Rice Blend",654
bulk,"Organic White Popcorn",370
bulk,"Organic Roasted Buckwheat (Kasha)",339
bulk,"Naturally Sweet Plantain Chips",336
bulk,"Cranberry Beans",315
bulk,"Organic Wheat Bran",295
bulk,"Crystallized Ginger Chunks",290
bulk,"Madagascar Pink Rice",201
bulk,"Organic Emmer Farro",156
