Department,Product,amountBought
"canned goods","Organic Black Beans",397313
"canned goods","Organic Garbanzo Beans",308901
"canned goods","No Salt Added Black Beans",281019
"canned goods","Organic Diced Tomatoes",222324
"canned goods","Organic Tomato Paste",182954
"canned goods","Organic Low Sodium Chicken Broth",171212
"canned goods","Organic AppleApple",161746
"canned goods","Diced Tomatoes",147104
"canned goods","Black Beans",142366
"canned goods","Organic Whole Kernel Sweet Corn No Salt Added",140586
"canned goods","Organic Tomato Sauce",140418
"canned goods","Tomato Sauce",135031
"canned goods","Organic Free Range Chicken Broth",133892
"canned goods","Organic Vegetable Broth",128314
"canned goods","Organic Pinto Beans",122949
"canned goods","Crushed Tomatoes",118888
"canned goods","Organic Chicken Broth",114913
"canned goods","Organic Low Sodium Vegetable Broth",114252
"canned goods","Organic No Salt Added Diced Tomatoes",110397
"canned goods","Organic Cannellini Beans",87399
"canned goods","Organic Chicken Stock",86349
"canned goods","Organic Chicken Bone Broth",79904
"canned goods","Organic Creamy Tomato Soup",78727
"canned goods","Organic Free Range Low Sodium Chicken Broth",78269
"canned goods","Organic Beef Broth",76829
"canned goods","Organic Crushed Fire Roasted Tomatoes",73396
"canned goods","Mild Diced Green Chiles",71057
"canned goods","Apple Sauce",66899
"canned goods","Organic Chicken Noodle Soup",64648
"canned goods","Fresh Cut Golden Sweet Whole Kernel Corn",64393
"canned goods","Organic Low Sodium Chicken Cooking Stock",64198
"canned goods","Black Beans No Salt Added",63807
"canned goods","Tomatoes, Whole Peeled",59292
"canned goods","Gogo Squeez Organic Apple Strawberry Applesauce on the Go",58909
"canned goods","Cannellini White Kidney Beans No Salt Added",57818
"canned goods","Organic Whole Peeled Tomatoes",57127
"canned goods","Traditional Refried Beans",55892
"canned goods","Organic Refried Black Beans",55613
"canned goods","Crushed Tomatoes with Basil",55523
"canned goods","Chicken Broth",50709
"canned goods","Organic Garbanzo Beans No Salt Added",49732
"canned goods","Baked Beans",48846
"canned goods","Minced Garlic",48196
"canned goods","Organic Cinnamon Apple Sauce",46608
"canned goods","Pinto Beans No Salt Added",46226
"canned goods","Natural Goodness 33% Less Sodium Chicken Broth",45591
"canned goods","Chopped Tomatoes",43621
"canned goods","Organic Premium Tomato Paste",43152
"canned goods","Organic Chopped Garlic",43025
"canned goods","Organic Lentil Soup",42840
"canned goods","Organic Tomato Paste, No Salt Added",41390
"canned goods","Solid White Albacore Tuna In Water",40028
"canned goods","Organic Lentil Vegetable Soup",39921
"canned goods","Organic Great Northern Beans",39350
"canned goods","Wild Albacore Tuna No Salt Added",39262
"canned goods","Dark Red Kidney Beans No Salt Added",38198
"canned goods","Garbanzo Beans",37317
"canned goods","Organic Simply Stock Unsalted Chicken Stock",37194
"canned goods","Low Sodium Beef Broth",36216
"canned goods","Whole Hearts of Palm",35515
"canned goods","Organic Lentil Beans",34653
"canned goods","Chicken Base, Organic",33642
"canned goods","Natural Tomato Paste",32820
"canned goods","100% Natural Tomato Sauce",31422
"canned goods","Vegetarian Organic Golden Corn",31262
"canned goods","Organic Roasted Red Pepper & Tomato Soup",31116
"canned goods","Chick Peas",31087
"canned goods","Traditional Chicken Noodle Soup",29503
"canned goods","Vegetarian Refried Beans",29365
"canned goods","Organic Light in Sodium Lentil Vegetable Soup",28946
"canned goods","Apple Apple Applesauce On The Go Pouches",28795
"canned goods","Organic Cream of Mushroom Condensed Soup",28789
"canned goods","Organic Low Fat Vegetable Barley Soup",28446
"canned goods","Cannellini Beans",28295
"canned goods","Organic Crushed Tomatoes with Basil",28261
"canned goods","Organic Unsalted Diced Tomatoes",27802
"canned goods","Dark Red Kidney Beans",27483
"canned goods","Natural Apple Sauce Cups",27468
"canned goods","Pinto Beans",26966
"canned goods","Low Sodium Refried Black Beans",26696
"canned goods","Low Fat Split Pea Soup",26147
"canned goods","Whole Peeled Tomatoes",25789
"canned goods","Condensed Cream of Mushroom Soup",25275
"canned goods","Organic Chunky Tomato Bisque Soup",25204
"canned goods","100% Natural Diced Tomatoes",25149
"canned goods","Organic Creamy Butternut Squash Soup",24944
"canned goods","Sliced Beets No Salt Added",24615
"canned goods","Organic AppleBerry Applesauce on the Go",24514
"canned goods","Kidney Beans",24445
"canned goods","Organic Chicken & Wild Rice Soup",24232
"canned goods","Organic Apple Sauce",24018
"canned goods","Minced Ginger",24008
"canned goods","Original Diced Tomatoes & Green Chilies",23975
"canned goods","Low Fat No Chicken Noodle Soup",23841
"canned goods","Organic Diced Fire Roasted Tomatoes",23837
"canned goods","Strained Tomatoes",23173
"canned goods","Black Beans Refried Beans",22725
"canned goods","Black Beans Reduced Sodium",22715
"canned goods","Organic All Stars Pasta In Tomato & Cheese Sauce",22568
"canned goods","All Purpose Crushed Tomatoes",22462
"canned goods","Tomatoes Sauce",22239
"canned goods","Simply Stock Organic Vegetable Unsalted Stock",22088
"canned goods","Low Sodium Black Beans",21937
"canned goods","Original Applesauce",21827
"canned goods","Organic Strained Tomatoes",21564
"canned goods","Vegetable Broth Low Sodium",21140
"canned goods","Organic Chunky Vegetable Soup",21125
"canned goods","Recipe Secrets Onion Soup & Dip Mix",20684
"canned goods","Rich & Hearty Chicken & Homestyle Noodles Soup",20600
"canned goods","Organic Diced Tomatoes Fire Roasted with Medium Green Chilies",20077
"canned goods","Condensed Cream of Chicken Soup",19829
"canned goods","Organic Fat Free Refried Pinto Beans",19820
"canned goods","Organic Cashew Carrot Ginger Soup",19632
"canned goods","Organic Medium Chili",19347
"canned goods","Original Baked Beans",18756
"canned goods","Organic Low Sodium Chunky Tomato Bisque Soup",18742
"canned goods","Double Concentrated Tomato Paste in Tube",18736
"canned goods","Solid White Albacore Tuna in Spring Water",18476
"canned goods","Organic Diced Fire Roasted No Salt Added Tomatoes",18340
"canned goods","Organic Bernie O's",18135
"canned goods","Organic Tomato Basil Soup",18135
"canned goods","Wild Sardines in Extra Virgin Olive Oil",17765
"canned goods","Pineapple Slices in 100% Pineapple Juice",17749
"canned goods","Organic Beef Bone Broth",17679
"canned goods","Organic Vegetarian Mild Refried Beans With Green Chiles",17579
"canned goods","Thai Coconut Soup",17449
"canned goods","Chicken Stock",16987
"canned goods","Fresh Cut Green Beans",16942
"canned goods","Wild Skipjack Light Tuna",16836
"canned goods","Organic Baby Corn Pieces",16819
"canned goods","Ramen, Vegan, Miso",16646
"canned goods","99% Fat Free Chicken Broth",16508
"canned goods","Traditional 98% Fat Free",16507
"canned goods","Organic Tomato Puree",16449
"canned goods","Organic Fire Roasted Diced Tomatoes",16386
"canned goods","Organic Low Fat Black Bean Vegetable Soup",16333
"canned goods","Organic Free Range Chicken with White & Wild Rice Soup",16179
"canned goods","Organic Cream Of Chicken Condensed Soup",16085
"canned goods","Organic Tomato Sauce No Salt Added",16080
"canned goods","Mandarin Orange in 100% Fruit Juice",15897
"canned goods","Tomato Condensed Soup",15730
"canned goods","Organic Cheesy Ravioli",15585
"canned goods","Chunk Light Tuna",15420
"canned goods","Whole Kernel Sweet Corn",15346
"canned goods","Organic Diced Tomatoes with Italian Herbs",15317
"canned goods","Organic Stewed Tomatoes",15279
"canned goods","Beef Broth",15053
"canned goods","Organic Soups Lentil",14982
"canned goods","Vegan Ramen Chicken Flavor",14858
"canned goods","Tomatoes, Crushed, Organic",14821
"canned goods","Wild Alaskan Pink Salmon",14817
"canned goods","Cinnamon Applesauce",14634
"canned goods","Hearty Minestrone with Vegetables Soup",14578
