Department,Product,amountBought
deli,"Original Hummus",624984
deli,"Uncured Genoa Salami",381570
deli,"Organic Extra Firm Tofu",266445
deli,"Organic Roasted Turkey Breast",256587
deli,"Oven Roasted Turkey Breast",177616
deli,"Roasted Red Pepper Hummus",164346
deli,"Roasted Turkey Breast",164032
deli,Guacamole,149001
deli,"Lemon Hummus",139359
deli,"Organic Original Hommus",131175
deli,"Uncured Slow Cooked Ham",128606
deli,"Classic Hummus",123868
deli,"Organic Uncured Sliced Black Forest Ham",118416
deli,"Organic Roasted Sliced Chicken Breast",112912
deli,"Green Tea With Ginseng and Honey",107203
deli,"Firm Tofu",92007
deli,"Smoked Turkey Breast Slices",91412
deli,"Traditional Hummus",80030
deli,"Roasted Turkey",78957
deli,"Uncured Pepperoni",78125
deli,"Garlic Hummus",77919
deli,"Uncured Black Forest Ham",75696
deli,"Roasted Pine Nut Hummus",75062
deli,"Organic Smoked Turkey Breast",68114
deli,"Jalapeno Hummus",63304
deli,"Hummus, Hope, Original Recipe",60726
deli,"Medium Salsa Roja",59354
deli,"Organic Genoa Salami",59219
deli,"Roasted Garlic Hummus",58129
deli,"Original Rotisserie Chicken",55297
deli,Prosciutto,52465
deli,"Classic Hummus Family Size",52286
deli,"Honey & Maple Turkey Breast",51561
deli,"Mild Salsa Roja",49061
deli,"Tuna Salad",47326
deli,"Sliced Prosciutto",46164
deli,Tzatziki,45727
deli,"Grilled Chicken Breast",45660
deli,"Avocado Roll",44774
deli,"Hommus Classic Original",41679
deli,"Classic Chicken Salad",41602
deli,"Prosciutto, Americano",40418
deli,"Deli Fresh Shaved Smoked Turkey Breast",40212
deli,"Italian Dry Salame",39110
deli,"Organic SprouTofu Extra Firm Tofu",37955
deli,"Chicken Noodle Soup",37084
deli,"Thick & Chunky Salsa",36149
deli,"Organic SprouTofu Super Firm Tofu",36069
deli,"Rosemary Ham",35757
deli,"Organic SprouTofu Teriyaki Tofu Cutlets",35662
deli,"Cut Hearts Of Palm",35520
deli,"Real Guacamole",35458
deli,"Organic SprouTofu Savory Baked Tofu",35433
deli,"Spicy Avocado Hummus",34844
deli,"Deli Fresh Honey Ham, 97% Fat Free, Gluten Free",34647
deli,"Salsa, Roja, Hot",34397
deli,"Garlic Lovers Hommus",34089
deli,"Organic Roast Beef",33927
deli,"Applewood Smoked Turkey Breast",33877
deli,"Deli Fresh Smoked Turkey Breast",33648
