Department,Product,amountBought
"dry goods pasta","Marinara Sauce",200225
"dry goods pasta","Organic Tomato Basil Pasta Sauce",184054
"dry goods pasta","Basil Pesto",167283
"dry goods pasta",Spaghetti,164777
"dry goods pasta","Tomato Paste",119629
"dry goods pasta","Marinara Pasta Sauce",116562
"dry goods pasta","Organic Macaroni Shells & Real Aged Cheddar",116022
"dry goods pasta","Penne Rigate",98484
"dry goods pasta","Organic Long Grain White Rice",92041
"dry goods pasta","Spaghetti  No 12",90380
"dry goods pasta","Original Rice Pilaf Mix",89292
"dry goods pasta","Bunny Pasta with Yummy Cheese Macaroni & Cheese",87802
"dry goods pasta","Organic Short Grain Brown Rice",87425
"dry goods pasta","Organic Red Lentils",86333
"dry goods pasta","Macaroni Shells & White Cheddar Cheese",86096
"dry goods pasta","All Natural Marinara Sauce",85964
"dry goods pasta","Spaghetti Pasta",85207
"dry goods pasta","Organic Penne Rigate",83825
"dry goods pasta","Organic Green Lentils",82819
"dry goods pasta","Shells & Real Aged Cheddar Macaroni & Cheese",81143
"dry goods pasta","Penne Pasta",81001
"dry goods pasta","Organic Whole Wheat Fusilli",76739
"dry goods pasta","Penne Rigate #41 Pasta",76234
"dry goods pasta","Organic Marinara Pasta Sauce",73836
"dry goods pasta","Fusilli No. 34",72347
"dry goods pasta","Organic Spaghetti Pasta",72215
"dry goods pasta","Angel Hair Pasta",71084
"dry goods pasta","Organic Shells And White Cheddar",68031
"dry goods pasta","Garlic Couscous",65760
"dry goods pasta","Four Cheese Pasta Sauce",63967
"dry goods pasta","Macaroni & Cheese Dinner Original Flavor",60476
"dry goods pasta","Organic Whole Wheat Penne Rigate",59699
"dry goods pasta","Organic Orzo",58065
"dry goods pasta","Organic Tomato Basil Sauce",56808
"dry goods pasta","Pizza Sauce",52576
"dry goods pasta","Traditional Favorites Tomato & Basil Pasta Sauce",50709
"dry goods pasta","Rotini Pasta",50548
"dry goods pasta","Spanish Rice Pilaf Mix",50117
"dry goods pasta","Creamy Deluxe Shells & Real Aged Cheddar Sauce",50012
"dry goods pasta","Organic Long Grain Brown Rice",46581
"dry goods pasta","Rigatoni Pasta",45823
"dry goods pasta","Farfalle Pasta",44332
"dry goods pasta","Organic White Basmati Rice",44324
"dry goods pasta","Organic Quinoa & Brown Rice With Garlic",43821
"dry goods pasta","Wide Egg Noodles",43349
"dry goods pasta","Organic Italian Herb Pasta Sauce",42292
"dry goods pasta","Homemade Hot Arrabbiata Fra Diavolo Sauce",41068
"dry goods pasta","Rosemary & Olive Oil Quinoa Blend",41050
"dry goods pasta","Parmesan Couscous Mix",40401
"dry goods pasta","Farfalle No. 93",37916
"dry goods pasta","Classic Mild Cheddar Macaroni & Cheese",37797
"dry goods pasta","Tomato Basil Marinara Sauce",37570
"dry goods pasta","Elbow Macaroni Pasta",36941
"dry goods pasta","Real Aged Cheddar Macaroni & Cheese",36174
"dry goods pasta","Organic Whole Wheat Elbows",36095
"dry goods pasta","Gluten Free Cheddar Macaroni & Cheese Rice Pasta",35693
"dry goods pasta","Thin Spaghetti Pasta",34877
"dry goods pasta","Organic California White Basmati Rice",34635
"dry goods pasta","Red Kidney Beans",33865
"dry goods pasta","Chicken Flavor Ramen Noodle Soup",33563
"dry goods pasta","Macaroni Elbows",32920
"dry goods pasta","Whole Wheat Shells & White Cheddar Macaroni and Cheese",31515
"dry goods pasta","Organic Capellini",31143
"dry goods pasta","Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Tortellini",31038
"dry goods pasta","Thin Spaghetti No 11",30963
"dry goods pasta","Ravioli, Spinach & Cheese",30959
"dry goods pasta","Organic Black Lentils",30632
"dry goods pasta","Creamy Deluxe Macaroni Dinner Elbows & Four Cheese Sauce",29939
"dry goods pasta","No Boil Lasagna",29389
"dry goods pasta","Linguine Pasta",29138
"dry goods pasta","Extra Wide Egg Noodles",29005
"dry goods pasta","Roasted Garlic Pasta Sauce",28731
"dry goods pasta","Gluten Free Quinoa Pasta Shells",28515
"dry goods pasta","Organic Traditional Gluten Freen Quinoa",28117
"dry goods pasta","Traditional Italian Sauce",27943
"dry goods pasta","Gluten-Free Supergrain Pasta Organic Corn & Quinoa Blend Penne",27895
"dry goods pasta","Organic Bernie's Farm Macaroni & Cheese",26508
"dry goods pasta","Organic Red Heirloom Pasta Sauce",26395
"dry goods pasta","Macaroni And Cheese",26266
"dry goods pasta","Extra Long Grain Enriched Rice",25824
"dry goods pasta","Arborio White Rice",25736
"dry goods pasta","Organic Gluten Free Fusilli",25069
"dry goods pasta","Organic Fettuccine",25058
"dry goods pasta","Jasmine Rice",24717
"dry goods pasta","Organic Brown Rice Pasta Spirals",22953
"dry goods pasta","Organic Gluten Free Quinoa Spaghetti",22767
"dry goods pasta","Organic Whole Wheat Fusilli Pasta",22650
"dry goods pasta","Polenta, Organic, Traditional Italian",22391
"dry goods pasta","Cavatappi No. 87 Macaroni",22305
"dry goods pasta","Tomato and Basil Bombolina Pasta Sauce",22198
"dry goods pasta","Traditional Basil Pesto Sauce",22196
"dry goods pasta","Tomato Basil Cooking Sauce",21511
"dry goods pasta","Toasted Pine Nut Couscous Mix",21351
"dry goods pasta","Tomato Basil Sauce",21279
"dry goods pasta","Pearled Couscous Original Plain",20656
"dry goods pasta","Homemade Vodka Sauce",20414
"dry goods pasta","Classic Macaroni & Mild Cheddar Cheese",20350
"dry goods pasta","Alfredo Pasta Sauce",20344
"dry goods pasta","Velveeta Shells & Cheese Pasta",20322
"dry goods pasta","Orecchiette Dry Pasta",20271
"dry goods pasta","Gluten-Free Supergrain Pasta Elbows",20062
"dry goods pasta","Organic Spaghetti",20028
"dry goods pasta","Cheese Ravioli",19830
"dry goods pasta","Orzo Pasta",19828
"dry goods pasta","Wild Blend Rice",19775
"dry goods pasta","Original Flavor Macaroni & Cheese Dinner",19687
"dry goods pasta","Family Size Shells & White Cheddar Macaroni & Cheese",19458
"dry goods pasta","Organic Grass-Fed Classic Mild Cheddar Macaroni & Cheese",19409
"dry goods pasta","Whole Grain Brown Ready Rice",19104
"dry goods pasta","Organic California Brown Basmati Rice",19092
"dry goods pasta","Microwavable Mac & Cheese",19058
"dry goods pasta","Organic Brown Rice Spaghetti",19028
"dry goods pasta","Pasta Joy Ready Organic Brown Rice Pasta Penne",18808
"dry goods pasta","Organic California Sushi Rice",18700
"dry goods pasta","Whole Grain Brown Rice",17957
"dry goods pasta","Gluten Free Quinoa Rotelle Pasta",17717
"dry goods pasta","Vodka Pasta Sauce",17668
"dry goods pasta","Traditional Egg Pasta Pappardelle",17259
"dry goods pasta","Organic Gluten Free Spaghetti",17038
"dry goods pasta","Organic Grass-Fed Real Aged Cheddar & Macaroni Shells",16913
"dry goods pasta","Green Split Peas",16766
"dry goods pasta","Made with Extra Virgin Olive Oil Pesto sauce with Basil",15961
"dry goods pasta","Rishikesh Whole Grain Brown Basmati Organic Rice",15763
"dry goods pasta","Gluten Free Fusilli Brown Rice Pasta",15722
"dry goods pasta","California White Jasmine Rice",15670
"dry goods pasta","Gluten Free Inca Red",15665
"dry goods pasta","Brown Rice Pasta Spirals",15600
"dry goods pasta","Pesto Alla Genovese Basil",15579
"dry goods pasta","EF California White Basmati Eco-Farmed 2 lb Rice",15528
"dry goods pasta","Thin Stackers Organic Red Rice & Quinoa Puffed Grain Cakes",15254
"dry goods pasta","Wild Chanterelle Mushroom Ravioli",14951
"dry goods pasta","Sockarooni Spaghetti Sauce",14929
"dry goods pasta","Organic Tagliatelle Traditional Egg Pasta",14718
"dry goods pasta","Potato Gnocchi",14546
"dry goods pasta","Roasted Garlic & Olive Oil Pearled Couscous",14350
"dry goods pasta","Long Grain White Rice",14255
"dry goods pasta","Organic Whole Grain Spanish Rice",14229
"dry goods pasta","Traditional Favorites Four Cheese Pasta Sauce",14160
"dry goods pasta","Signature Recipes Creamy Alfredo Pasta Sauce",13827
"dry goods pasta","La Vodka Cooking Sauce",13638
"dry goods pasta","Tri-Color Rotini Pasta",13629
"dry goods pasta","Oven Ready Lasagna",13547
"dry goods pasta","Homemade Pizza Sauce",13513
"dry goods pasta","Creamy Parmesan Risotto",13406
"dry goods pasta","Fettuccine Pasta",13286
"dry goods pasta","Linguine No 7 Pasta",13253
"dry goods pasta","Organic Peace Pasta & Parmesan Macaroni & Cheese",13251
"dry goods pasta","Cup Noodles Chicken Flavor",13151
"dry goods pasta","Organic Tri-Color Blend Quinoa",13113
"dry goods pasta","Rice Express Fresh Steamed Sticky White Rice",13014
"dry goods pasta","Calrose Rice",13004
"dry goods pasta","Four Cheese Ravioli",12885
"dry goods pasta","Organic Farro",12758
"dry goods pasta",Lentils,12746
"dry goods pasta","EF Whtie Arborio White Rice",12721
"dry goods pasta","Organic Basmati Rice",12664
"dry goods pasta","Cheddar Cheezy Mac",12607
"dry goods pasta","Fettuccine  No. 6 Pasta",12498
"dry goods pasta","Organic White Chia Seed",12439
"dry goods pasta","Organic Red Lentil Penne",12330
"dry goods pasta","Garlic Marinara Cooking Sauce",12136
"dry goods pasta","Mac & Cheese",11990
"dry goods pasta","Tomato Basil Pasta Sauce",11974
"dry goods pasta","Tomato And Basil Pasta Sauce",11908
"dry goods pasta","Roasted Garlic & Sweet Basil Sauce",11906
"dry goods pasta","Original Mashed Potatoes",11785
"dry goods pasta","Gluten Free Quinoa Linguine",11645
"dry goods pasta","Organic Shells & White Cheddar Macaroni and Cheese",11634
"dry goods pasta","Souper 6-Pack Chicken Flavor Ramen Noodle Soup",11604
"dry goods pasta","Roasted Red Pepper & Basil Quinoa and Brown Rice",11579
"dry goods pasta","Whole Grain Penne Pasta",11553
"dry goods pasta","Brown Rice Spaghetti Pasta",11445
"dry goods pasta","Buckwheat Soba Pasta",11373
"dry goods pasta","Classico Traditional Pizza Sauce",11312
"dry goods pasta","Creamy Deluxe Gluten Free Rice Pasta & Extra Cheesy Cheddar Sauce",11148
"dry goods pasta","Organico Bello Tomato Basil Pasta Sauce",11140
"dry goods pasta","Gluten Free Fusilli",11086
"dry goods pasta","Porcini Mushroom Tortellini",10883
