Department,Product,amountBought
frozen,Blueberries,486355
frozen,"Organic Broccoli Florets",303838
frozen,"Organic Whole Strawberries",292258
frozen,"Frozen Organic Wild Blueberries",276438
frozen,"Pineapple Chunks",226072
frozen,"Organic Frozen Peas",209146
frozen,"Mango Chunks",167899
frozen,"Chicken & Maple Breakfast Sausage",158038
frozen,"Organic Brown Rice",144235
frozen,"Macaroni & Cheese",142483
frozen,"Frozen Broccoli Florets",137478
frozen,"Organic Cheese Frozen Pizza",135845
frozen,"Berry Medley",129616
frozen,"Organic Chopped Spinach",117270
frozen,"Green Peas",115915
frozen,"Organic Chicken Strips",110707
frozen,"Naturals Chicken Nuggets",109958
frozen,"Chocolate Ice Cream",109646
frozen,"Organic Frozen Mango Chunks",109400
frozen,"Organic Sliced Peaches",107845
frozen,"Vanilla Ice Cream",107619
frozen,"Gluten Free Whole Grain Bread",106545
frozen,"Organic Mixed Vegetables",100911
frozen,"Organic Multigrain Waffles",98516
frozen,"Thin Crust Pepperoni Pizza",90107
frozen,"Organic Edamame",86199
frozen,"Organic Homestyle Waffles",85419
frozen,"Eggo Homestyle Waffles",81509
frozen,"Chopped Spinach",80314
frozen,"Chicken Breast Tenders Breaded",79784
frozen,"Cheese Pizza Snacks",79399
frozen,"Natural Classic Pork Breakfast Sausage",79377
frozen,"Air Chilled Breaded Chicken Breast Nuggets",79242
frozen,"Organic Beans & Rice Cheddar Cheese Burrito",78256
frozen,"Whole Strawberries",77116
frozen,"Organic Blueberry Waffles",75827
frozen,"Kidz All Natural Baked Chicken Nuggets",75336
frozen,"Naturals Savory Turkey Breakfast Sausage",74861
frozen,"Pesto Tortellini  Bowls",73786
frozen,"Sweet Potatoes",73081
frozen,"Organic Cut Green Beans",71754
frozen,"Cheese Pizza",69998
frozen,"Mediterranean Mint Gelato",69987
frozen,"Organic Mango Chunks",67906
frozen,"Organic Dark Sweet Cherries",66707
frozen,"Shredded Hash Browns",65444
frozen,"Ice Cream Sandwiches Vanilla",65298
frozen,"Sea Salt Caramel Gelato",64925
frozen,"Margherita Pizza",63212
frozen,"Sweet Potato Fries with Sea Salt",62785
frozen,"Seven Grain Crispy Tenders",62628
frozen,"Organic Berry Blend",62550
frozen,"Gluten Free Blueberry Waffles",61959
frozen,"Organic Jasmine Rice",60925
frozen,"Broccoli & Cheddar Bake Meal Bowl",60908
frozen,"Organic Vanilla Bean Ice Cream",59301
frozen,"Four Cheese Thin Crust Pizza",58184
frozen,"Wheat Gluten Free Waffles",57710
frozen,"Gluten-Free Chicken Nuggets",56899
frozen,"Shoestring Fries",55847
frozen,"Pad Thai",55582
frozen,"Americone DreamÂ® Ice Cream",53661
frozen,"Organic Homestyle Mini Waffles",53104
frozen,"Half BakedÂ® Ice Cream",52670
frozen,"Frozen Peaches",52585
frozen,"Natural Chicken & Maple Breakfast Sausage Patty",51707
frozen,"Organic Seasoned Yukon Select Potatoes Hashed Browns",51641
frozen,"Organic Yukon Select Fries",51268
frozen,"Caramel Cookie Crunch Gelato",50998
frozen,"Strawberry Ice Cream",50619
frozen,"Tahitian Vanilla Bean Gelato",49952
frozen,"Butternut Squash Ravioli",49806
frozen,"Spinach Pizza",49542
frozen,"Edamame In Pod",47953
frozen,"Chicken Pot Pie",46817
frozen,"Organic Mini Homestyle Waffles",46583
frozen,"Chicken Taquitos",46546
frozen,"California Veggie Burgers - 4 CT",46337
frozen,"Organic Gluten Free Non-Dairy Beans & Rice Burrito",46270
frozen,"Cut Green Beans",45254
frozen,"Organic All Natural Blueberry Mini Waffles",45141
frozen,"Organic Acai Berry Smoothie Packs",44799
frozen,"Petite Brussels Sprouts",44752
frozen,"Natural Vanilla Ice Cream",44616
frozen,"Milk and Cookies Ice Cream",44563
frozen,"Kitchen Cheese Enchilada",43948
frozen,"Bean & Cheese Burrito",43771
frozen,"Pizza 4 Cheese",43665
frozen,"Watermelon Agave Frozen Pops",43539
frozen,"Mint Chip",42108
frozen,"Vanilla Bean Ice Cream",41316
frozen,"Thin Crust Margherita Pizza with Fresh Mozzarella & Basil",40918
frozen,"Organic Gluten Free Buckwheat Wildberry Waffles",40652
frozen,"Chocolate Peanut Butter Cup Gelato",40301
frozen,"Crinkle Cut French Fries",39402
frozen,"Birthday Cake Light Ice Cream",38960
frozen,"Beyond Beef Beefy Crumble",38883
frozen,"Pizza Poppers, Three Cheese",38861
frozen,"Light and Lean Quinoa Black Beans with Butternut Squash and Chard",37959
frozen,"Dark Chocolate Covered Banana",37919
frozen,"Cherry Garcia Ice Cream",37899
frozen,"Light & Lean Spinach Lasagna",37501
frozen,"Strawberry Lemonade Frozen Pops",37100
frozen,"Cheddar Cheese Burrito",36988
frozen,"Organic Mushroom & Olive Pizza",36717
frozen,"Chik'n Nuggets",36664
frozen,"Mexican Casserole Bowl",35778
frozen,"Cheese Ravioli with Sauce Bowls",35499
frozen,"Organic Chicken Pot Pie",34722
frozen,"Dark Sweet Cherries",34352
frozen,"Gluten Free Chicken Breast Tenders",34167
frozen,"Vanilla Milk Chocolate Almond Ice Cream Bars",33863
frozen,"Gluten Free Mushroom Risotto Bowl",33637
frozen,"Mint Chocolate Chip Ice Cream",33004
frozen,"Shelled Edamame",32581
frozen,"Vanilla Bean Light Ice Cream",32432
frozen,"Vegetable Lasagna",32332
frozen,"Black Bean Vegetables Burrito",32138
frozen,"Rising Crust Pepperoni Pizza",32017
frozen,"Organic Green Peas",31834
frozen,"All Natural Seasoned Waffle Cut Fries",31774
frozen,"Sorbet Pops Strawberry",31688
frozen,"Power Grains Waffles 6 ct",31412
frozen,"Mixed Vegetables",31380
frozen,"Coconut Almond Minis Frozen Dessert Bars",31222
frozen,"Talenti Double Dark Chocolate Gelato",30999
frozen,"Organic Gluten Free Chia Plus with Quinoa & Amaranth Waffles",30923
frozen,"Steamfresh Sweet Peas",30583
frozen,"Coffee Ice Cream",30479
frozen,"Pizza Roasted Vegetable No Cheese",30239
frozen,"Roman Raspberry Sorbetto",30071
frozen,"World Cuisine Certified Halal Chicken Tikka Masala With Basmati Rice",30009
frozen,"Coconut Fruit Bars",29472
frozen,"Pizza Poppers Uncured Pepperoni",29471
frozen,"Cut Okra",29328
frozen,"Green Peas No Salt Added",29263
frozen,"Cheese Enchilada Meal",29167
frozen,"Multi Grain Waffles",29101
frozen,"Organic Ice Cream Vanilla Bean",29082
frozen,"Made With Organic Beans & Rice Burrito Non-Dairy",28849
frozen,"Organic Fire Roasted Corn",28632
frozen,"The ""World's Best"" Veggie Burger",28292
frozen,"Four Cheese Rising Crust Pizza",28102
frozen,"Steamfresh Premium Selects Broccoli Florets",27676
frozen,"Gluten and Dairy Free Rice Macaroni and Cheeze",27596
frozen,"Gluten Free Breaded Chicken Breast Tenders",27511
frozen,"Fire Grilled Steak Bowl",27399
frozen,"Organic Gluten & Wheat Free Homestyle Waffles",27391
frozen,"Sicilian Pistachio",27355
frozen,"Artichoke Hearts",27121
frozen,"Rice Mac & Cheese",27064
frozen,"Coconut Milk Vanilla Mini Sandwiches",26973
frozen,"Gluten Free Uncured Frozen Pepperoni Pizza",26573
frozen,"Tater Tots",26557
frozen,"Phish FoodÂ® Ice Cream",26502
frozen,"Chocolate Peanut Butter Ice Cream",26499
frozen,"Country Cheddar Bowl",26493
frozen,"Pizza Dough",26408
frozen,"All Natural French Toast Sticks",26395
frozen,"Vanilla Ice Cream Sandwich",26344
frozen,"Sensible Foods Kale Veggie Burgers - 4 CT",26060
frozen,"Teriyaki Chicken Bowl",26029
frozen,"Organic Sweet Potato Fries",25945
frozen,"Gluten Free Pizza Three Cheese",25482
frozen,"Light & Lean Pasta & Veggie Bowl",25416
frozen,"The Tonight Doughâ„¢ Ice Cream",25327
frozen,"Baked Mini Beef Meatballs",25245
frozen,"Half Baked Frozen Yogurt",25097
frozen,"Eggo Chocolate Chip Waffles",25088
frozen,"Indian Paneer Tikka",24965
frozen,"Crushed Garlic",24927
frozen,"Eggo Pancakes Minis",24898
