Department,Product,amountBought
household,"100% Recycled Paper Towels",256660
household,"Sustainably Soft Bath Tissue",161987
household,"Aluminum Foil",106752
household,"Natural Free & Clear Dish Liquid",87052
household,"Lemon Verbena Dish Soap",67117
household,"100% Recycled Bathroom Tissue",61679
household,"Gallon Freezer Bags",59628
household,"Ultra Soft Facial Tissues",51092
household,"Select-A-Size White Paper Towels",50199
household,"Free & Clear Natural Laundry Detergent For Sensitive Skin",49653
household,"Tall Kitchen Drawstring Bags",45847
household,"100% Recycled Bath Tissue Rolls",45645
household,"Dishwasher Gel Free & Clear",42309
household,"Lemongrass Citrus Scent Disinfecting Wipes",41235
household,"Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender",41179
household,"Sandwich Bags",39697
household,"White Giant Paper Towel Rolls",39343
household,"Lavender Floral & Mint Natural Dish Liquid",37629
household,"Basil Dish Soap",36568
household,"Lavender Dish Soap",34875
household,"Sensitive Toilet Paper",34421
household,"Natural Free & Clear Dishwasher Detergent Packs",34401
household,"Parchment Paper",33844
household,"Paper Towels Choose-A-Sheet, Mega Rolls, One-Ply",31748
household,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",31195
household,"2-Ply Right Size 100% Recycled Paper Towels",31070
household,"Quart Storage Bags",30848
household,"Plastic Wrap",30576
household,"2-Ply 100% Recycled Bathroom Tissue",29946
household,"9 Inch Plates",29422
household,"100% Recycled White Paper Towels",28954
household,"Lemongrass & Clementine Zest Natural Dish Liquid",28677
household,"100% Recycled 2 Ply Jumbo Paper Towel Roll",28550
household,"Bathroom Tissue Softness & Strength, Double Rolls",26736
household,"Easy Open TabsBags",26395
household,"Kitchen Scrubber Sponge",25856
household,"Clean Care Mega Rolls Toilet Paper",25468
household,"Everyday 2 Ply Premium Napkins",25342
household,"Natural Laundry Detergent, Free & Clear 33",25261
household,"Snack Bags",24408
household,"Disinfecting Wipes, Lemon",24227
household,"Small Compostable Waste Bag",23938
household,"Ultra Strong Toilet Paper Double Rolls Bathroom Tissue",23596
household,"Heavy Duty Scrub Sponges",22508
household,"Paper Towels",22271
household,"Unscented 1000 Sheets Per Roll Bathroom Tissue",22270
household,"Ginger Yuzu Scented Dish Soap",22052
household,"Plus Lotion Facial Tissues",21943
household,"Choose-A-Sheet Regular Roll Paper Towels",21652
household,"Citrus Dish Soap",20887
household,"Ultra Original Scent Dishwashing Liquid",20778
household,"Disinfecting Wipes Fresh Scent",20682
household,"Geranium Liquid Dish Soap",20413
household,"Variety Pack",20055
household,"CleanCare 1-Ply Double Rolls Toilet Paper",19662
household,"One Ply Choose A Size Big Roll Paper Towel Rolls",19450
household,"1 Ply Paper Towels",19432
household,"Free and Gentle High Efficiency Liquid Laundry Detergent",19344
household,"Completeâ„¢ ActionPacsâ„¢ Fresh Scent Dishwasher Detergent",19215
household,"12"" Aluminium Foil",18793
household,"Smarty Dish Free and Clear Dishwasher Tablets",18387
household,"Bathroom Tissue, 1â€‘Ply, 1000 Sheet Rolls",18163
household,"All Natural Powder Cleanser",18045
household,"Plastic Spoons",17415
household,"Original Glass Cleaner",17188
household,"Regular Concentrated Bleach",17056
household,"Free & Clear Bleach",17008
household,"Natural Cellulose Scrub Sponge",16780
household,"Clean Up Cleaner with Bleach Fresh Scent",16745
household,"Select-A-Size White Giant Roll Paper Towels",16710
household,"Free & Clear Natural Dishwasher Detergent",16554
household,"Slider Stand & Fill Storage Gallon Bags",16504
household,"Original High Efficiency Liquid Laundry Detergent",16343
household,"Disinfecting Multi-Surface Cleaner Lemongrass Citrus Scent",16252
household,"Laundry Detergent Free & Clear",16181
household,"Max Gel Clog Remover",16079
household,"100% Recycled Facial Tissue",16078
household,"White Facial Tissues",15735
household,"Ultra Plush 3 ply Toilet Paper 12 Double Rolls",15580
household,"Ultra Apple Blossom Antibacterial Dish Liquid",15470
household,"Tall Compostable Kitchen Bags",15371
household,"All Purpose Cleaner",15228
household,"Plastic Cup Squared Base - 30 CT",15122
household,"Paper Snack & Sandwich Bags, 100% Unbleached",14815
household,"Disinfecting Wipes Fresh Scent & Lemon",14809
household,"White Quilted Napkins",14729
household,"Ultra Soft & StrongÂ® Toilet Paper Double Rolls",14440
household,"Compostable Forks",14105
household,"White Paper Towels",14093
household,"Flexible Straws",14060
household,"Slider Storage Quart Bags",13909
household,"2-Ply Everyday Napkins",13685
household,"Freezer Gallon Bags",13648
household,"Ultra Soft Bathroom Tissue Double Rolls",13598
household,"Jet-Dry Original Rinse Aid",13384
household,"Free & Clear Automatic Dishwasher Detergent",13325
household,"Fresh Vanilla Odor Shield Tall 13 Gallon Drawstring Bags",13258
household,"Disinfecting Wipes, Lemon Scent",13248
household,"Ultra Built Strong Paper Bowls",13208
household,"Free and Gentle Liquid Laundry Detergent",13196
household,"Bathroom Tissue Double Rolls",13177
household,"Lemon Natural Dishwasher Detergent Gel",13035
household,"Tulips 10 Stem",13004
household,"13 Gallon Tall Drawstring Kitchen Bags",13000
household,"Plant Based Scrub Sponge",12998
household,"Trusted Care 2-Ply Tissues",12874
household,"Double Rolls Bath Tissue",12797
household,"Cool Touch Coconut Oil & Aloe Facial Tissues",12759
household,"100% Recycled 2 Ply Paper Towels",12595
household,"Lavender Scent Laundry Detergent",12578
household,"Sweeper Open Window Fresh Scent Wet Mopping Cloths Refill",12534
household,"Lavender Multi-Surface Everyday Cleaner",12461
household,"Lotion With Aloe & E Upright Facial Tissue",12279
household,"Grab 'N GoÂ® Cups & Lids 12 Ounce",12108
household,"Free & Clear All-Purpose Natural Cleaner",11842
household,"Double Zipper Gallon Storage Bags",11782
household,"Ultra Concentrated Original Scent Dishwashing Liquid",11772
household,"4X Ultra Concentrated Natural Laundry Detergent, Free & Clear",11695
household,"Original Glass Cleaner With Ammonia-D",11436
household,"Everyday Paper Plates",11382
household,"Cling Wrap Clear Food Wrap",11277
household,"2-Ply 100% Recycled White Facial Tissues",11245
household,"Ultra Soft Facial 3-Ply White Facial Tissues",11182
household,"8.5"" Microwavable Cut Resistant Plates",11078
household,"Lavender Fabric Softening Dryer Sheets",11057
household,"Unscented Bathroom Tissue",11050
household,"Febreze Fresh Clean Garbage Bags",10924
household,"Quart Sized  Easy Open Freezer Bags",10805
household,"Platinumâ„¢ ActionPacsâ„¢ Fresh Scent Dishwasher Detergent",10692
household,"Blue Eucalyptus & Lavender Natural Laundry Detergent",10603
household,"Fresh Lemon Odor Shield 13 Gallon Tall Kitchen Drawstring Bags",10584
household,"Tall Kitchen Trash Bags with Flap Closure 13 gallon",10565
household,"ForceFlex Drawstring Tall Kitchen Bags",10320
household,"Non-Scratch Scrub Sponges",10233
household,"Clean Day Fabric Softener Lavender Scent",10227
household,"Primordial Himalayan Sea Salt",10222
household,"Disinfecting Wet Wipes - Lemongrass Citrus",10197
household,"Automatic Dishwasher Tablets Citrus - 25 CT",10186
household,"Honeysuckle Dish Soap",10176
household,"Naked Sponges - 2 CT",9898
household,"Bleach Splash-Less",9854
household,"Fresh Care Flushable Cleansing Cloths Refills",9844
household,"Paper Towel",9830
household,"Free and Clear Natural Liquid Laundry Detergent",9817
household,"Anti Viral Upright Facial Tissue",9726
household,"Clementine Dish Soap",9707
household,"Dishwasher Detergent ActionPacs Fresh Scent",9700
household,"All Purpose Cleaner, Lemon Breeze Scent",9673
household,"Lemon Dish Liquid",9660
household,"Complete ActionPacs Fresh Scent Dishwasher Detergent",9623
household,"Everyday 2-Ply White Facial Tissues",9578
household,"Toilet Bowl Cleaner with Bleach Rain Clean",9475
household,Bowls,9472
household,"Compostable Tall Trash Bags 13 gallon",9399
household,"Impressions Napkins",9396
household,"Antibacterial Concentrated Dish Soap",9388
household,"Bathroom Cleaner Natural Tub + Tile Cleaner",9383
household,Straws,9315
household,"Bathroom Tissue, Unscented, Double Rolls, 3-Ply",9239
household,"Glass Cleaner",9128
household,"Coppertop AA Batteries",9076
household,"Heavy Duty Non-Stick Aluminum Foil 35 sq ft",9050
household,"Liquid Laundry Detergent, Original scent",9038
household,"Ultra Soft Bathroom Tissue, Double Rolls",9020
household,"Natural Glass and Surface Cleaner",9006
household,"Ultra Soft Toilet Paper",8963
household,"Storage Bags",8869
household,"Wax Paper",8840
household,"April Fresh Liquid Fabric Softener",8790
