Department,Product,amountBought
international,"Organic Sea Salt Roasted Seaweed Snacks",103528
international,"Taco Seasoning",102054
international,"New Mexico Taco Skillet Sauce For Chicken",50842
international,"Coconut Milk",39027
international,"Original Roasted Seaweed Snacks",38990
international,"Sriracha Chili Sauce",38966
international,"Organic Spicy Taco Seasoning",37020
international,"Sliced Water Chestnuts",35972
international,"Roasted Sesame Seaweed Snacks",34129
international,"Sriracha Hot Chili Sauce",33022
international,"Stir-fry Rice Noodles",31845
international,"Red Chile Enchilada Sauce",31391
international,"Organic Rice Vinegar",29031
international,"37% Less Sodium Soy Sauce",28020
international,"Organic Soba",27249
international,"Stand 'n Stuff Taco Shells",23377
international,"Tamari Gluten Free Soy Sauce Reduced Sodium",23176
international,"Genuine Brewed Rice Vinegar",22917
international,"Green Curry Paste",22911
international,"Fajita Seasoning",21949
international,"Pad Thai Brown Rice Noodles",21928
international,"Roasted Seaweed Snacks",21577
international,"Soy Sauce",21504
international,"Premium Fish Sauce",21307
international,"Tikka Masala Mild Indian Simmer Sauce",20213
international,"Green Chile Enchilada Sauce",19926
international,"Organic Southwest Taco Seasoning",19415
international,"Tamari Gluten Free Soy Sauce",19278
international,"Mild Red Enchilada Sauce",18916
international,"Yellow Corn Taco Shells",18625
international,"Tofu Miso Ramen",18577
international,"Thin Rice Noodles",18544
international,"Verde Salsa",18076
international,"Diced Hot Green Chiles",18035
international,"Pure Coconut Milk",17988
international,"Organic Tamari Gluten-Free Soy Sauce",17974
international,"Organic Coconut Cream",17777
international,"Garbanzo Beans No Salt Added",17584
international,"Organic Reduced Sodium Tamari",17234
international,"Wasabi Roasted Seaweed Snacks",16663
international,"Mellow White Miso",16606
international,"Organic Roasted Seaweed Snacks Teriyaki",15847
international,"Asian Vegetable Ramen",15329
international,"Chipotle In Adobo Sauce Peppers",15148
international,"Lightly Breaded Fish Sticks",15121
international,"Tikka Masala Simmer Sauce",14428
international,"Mexican Style Hominy",14329
international,"Chicken Flavor Top Ramen Noodles",13727
international,"Crunchy Taco Shells",13233
international,"Garlic Pepper Ramen",13161
international,"Organic Udon Japanese Wheat Noodles",13055
international,"Nacho Sliced Jalapenos",12855
international,"Unsweetened Coconut Milk",12610
international,"Yellow Corn Taco Shells - 12 CT",12497
international,"Chili Garlic Sauce",12231
international,"Organic Premium Roasted Seaweed Snack",12211
international,"Classic Fajita Skillet Sauce with Chipotle and Lime",12211
international,"Chilpotle Peppers in Adobo Sauce",12205
international,"Mushroom Ramen",12145
international,"Chipotle Pepprs in Adobo Sauce",12091
international,"All Natural Won Ton Wraps",11865
international,"Jasmine Green Iced Tea",11738
international,"Kelp Noodles",11478
international,"Mild Green Chile Enchilada Sauce",11448
international,"Yellow Corn Taco Dinner Kit",10699
international,"Medium Red Enchilada Sauce",10537
international,"Miso, Organic, Mellow, White",10388
international,"Blue Corn Taco Dinner Kit",10334
international,"House Napa Cabbage",9967
international,"Organic Ramen Noodles",9844
international,"Channa Masala Indian Cuisine",9837
international,"Udon Soup Bowl",9752
international,"Less Sodium Soy Sauce",9695
international,"Naturally Brewed Soy Sauce",9433
international,"Madras Lentils Indian Cuisine",9353
international,"Roasted Red Chili Paste",9286
international,"Pad Thai Rice Noodles",9224
international,"Teriyaki Sauce",9141
international,"Southwest Taco Seasoning Mix",9007
international,"Organic Seaweed Snack Sea Salt",8984
international,"Organic Lemongrass Ginger Ramen",8674
international,"Miso Soup Bowl",8533
international,"Chopped Green Chiles",8456
international,"Gluten Free Matzo-Style Squares",8278
international,"Water Chestnuts, Sliced",8164
international,"Mild Enchilada Sauce",7985
international,"Ginger, Pickled Sushi",7953
international,"Tofu Shirataki",7893
international,"Soba Pasta Wheat And Buckwheat",7883
international,"Maifun Rice Noodles",7867
international,"Key Lime Cilantro Taco Skillet Sauce with Roasted Tomatillo & green Chile",7695
international,"Seaweed Ramen",7637
international,"Organic Yellow Corn Taco Shells 12 Count",7558
international,"Medium Green Chile Enchilada Sauce",7555
international,"Lite Coconut Milk",7447
international,"Kashmiri Curry Mild Indian Simmer Sauce",7445
international,"100% Pure Sesame Seed Oil",7437
international,"Maifun Brown Rice Noodles",7150
international,"Chipotle Peppers In Adobo Sauce",7024
international,"Organic Rice Ramen Millet & Brown",6943
international,"Medium Spicy Kimchi",6922
international,"Bombay Spice Crunchy Chickpeas",6914
international,"Red Mild Enchilada Sauce",6908
international,"Less Salt Soy Sauce",6861
international,"Stand 'N Stuff Taco Dinner",6804
international,"Soup, Traditional, with Tofu",6788
international,"Mild Fire Roasted Diced Green Chiles",6627
international,"Chilpotles in Adobo Sauce",6524
international,"Soy Ginger Sauce",6426
international,"Gluten Free Organic Taco Sliders Corn Tortillas",6392
international,"Gluten Free Mild Whole Green Chiles",6301
international,"Roasted White Sesame Seeds",6229
international,"Hard & Soft Taco Dinner Kit",6171
international,"Hoisin Sauce",6158
international,"Sweet Red Chili Dipping & All-Purpose Sauce",5928
international,"Mango Chutney",5897
international,"Organic Pacific Nori",5882
international,"Rice Vinegar",5789
international,"Original Mild Taco Sauce",5623
international,"Teriyaki Marinade & Sauce",5620
international,"Hoisen Sauce",5618
international,"Sushi Nori, Pacific, Organic",5565
international,"Tofu Shirataki Fettuccine Noodle Substitute",5522
international,"MATZO BALL MIX",5395
international,"Jodhpur Lentils",5365
international,"100% Whole Soy Organic Gluten Free Tamari Soy Sauce",5331
international,"Spinach Dal Indian Cuisine",5274
international,"Korean Kimchi",5233
international,"Lemongrass Basil Simmer Sauce",5168
international,"Organic Gluten Free Tamari Less Sodium Soy Sauce",5118
international,"Top Ramen Oriental Flavor",5116
international,"Gluten Free Soy Sauce Tamari Lite",5036
international,"Bamba Peanut Snack",4974
international,"Millet & Brown Rice Ramen",4938
international,"Brown Rice, Organic",4922
international,"Refried Beans Vegetarian",4904
international,"Green Chiles, Diced, Fire Roasted, Mild",4825
international,"Black Bean Bonanza Tamales",4761
international,"Spicy Kimchi",4748
international,"Traditionally Crafted Soba Pasta",4684
international,"Fancy Sliced Water Chestnuts",4589
international,"Lite Rice Vinegar",4566
international,"Organic Naturally Brewed Soy Sauce",4432
international,"Chow Mein Noodles",4278
international,"Organic Seasoned Rice Vinegar Dressing",4246
international,"Egg Roll Wraps",4228
international,"Sesame Oil, Toasted",4203
international,"Medium Chipotle Garlic Taco Skillet Sauce",4145
international,"Mild Kimchi",4132
international,"Ghee, Original",4096
international,"Pad See Ew Noodles",4093
international,"Matzoh Ball Soup",4077
international,"Coconut Aminos Teriyaki Sauce",4000
international,"Indian Coconut Curry Simmer Sauce",3973
international,"Garlic Mint Cheese",3926
international,"Swiss Cheese",3904
international,"Sprouted Brown Rice",3892
international,"Fat-Free Refried Beans",3832
international,"Thai Red Curry Simmer Sauce",3825
international,"Lotus Forbidden Rice Ramen",3799
international,"Organic Shoyu",3768
international,"Thai Peanut Sauce",3761
international,"Miso, Organic, Mellow, Red",3753
international,"Bombay Potatoes Vegetarian",3715
international,"Spicy Red Radish Kimchi",3681
international,"Wasabi Crunchy Chickpeas",3665
international,"Cut Baby Corn",3586
international,"Organic Traditional Soba",3572
international,"Sambal Oelek Ground Fresh Chili Paste",3538
international,"Sushi Nori Toasted Sea Vegetable",3487
international,"Whole Grain Corn Taco Shells",3484
international,"Juice Grape 100% Pure",3447
international,"Blue Corn Taco Shells - 12 CT",3419
