Department,Product,amountBought
other,"Roasted Almond Butter",31493
other,"Light CocoWhip! Coconut Whipped Topping",14619
other,"93/7 Ground Beef",12016
other,"Coconut Almond Granola",8040
other,Walnuts,5997
other,"Roasted Unsalted Almonds",5943
other,"Multivitamin, Kids Complete, Gummies",5322
other,"Coconut Flour",4473
other,"Pierogi Potato & Cheese",4052
other,"Cherry Vanilla Granola",3958
other,"Coffee Mate French Vanilla Creamer Packets",3862
other,Creamer,3824
other,Kiwifruit,3693
other,"Organic Breakfast Blend Coffee",3355
other,"Classic Vanilla Coffee Creamer",3338
other,"Liquid Teething Relief",3122
other,"Black Chia Seeds",2955
other,Tulips,2894
other,"Deluxe Nut Mix",2813
other,"Queso Fresco Cheese",2761
other,"Max AAA Batteries",2383
other,"Caramelized Pecans",2330
other,"Cinnamon Vanilla Creme Liquid Coffee Creamer",2290
other,"Roasted Salted Pistachios",2215
other,"Maximum Strength Original Paste Diaper Rash Ointment",2178
other,"Traditional Panettone",2115
other,"Italian Sweet Creme Creamer",2086
other,"Pinot Noir Rose",1982
other,"Whole Bay Leaves",1979
other,"Gluten Free Fig Bars",1962
other,"Giraffes Diapers Size 4 L",1946
other,"Early Result Pregnancy Test",1916
other,"Carob Spirulina Energy Chunks",1875
other,Polenta,1788
other,"Beef Chuck Roast",1691
other,"Bloody Mary Mix",1681
other,"Infants Pain Reliever and Fever Reducer Berry Drops",1677
other,"Organic Coco Whip",1642
other,"Original Liquid Coffee Creamer",1640
other,Falafel,1575
other,"Baby Healing Ointment",1544
other,"Zero Calorie Tonic Water",1535
other,"Salted Mixed Nuts",1492
other,"Organic Supreme Fruit & Nut Mix",1482
other,"Strike On Box Matches",1415
other,"SleepGels Nighttime Sleep Aid",1406
other,"Maximum Strength Original Diaper Rash Ointment",1357
other,"Whole Raw Brazil Nuts",1349
other,"Organic Garam Masala",1337
other,"Sweets Organic Lollipops",1323
other,"Natural Calm Anti-Stress Drink",1278
other,"Organic Flax Seed",1278
other,"Organic Tamari Almonds",1261
other,"Rescue Remedy",1248
other,"Hand Soap Organic Lemongrass",1235
other,"Recolte Wine",1225
other,"Black Pepper Grinder",1210
other,"Sunflower Seeds",1193
other,"Whispering Angel Ros̩",1163
other,"Rapid Relief Creamy Diaper Rash Ointment",1145
other,"Peppermint Essential Oil",1089
other,"Spicy Salmon Roll",1077
other,"Grapefruit Scented Foaming Hand Soap",1075
other,"Whole Oregano",1052
other,"Candle Lighter",1049
other,"Sweetened Lime Juice",1029
other,"Sunscreen SPF 50+",1021
