Department,Product,amountBought
pantry,"Extra Virgin Olive Oil",472887
pantry,"Organic Creamy Peanut Butter",186280
pantry,"Creamy Peanut Butter",177498
pantry,"Creamy Almond Butter",173422
pantry,"Strawberry Preserves",160217
pantry,"Organic Ketchup",159226
pantry,"Mild Salsa",158700
pantry,"Organic Medium Salsa",144847
pantry,"Light Brown Sugar",132044
pantry,"Tomato Ketchup",131698
pantry,"Cinnamon Rolls With Icing",124229
pantry,"Italian Extra Virgin Olive Oil",122609
pantry,"Organic Strawberry Fruit Spread",122427
pantry,"Organic Dijon Mustard",122230
pantry,"Original Hot Sauce",117710
pantry,"Sliced Black Olives",116471
pantry,"Raspberry Preserves",109719
pantry,"Real Mayonnaise",99668
pantry,"Organic Vanilla Extract",95555
pantry,"Organic Extra Virgin Olive Oil",95171
pantry,"Panko Bread Crumbs",93701
pantry,"Organic Mayonnaise",93550
pantry,"Organic Distilled White Vinegar",89483
pantry,"Unrefined Virgin Coconut Oil",89322
pantry,"Canola Oil",89099
pantry,"Apple Cider Vinegar",89052
pantry,"Organic Unbleached All-Purpose Flour",88767
pantry,"Crescent Rolls",87928
pantry,"Cane Sugar",84281
pantry,"Squeeze Tomato Ketchup",83336
pantry,"Organic Raw Unfiltered Apple Cider Vinegar",81588
pantry,"Ranch Dressing",78094
pantry,"Organic Mountain Forest Amber Honey",76286
pantry,"Pure Baking Soda",75930
pantry,"Flaky Biscuits",75890
pantry,"100% Pure Pumpkin",75699
pantry,"Crunchy Almond Butter",75338
pantry,"Cucumber & Garlic  Tzatziki",74080
pantry,"Premium Pure Cane Granulated Sugar",70302
pantry,"Organic Yellow Mustard",68767
pantry,"Organic Tahini",66923
pantry,"Garlic Powder",65405
pantry,"Classic Almond Butter",63718
pantry,"Peanut Butter Creamy With Salt",63382
pantry,Oregano,59554
pantry,"Hazelnut Spread With Skim Milk & Cocoa",59233
pantry,"Classic Yellow Mustard",55844
pantry,"Organic Cane Sugar",55313
pantry,"Dijon Mustard",54327
pantry,"Organic Balsamic Vinegar of Modena",52725
pantry,"Semi-Sweet Chocolate Premium Baking Chips",52407
pantry,"Crunchy Peanut Butter",49594
pantry,"Ground Cumin",47661
pantry,"Organic Kosher Dill Pickles",47265
pantry,"Sea Salt Fine Crystals",46894
pantry,"Original Sauce",46839
pantry,"Balsamic Vinegar of Modena",46779
pantry,"Unbleached All-Purpose Flour",46254
pantry,"Just Mayo",45914
pantry,"Olives, Organic, Kalamata, Pitted",45671
pantry,"Roasted Tomato Salsa",45467
pantry,"All Purpose Flour",45442
pantry,"Organic Canola Oil",45239
pantry,"Organic Ground Cumin",44811
pantry,"Almond Meal/Flour",43916
pantry,"Active Dry Yeast",43848
pantry,"Organic Shredded Unsweetened Coconut",43467
pantry,"Organic Pumpkin",43355
pantry,"Wild Non-Pareil Capers, Sunkissed in the Mediterranean",43087
pantry,"Ground Black Pepper",42717
pantry,"Original Syrup",42385
pantry,"Medium Salsa",42369
pantry,"Authentic Red Curry Paste",42228
pantry,"Baking Powder",40774
pantry,"Chopped Organic Garlic",40666
pantry,"Toasted Sesame Seed Oil",40657
pantry,"Mild Chunky Salsa",39985
pantry,"Toll House Semi-Sweet Chocolate Morsels",39867
pantry,"Apricot Preserves",39285
pantry,"Original Taco Seasoning Mix",39204
pantry,"Organic Light Agave Nectar",38939
pantry,"Pure Granulated Cane Sugar",38510
pantry,"Chocolate Chip Cookie Dough",38198
pantry,"Classic Peanut Butter",38186
pantry,"Distilled White Vinegar",37626
pantry,"Pitted Kalamata Olives",37625
pantry,"Ripe Large Pitted Olives",37105
pantry,"Semi-Sweet Mini Chocolate Chips",36511
pantry,"Organic Powdered Sugar",36348
pantry,"Original Crescent Rolls",36214
pantry,"Organic Refined Coconut Oil",36154
