Department,Product,amountBought
pets,"Grain Free Chicken Formula Cat Food",13826
pets,"Grain Free Turkey & Salmon Formula Cat Food",12656
pets,"Instant Action Cat Litter",9907
pets,"Fancy Feast Wet Classic Chicken Feast Cat Food",7965
pets,"Double Duty Advanced Odor Control Clumping Cat Litter",7927
pets,"24/7 Performance Cat Litter",7497
pets,"Grain Free Turkey Formula Cat Food",6816
pets,"Indoor Cat Food",6815
pets,"Good Buddy Beef Jerky Dog Treat",6008
pets,"Snack Sticks Chicken & Rice Recipe Dog Treats",6007
pets,"Poultry & Beef Feast Variety Grilled Wet Cat Food",5845
pets,"Classic Tender Beef Feast Cat Food",5827
pets,"Classic Tender Liver & Chicken Feast Cat Food",5456
pets,"Small Dog Biscuits",5428
pets,"Organix Chicken & Brown Rice Recipe",5360
pets,"24/7 Performance Light Weight Cat Litter",5334
pets,"Chicken & Vegetable Snack Sticks for Dogs",5246
pets,"Grilled Chicken Feast in Gravy Cat Food",5177
pets,"Standard Size Pet Waste bags",5112
pets,"Super Scoop Instant Clumping Unscented Cat Litter",5053
pets,"Grilled Tuna Feast in Gravy Cat Food",5001
pets,"Classic Ocean Whitefish & Tuna Feast Cat Food",4783
pets,"Organix Grain Free Chicken & Vegetable Dog Food",4746
pets,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food",4728
pets,"Fancy Feast Seafood Feast Variety Classic Wet Cat Food",4510
pets,"Savory Salmon",4474
pets,"Grain Free Turkey Canned Cat Food",4389
pets,"Flaked Tuna Feast Cat Food",4328
pets,"Gravy Lovers Chicken Feast Can Cat Food",4253
pets,"With Glade Tough Odor Solutions Cat Litter",4162
pets,"Cat Treats Temptations Seafood Medley",4031
pets,"Beef Stew Canned Dog Food",3923
pets,"Food for Cats, Chicken & Herring Formula",3877
pets,"Purina Mixed Grill Classic Pate Cat Food",3828
pets,"Chunky Chicken Feast Cat Food",3691
pets,"Temptations Tasty Chicken Flavor Cat Treats",3526
pets,"Strips Bacon Flavor Bacon Dog Snacks",3494
pets,"Premium Dog Treats Peanut Butter Flavor, Medium Size",3460
pets,"24/7 Performance Clumping Litter",3426
pets,"Original Choice Dry Cat Food",3424
pets,"Tender Beef & Liver Feast Classic Wet Cat Food",3407
pets,"Classic Seafood Feast Cat Food",3355
pets,"Organix Butcher & Bushel Grain-Free Turkey Dinner Canned Dog Food",3343
pets,"Adult Indoor Advantage Cat Food",3306
pets,"Good Buddy USA Rawhide Braid Dog Chews",3283
pets,"Classic Tender Beef & Chicken Feast Cat Food",3272
pets,"Grilled Salmon Feast in Gravy Cat Food",3239
pets,"Temptations Cat Treats - Creamy Dairy",3230
pets,"Grilled Turkey Feast in Gravy Cat Food",3219
pets,"Classic Cod Sole & Shrimp Feast Cat Food",3191
pets,"Liver & Chicken Dinner Classic Pate Cat Food",3151
pets,"Original Beef Flavor Dog Snacks",3130
pets,"Fancy Feast Trout Feast Flaked Wet Cat Food",3102
pets,"Classic Salmon & Shrimp Feast Cat Food",3102
pets,"Dog Snacks, Medium",3032
pets,"5 Meaty Flavors Variety Dog Snacks",3024
pets,"Organix Butcher & Bushel Grain-Free Tender Chicken Canned Dog Food",3013
pets,"Organix Grain Free Turkey & Vegetable Dog Food",2976
pets,"Flaked Fish & Shrimp Feast Cat Food",2974
pets,"Grilled Ocean Whitefish & Tuna Feast in Gravy Cat Food",2967
pets,"Organix Butcher & Bushel Grain Free Shredded Chicken Dog Food",2960
pets,"Salmon Feast in Seared Salmon Flavor Gravy Cat Food",2908
pets,"Spot's Stew Dry Cat Food Formula Chicken Recipe",2902
pets,"Grilled Seafood Feast Variety Cat Food",2853
pets,"Chicken Stew Natural Food for Dogs",2818
pets,"Classic Chopped Grill Feast Cat Food",2793
pets,"Turkey Feast Cat Food",2762
pets,"Spot's Stew Wild Salmon Recipe Cat Food",2724
pets,"Chicken & Tuna Feast Flaked Wet Cat Food",2718
pets,"Spots Stew Wild Salmon Canned Cat Food",2665
pets,"Spots Stew Chicken Dry Dog Food",2652
pets,"Purina Classic Pate Turkey & Giblets Dinner Cat Food",2616
pets,"Salmon Dinner Classic Pate Cat Food",2587
pets,"Beef Feast in Roasted Beef Flavor Gravy Cat Food",2580
pets,"Proactive Health Indoor Weight & Hairball Care with Chicken Cat Food",2570
pets,"Spot's Stew Salmon Dry Dog Food",2528
pets,"Filet Mignon Canine Cuisine Wet Dog Food",2501
pets,"Core Original Grain Free Dry Dog Food",2493
pets,"Classic Pate Variety Pack Wet Cat Food",2475
pets,"Scented Multi-Cat Scoopable Cat Litter",2468
pets,"Select Tender Chicken with Vegetables & Brown Rice Dog Food Recipe",2387
pets,"Classic Poultry & Beef Feast Variety Cat Food",2385
pets,"Classic Pate Mariner's Catch Cat Food",2384
pets,"Ocean Whitefish & Tuna Feast in Sauteed Seafood Flavor Gravy Cat Food",2371
pets,"Organix Butcher & Bushel Chicken Wing & Thigh Grain Free Adult Dog Food",2342
pets,"Complete Cat Food",2234
pets,"Indoor Delights Cat Food",2233
pets,"Natural Beef & Chicken Formula Food for Cats",2197
pets,"Turkey Flavor Cat Treats",2191
pets,"Brushless Dog Toothpaste",2181
pets,"Multi Cat Scented Scoopable Cat Litter",2181
pets,"Cat Litter Deodorizer with Activated Baking Soda",2112
pets,"Spot's Stew Chicken Cat Food",2036
pets,"Chicken Flavored Bone 4 Inch Dog Chew",2015
pets,"Grilled Cheddar & Chicken",2003
pets,"Classic Pate Ocean Whitefish & Tuna Dinner Cat Food",1964
pets,"Original Maximum Odor Control Cat Litter",1944
pets,"Heavy Duty Jumbo Litter Box Liners",1936
pets,"Prepared Meals Beef Stew Wet Dog Food",1905
pets,"Savory Salmon Flavor Cat Treats",1903
pets,"Super Scoop Clumping with Odor Eliminating Baking Soda Cat Litter",1898
pets,"Originals Dog Food",1892
pets,"Organix Butcher & Bushel Grain-Gree Turkey & Chicken Dog Food",1878
pets,"Bone, Meaty Center",1870
pets,"Multi-Cat Extra Strength Clumping Cat Litter",1870
pets,"Dog Chew, USA Rawhide, Chicken Flavored, 7 Inch",1865
pets,"Prime Filets Chicken & Tuna Dinner in Gravy Cat Food",1855
pets,"Grilled Salmon & Shrimp Feast in Gravy Cat Food",1847
pets,"Salmon & Sole Feast Cat Food",1840
pets,"Instant Action Clumping Litter",1838
pets,"Mini Dog Treats",1830
pets,"Meaty Bits Variety Pack Wet Cat Food",1827
pets,"Beneful Healthy Weight with Real Chicken",1820
pets,"Tasty Chicken Flavor Treats for Cat",1810
pets,"Hearty Beef Cat Treats",1801
pets,"Porterhouse Steak Flavor In Meaty Juices Wet Dog Food",1801
pets,"Chicken Hearts & Liver Feast in Grilled Chicken Flavor Gravy Cat Food",1798
pets,"Mini Chicken Dog Bones",1758
pets,"Original Dry Dog",1758
pets,"White Meat Chicken Florentine Cat Food",1757
pets,"Good Buddy Meaty Center Bone",1736
pets,"Florentine Collection Cat Food",1727
pets,"Liv A Littles Chicken Cat & Dog Treats",1713
pets,"Turkey & Sweet Potato Dog Treats",1685
pets,"Chunky Turkey Feast Cat Food",1668
pets,"Ocean Whitefish & Tuna in Sauce Prime Filets Wet Cat Food",1638
pets,"Purina Prime Filets With Chicken In Gravy Cat Food",1636
pets,"Delights With Cheddar Grilled Tuna & Cheddar Cheese Feast In Gravy",1614
