Department,Product,amountBought
produce,Banana,2405664
produce,"Bag of Organic Bananas",2007396
produce,"Organic Strawberries",2005999
produce,"Organic Baby Spinach",1870623
produce,"Organic Hass Avocado",1497887
produce,"Large Lemon",1279007
produce,Limes,1261016
produce,"Organic Avocado",1187054
produce,Strawberries,1065577
produce,"Organic Raspberries",1031044
produce,"Organic Yellow Onion",1004141
produce,"Organic Garlic",1001654
produce,"Organic Zucchini",986367
produce,"Organic Blueberries",862073
produce,"Organic Grape Tomatoes",834206
produce,"Cucumber Kirby",763565
produce,"Organic Lemon",736962
produce,"Organic Cucumber",733572
produce,"Seedless Red Grapes",712691
produce,"Organic Baby Carrots",699817
produce,"Fresh Cauliflower",678967
produce,"Apple Honeycrisp Organic",669898
produce,"Organic Cilantro",669856
produce,"Organic Red Onion",665058
produce,"Organic Fuji Apple",652080
produce,Carrots,650092
produce,"Organic Small Bunch Celery",649671
produce,"Organic Baby Arugula",643474
produce,"Yellow Onions",633608
produce,Asparagus,628776
produce,"Honeycrisp Apple",617611
produce,"Organic Large Extra Fancy Fuji Apple",587037
produce,"Organic Italian Parsley Bunch",580113
produce,"Organic Tomato Cluster",578444
produce,"Organic Gala Apples",575297
produce,"Organic Red Bell Pepper",539812
produce,"Organic Blackberries",539432
produce,"Green Bell Pepper",536730
produce,"Organic Peeled Whole Baby Carrots",533268
produce,"Michigan Organic Kale",525882
produce,"Organic Garnet Sweet Potato (Yam)",515602
produce,"Red Peppers",503775
produce,"Organic Granny Smith Apple",489946
produce,"Organic Ginger Root",488073
produce,"Organic D'Anjou Pears",468499
produce,"Red Vine Tomato",466526
produce,"Organic Kiwi",462914
produce,"Bunched Cilantro",419382
produce,"Organic Navel Orange",393995
produce,"Jalapeno Peppers",392747
produce,"Small Hass Avocado",389463
produce,"Broccoli Crown",386810
produce,"Red Onion",381547
produce,Raspberries,379467
produce,"Orange Bell Pepper",374975
produce,"Organic Lacinato (Dinosaur) Kale",365960
produce,"Clementines, Bag",364995
produce,"Organic Bartlett Pear",359577
produce,"Grape White/Green Seedless",343843
produce,"Organic Carrot Bunch",341735
produce,Garlic,334158
produce,"Roma Tomato",334092
produce,"Organic Broccoli",331868
produce,"Organic Russet Potato",311767
produce,"Organic Romaine Lettuce",307387
produce,"Bartlett Pears",301569
produce,"Organic Baby Broccoli",295413
produce,"Granny Smith Apples",281154
produce,"Green Beans",280053
produce,"Hass Avocados",276359
produce,"Russet Potato",267068
produce,"Organic Red Radish, Bunch",266702
produce,"Yellow Bell Pepper",265062
produce,"Organic Roma Tomato",258959
produce,Cantaloupe,250858
produce,"Organic Bell Pepper",247850
produce,"Green Onions",244629
produce,"Organic Celery Hearts",239562
produce,"Organic Spring Mix",234186
produce,"Red Raspberries",227385
produce,"Fresh Ginger Root",226674
produce,"Organic Romaine",222814
produce,"Organic Hothouse Cucumbers",220419
produce,"Organic Yellow Peaches",215862
produce,"Organic White Onions",215356
produce,"Romaine Hearts",214275
produce,"Organic Butternut Squash",207364
produce,"Brussels Sprouts",207085
produce,"Organic Green Seedless Grapes",205868
produce,"Large Grapefruit",205842
produce,"Baby Spinach",200328
produce,"Organic Green Cabbage",199853
produce,"Cherubs Heavenly Salad Tomatoes",199011
produce,"Organic Bosc Pear",198883
produce,"Organic Jalapeno Pepper",197857
produce,"Organic Large Green Asparagus",197518
produce,"Organic Leek",196834
produce,"Organic Baby Rainbow Carrots",195559
produce,"Organic Shredded Carrots",194935
produce,"Organic Thyme",194569
produce,"Watermelon Chunks",192789
produce,"Organic Mint",190967
produce,"Organic Yams",188877
produce,"Organic Spring Mix Salad",187500
produce,"Gala Apples",185482
produce,"White Corn",179135
produce,"Globe Eggplant",178876
produce,"Organic Snipped Green Beans",177129
produce,"Sweet Onion",173970
produce,"Organic Broccoli Crowns",169802
produce,Shallot,168319
produce,"Organic Dill",160694
produce,Blackberries,160237
produce,"Organic Red Cabbage",158980
produce,"European Cucumber",153511
produce,"Organic Baby Kale",152033
produce,"Organic Bunch Beets",150317
produce,"Organic Rainbow Carrots",150159
