Department,Product,amountBought
snacks,"Lightly Salted Baked Snap Pea Crisps",247929
snacks,"Original Veggie Straws",181671
snacks,"Pretzel Crisps Original Deli Style Pretzel Crackers",170976
snacks,"Sea Salt Pita Chips",168584
snacks,"Sea Salt & Vinegar Potato Chips",146734
snacks,"Organic Thompson Seedless Raisins",145836
snacks,"Organic Bunny Fruit Snacks Berry Patch",142893
snacks,"Baked Aged White Cheddar Rice and Corn Puffs",139722
snacks,"Crackers Cheddar Bunnies Snack Packs",139356
snacks,"Organic Summer Strawberry Bunny Fruit Snacks",130950
snacks,"Organic Blue Corn Tortilla Chips",128177
snacks,"Organic Whole Cashews",126448
snacks,"Sea Salt Potato Chips",126119
snacks,"Whole Almonds",123539
snacks,"Almonds & Sea Salt in Dark Chocolate",121808
snacks,"Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs",119258
snacks,"Cheddar Bunnies Snack Crackers",119182
snacks,"Pita Chips Simply Naked",118908
snacks,"Kids Organic Chocolate Chip ZBars",116736
snacks,"100 Calorie  Per Bag Popcorn",115425
snacks,"Chopped Walnuts",109458
snacks,"Walnut Halves & Pieces",109076
snacks,"Hint Of Sea Salt Almond Nut Thins",108870
snacks,"Chocolate Chip Cookies",101775
snacks,"Organic Medjool Dates",101695
snacks,"Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars",100494
snacks,"Organic Dark Chocolate Peanut Butter Cups",93988
snacks,"Boomchickapop Sea Salt Popcorn",92541
snacks,"Gluten Free Chocolate Chip Cookies",92103
snacks,"Organic Tortilla Chips",87734
snacks,"Apple Cinnamon GoGo Squeez",86713
snacks,"Roasted & Salted Almonds",86562
snacks,"Backyard Barbeque Potato Chips",86020
snacks,"Organic Lightly Salted Brown Rice Cakes",85903
snacks,Raisins,83732
snacks,"Veggie Chips",81439
snacks,"Almond Nut & Rice Cracker Snacks",81147
snacks,"Oats & Honey Gluten Free Granola",80524
snacks,"ZBar Organic Chocolate Brownie Energy Snack",79411
snacks,"Original Real Vegetable Chips",78802
snacks,"Dark Chocolate Pretzels with Sea Salt",78524
snacks,"Organic Wheat-Free & Gluten-Free Original Crackers",78519
snacks,"Organic Mini Sandwich Crackers Peanut Butter",78247
snacks,"Apple Pie Fruit & Nut Food Bar",76903
snacks,"Original Popcorn",76080
snacks,"Peanut Butter Chocolate Chip Fruit & Nut Food Bar",75317
snacks,"Crispy Wheat, Crackers",74599
snacks,"Goldfish Cheddar Baked Snack Crackers",74218
