Product,amountBought,Department
Banana,2405664,produce
"Bag of Organic Bananas",2007396,produce
"Organic Strawberries",2005999,produce
"Organic Baby Spinach",1870623,produce
"Organic Hass Avocado",1497887,produce
"Large Lemon",1279007,produce
Limes,1261016,produce
"Organic Avocado",1187054,produce
Strawberries,1065577,produce
"Organic Raspberries",1031044,produce
"Organic Yellow Onion",1004141,produce
"Organic Garlic",1001654,produce
"Organic Zucchini",986367,produce
"Organic Blueberries",862073,produce
"Organic Grape Tomatoes",834206,produce
"Organic Whole Milk",777566,"dairy eggs"
"Cucumber Kirby",763565,produce
"Organic Lemon",736962,produce
"Organic Cucumber",733572,produce
"Seedless Red Grapes",712691,produce
